Language	ISO 639-3	Glottocode	possessed	possessive_marker	possessor_marked
Lihir	lih	lihi1237	True	True	False
Lewotobi	lwt	lewo1244	True	True	False
Lelepa	lpa	lele1267	True	True	False
Lele (Chad)	lln	lele1276	False	True	True
Lashi	lsi	lash1243	True	True	False
Larike-Wakasihu	alo	lari1255	True	True	False
Lamenu	lmu	lame1260	True	True	False
Lamaholot	slp	lama1277	True	True	False
Lala	nrz	lala1268	True	True	False
Lakkia	lbc	lakk1238	False	True	True
Labu	lbu	labu1248	True	True	False
Kxoe	xuu	kxoe1243	True	True	False
Kwaza	xwa	kwaz1243	True	True	False
Kwamera	tnk	kwam1252	True	True	False
Kutep	kub	kute1248	True	True	False
Kuot	kto	kuot1243	True	True	False
Kumaoni	kfy	kuma1273	True	True	False
Kuanyama	kua	kuan1247	True	True	False
Kuanua	ksd	kuan1248	True	True	False
Kove	kvc	kove1237	True	True	False
Kotiria	gvc	guan1269	True	True	False
Koshin	kid	kosh1246	True	True	False
Kono (Guinea)	knu	kono1267	True	True	False
Kola	kvv	kola1285	True	True	False
Kol (Cameroon)	biw	kolc1235	True	True	False
Kokota	kkk	koko1269	True	False	True
Kitja	gia	kitj1240	True	True	False
Kistane	gru	kist1241	True	True	False
Kinyarwanda	kin	kiny1244	True	True	False
Kiliwa	klb	kili1268	True	True	False
Kilen	NOCODE_Kilen	kile1243	True	True	False
Khana	ogo	khan1278	True	True	False
Ket	ket	kett1243	True	True	False
Ke'o	xxk	keoo1238	True	True	False
Kathlamet	NOCODE_Kathlamet	kath1253	True	True	False
Katcha-Kadugli-Miri	xtc	katc1249	True	True	False
Kasua	khs	kasu1251	True	True	False
Karo (Brazil)	arr	karo1305	True	True	False
Kariyarra	vka	kari1304	True	True	False
Kaninuwa	wat	kani1281	True	True	False
Kanakanavu	xnb	kana1286	True	True	False
Kambaata	ktb	kamb1316	True	True	False
Kamang	woi	kama1365	True	False	True
Kam	kdx	kamm1249	True	True	False
Kalispel-Pend d'Oreille	fla	kali1308	True	True	False
Kalanga	kck	kala1384	True	True	False
Kalamang	kgv	kara1499	True	True	False
Kakabe	kke	kaka1265	True	True	False
Kagayanen	cgc	kaga1256	True	True	False
Kadiwéu	kbc	kadi1248	True	True	False
Kacipo-Balesi	koe	kaci1244	True	True	False
Kachi Koli	gjk	kach1272	True	True	False
Kachama-Ganjule-Haro	kcx	kach1284	True	True	False
Kaba	ksp	kaba1281	True	True	False
Jur Modo	bex	jurm1239	True	True	False
Jola-Fonyi	dyo	jola1263	True	True	False
Jehai	jhi	jeha1242	True	True	False
Jebero	jeb	jebe1250	True	True	False
Jarawa (India)	anq	jara1245	True	True	False
Jaminjung-Ngaliwurru	djd	djam1255	True	True	False
Jambi Malay	jax	jamb1236	True	True	False
Iyo	nca	iyoo1238	True	True	False
Istro Romanian	ruo	istr1245	True	True	False
Ineseño	inz	ines1240	True	True	False
Indo-Aryan Kinnauri	kjo	hari1246	True	True	False
Imonda	imn	imon1245	True	True	False
Ili'uun	ilu	iliu1237	True	True	False
Ikoma-Nata	ntk	ikom1245	True	True	False
Idun	ldb	idun1241	True	True	False
Iau	tmu	iauu1242	True	True	False
Hup	jup	hupd1244	True	True	False
Huichol	hch	huic1243	True	True	False
Hoava	hoa	hoav1238	True	True	False
Highland Puebla Nahuatl	azz	high1278	True	True	False
Highland Oaxaca Chontal	chd	high1242	True	True	False
Haya	hay	haya1250	True	True	False
Halkomelem	hur	halk1245	True	True	False
Hadza	hts	hadz1240	True	True	False
Guruntum-Mbaaru	grd	guru1271	True	True	False
Guragone	gge	gura1252	True	True	False
Gumawana	gvs	guma1254	True	True	False
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True	True	False
Guaicurian	NOCODE_Guaicurian	guai1237	True	True	False
Grass Koiari	kbk	gras1249	True	True	False
Gonja	gjn	gonj1241	True	True	False
Girirra	gii	giri1245	True	True	False
Ghanongga	ghn	ghan1242	True	True	False
Gbaya-Mbodomo	gmm	gbay1281	True	True	False
Garifuna	cab	gari1256	True	True	False
Forest Enets	enf	fore1265	True	True	False
Filomeno Mata Totonac	tlp	filo1235	True	True	False
Fiji Hindi	hif	fiji1242	True	True	False
Fataluku	ddg	fata1247	True	True	False
Even	eve	even1260	True	True	False
Eudeve	NOCODE_Eudeve	eude1234	True	False	True
Eton-Mengisa	eto	eton1253	True	True	False
Ese Ejja	ese	esee1248	True	True	False
Erzya	myv	erzy1239	True	True	False
Epigraphic Mayan	emy	epig1241	True	True	False
Epena	sja	epen1239	True	True	False
Eipomek	eip	eipo1242	True	True	False
Eastern Lawa	lwl	east2330	True	True	False
Eastern Huasteca Nahuatl	nhe	east2538	True	False	True
East Makian	mky	east2440	True	True	False
East Kewa	kjs	east2516	True	False	True
Dungar Varli	vav	varl1238	True	True	False
Dumi	dus	dumi1241	True	True	False
Donno So Dogon	dds	donn1239	True	True	False
Dongxiang	sce	dong1285	True	True	False
Domari	rmt	doma1258	True	True	False
Dom	doa	domm1246	True	True	False
Djeebbana	djj	djee1236	True	False	True
Diriku	diu	diri1252	True	True	False
Dime	dim	dime1235	True	True	False
Desano	des	desa1247	True	True	False
Dera (Nigeria)	kna	dera1248	True	True	False
Darma	drd	darm1243	True	True	False
Dar Daju Daju	djc	dard1243	True	True	False
Dameli	dml	dame1241	True	True	False
Dadibi	mps	dadi1250	True	True	False
Culina	cul	culi1244	True	True	False
Cubeo	cub	cube1242	True	True	False
Cowlitz	cow	cowl1242	True	True	False
Comox	coo	como1259	True	True	False
Columbia-Wenatchi	col	colu1241	True	True	False
Coatlán Mixe	mco	coat1238	True	True	False
Chácobo	cao	chac1251	True	True	False
Chuwabu	chw	chuw1238	True	True	False
Chumburung	ncu	chum1261	True	True	False
Chulym Turkic	clw	chul1246	True	True	False
Cholón	cht	chol1284	True	True	False
Chintang	ctn	chhi1245	True	True	False
Chimwiini	NOCODE_Chimwiini	chim1312	True	True	False
Chimariko	cid	chim1301	True	True	False
Chepang	cdm	chep1245	True	False	True
Cheke Holo	mrn	chek1238	True	True	False
Chadian Arabic	shu	chad1249	True	True	False
Cha'palaa	cbi	chac1249	True	True	False
Central Lembata-Lewokukun	lvu	levu1239	True	True	False
Central Aymara	ayr	cent2142	True	True	False
Cashibo-Cacataibo	cbr	cash1251	True	True	False
Caribbean Hindustani	hns	cari1275	True	True	False
Cao Miao	cov	caom1238	True	True	False
Bussa	dox	buss1239	True	True	False
Buru (Indonesia)	mhs	buru1303	True	True	False
Burji	bji	burj1242	True	True	False
Bunaba	bck	buna1275	True	True	False
Bora	boa	bora1263	True	False	True
Blagar	beu	blag1240	True	True	False
Binumarien	bjr	binu1245	True	True	False
Big Nambas	nmb	bign1238	True	True	False
Bierebo	bnk	bier1244	True	True	False
Biak	bhw	biak1248	True	True	False
Belanda Viri	bvi	bela1255	True	True	False
Belanda Bor	bxb	bela1256	True	True	False
Befang	bby	befa1241	True	True	False
Baré	bae	bare1276	True	True	False
Barok	bjk	baro1253	True	True	False
Bariai	bch	bari1286	True	True	False
Bantawa	bap	bant1281	True	True	False
Bannoni	bcm	bann1247	True	True	False
Baniva de Maroa	gae	guar1293	True	True	False
Bangime	dba	bang1363	True	True	False
Bandial	bqj	band1340	True	True	False
Bambili-Bambui	baw	bamb1266	True	True	False
Bambassi	myf	bamb1262	True	True	False
Balantak	blz	bala1315	True	True	False
Baba Malay	mbf	baba1267	True	True	False
Baa	kwb	kwaa1262	True	True	False
Ayoreo	ayo	ayor1240	True	True	False
Axamb	ahb	axam1237	True	True	False
Awtuw	kmn	awtu1239	True	True	False
Awngi	awn	awng1244	True	True	False
Awiakay-Karimba	NOCODE_Awiakay	awia1234	True	True	False
Awetí	awe	awet1244	True	True	False
Awa (Papua New Guinea)	awb	awap1236	True	True	False
Avava	tmb	katb1237	True	True	False
Aushi	auh	aush1241	True	True	False
Atzingo Matlatzinca	ocu	atzi1235	True	True	False
Atong (India)	aot	aton1241	True	False	True
Atayal	tay	atay1247	True	True	False
Arosi	aia	aros1241	True	True	False
Are	mwc	aree1239	True	True	False
Araki	akr	arak1252	True	True	False
Apalaí	apy	apal1257	True	False	True
Anuak	anu	anua1242	True	True	False
Anta-Komnzo-Wára-Wérè	tci	wara1294	True	True	False
Anindilyakwa	aoi	anin1240	True	False	True
Aneityum	aty	anei1239	True	True	False
Amurdak	amg	amar1271	True	False	True
Amkoe	huc	hoaa1235	True	True	False
Ambonese Malay	abs	ambo1250	True	True	False
Amanab	amn	aman1265	True	True	False
Alamblak	amp	alam1246	True	True	False
Akateko	knj	west2635	True	True	False
Aka-Bea	abj	akab1249	True	True	False
Agob	kit	agob1244	True	True	False
Aghu	ahh	aghu1255	True	True	False
Adzera	adz	adze1240	True	True	False
Adyghe	ady	adyg1241	True	True	False
Achuar-Shiwiar	acu	achu1248	True	True	False
Abun	kgr	abun1252	True	True	False
Abui	abz	abui1241	True	True	False
Abaza	abq	abaz1241	True	True	False
Abawiri	flh	foau1240	True	True	False
//Ani	hnh	anii1246	True	True	False
Önge	oon	onge1236	True	False	False
Ömie	aom	omie1241	True	False	False
Záparo	zro	zapa1253	True	False	False
Zulu	zul	zulu1248	True	False	False
Zimbabwean Ndebele	nde	nort2795	True	False	False
Zigula-Mushungulu	ziw	zigu1244	True	False	False
Zenzontepec Chatino	czn	zenz1235	True	False	False
Zbu	NOCODE_Zbu	zbua1234	True	False	False
Zaniza Zapotec	zpw	zani1235	True	False	False
Zaiwa	atb	zaiw1241	True	False	False
Zacatepec Chatino	ctz	zaca1242	True	False	False
Zabana	kji	zaba1237	True	False	False
Yuwaalaraay-Gamilaraay	kld	gami1243	True	False	False
Yurok	yur	yuro1248	True	False	False
Yulu	yul	yulu1243	True	False	False
Yulparija	NOCODE_Yulparija	yulp1239	True	False	False
Yuki	yuk	yuki1243	True	False	False
Yuchi	yuc	yuch1247	True	False	False
Yucatec Maya	yua	yuca1254	True	False	False
Younuo Bunu	buh	youn1235	True	False	False
