Language	ISO 639-3	Glottocode	case_marker	case_prefix	case_suffix	comitative	instrumental	locative
Aghu Tharnggalu	ggr	aghu1254	True	False	True	True	True	True
Adyghe	ady	adyg1241	True	False	True	True	True	True
Zou	zom	zouu1235	True	False	True	False	True	True
Zoogocho Zapotec	zpq	zoog1238	True	False	False	True	True	True
Zialo	zil	zial1235	True	False	False	True	True	True
Zbu	NOCODE_Zbu	zbua1234	True	False	False	True	True	True
Zayse-Zergulla	zay	zays1235	True	False	False	True	True	True
Zauzou	zal	zauz1238	True	False	False	True	True	True
Yuracaré	yuz	yura1255	True	False	False	True	True	True
Yucuna	ycn	yucu1253	True	False	False	True	True	True
Yopno	yut	yopn1238	True	False	False	True	True	True
Yongning Na	nru	yong1270	True	False	False	True	True	True
Yonggom	yon	yong1280	True	False	False	True	True	True
Yonaguni	yoi	yona1241	True	False	False	True	True	True
Yinggarda	yia	ying1247	False	False	True	True	True	True
Yindjibarndi	yij	yind1247	True	False	False	True	True	True
Yidiny	yii	yidi1250	False	False	True	True	True	True
Yerukula	yeu	yeru1240	True	False	True	False	True	True
Yaqui	yaq	yaqu1251	True	False	True	False	True	True
Yanyuwa	jao	yany1243	True	False	True	False	True	True
Yanomám	wca	yano1262	True	False	False	True	True	True
Yankunytjatjara	kdd	yank1247	True	False	True	False	True	True
Yan-nhangu	jay	yann1237	True	False	True	False	True	True
Yamphu	ybi	yamp1242	False	False	True	True	True	True
Yaminahua	yaa	yami1256	True	False	False	True	True	True
Yagnobi	yai	yagn1238	True	False	True	False	True	True
Yagaria	ygr	yaga1260	True	False	False	True	True	True
Yaeyama	rys	yaey1239	True	False	False	True	True	True
Xishanba Lalo	ywt	xish1235	True	False	False	True	True	True
Xinca-Guazacapan	NOCODE_Xinca-Guazacapan	xinc1246	True	False	False	True	True	True
Wunambal	wub	wuna1249	True	False	False	True	True	True
Worimi	kda	wori1245	False	False	True	True	True	True
Wolane	wle	wola1253	True	False	False	True	True	True
Woiwurrung	wyi	woiw1237	True	False	True	False	True	True
Wintu	wit	wint1259	False	False	True	True	True	True
Wik-Ngathana	wig	wikn1245	True	False	True	False	True	True
Wik-Mungkan	wim	wikm1247	True	False	True	False	True	True
Western Victoria	NOCODE_Western-Victoria	west2443	True	False	True	False	True	True
Western Parbate Kham	kjl	west2420	True	False	False	True	True	True
Western Muria	mut	west2408	True	False	True	False	True	True
Western Karaboro	kza	west2466	True	False	False	True	True	True
Western Dani	dnw	west2594	True	False	False	True	True	True
Warrnambool	gjm	warr1257	True	False	True	False	True	True
Warluwara	wrb	warl1256	False	False	True	True	True	True
Warlpiri	wbp	warl1254	False	False	True	True	True	True
Waray (Philippines)	war	wara1300	True	False	False	True	True	True
Wandarang	wnd	wand1263	False	False	True	True	True	True
Wambayan	wmb	wamb1258	False	False	True	True	True	True
Wallisian	wls	wall1257	True	False	False	True	True	True
Wakhi	wbl	wakh1245	False	False	True	True	True	True
Wakawaka	wkw	waka1274	False	False	True	True	True	True
Wajarri	wbv	waja1257	True	False	True	False	True	True
Wadjiginy	wdj	wadj1254	False	False	True	True	True	True
Vamale	mkt	vama1243	True	False	False	True	True	True
Vaiphei	vap	vaip1239	True	False	False	True	True	True
Vaeakau-Taumako	piv	pile1238	True	False	False	True	True	True
Vaagri Booli	vaa	vaag1238	True	False	True	False	True	True
Una	mtg	unaa1239	True	False	True	False	True	True
Umatilla	uma	umat1237	False	False	True	True	True	True
Ulwa	ulw	ulwa1239	True	False	False	True	True	True
Ulwa (Papua New Guinea)	yla	yaul1241	True	False	False	True	True	True
Udi	udi	udii1243	True	False	False	True	True	True
Tuvinian	tyv	tuvi1240	True	False	True	False	True	True
Tuvalu	tvl	tuva1244	True	False	False	True	True	True
Turkish	tur	nucl1301	True	False	True	False	True	True
Tunni	tqq	tunn1238	True	False	False	True	True	True
Tundra Nenets	yrk	nene1249	False	False	True	True	True	True
Tuki	bag	tuki1240	True	False	False	True	True	True
Tukang Besi North	khc	tuka1248	True	False	False	True	True	True
Tugen	tuy	tuge1241	True	False	False	True	True	True
Tshobdun	NOCODE_Tshobdun	tsho1240	True	False	False	True	True	True
Tsakhur	tkr	tsak1249	True	False	True	True	False	True
