Language	ISO 639-3	Glottocode	passive	transitivity	valence
Khoibu	nkb	khoi1251	True	True	True
Ket	ket	kett1243	True	True	True
Kenuzi-Dongola	kzh	kenu1236	True	True	True
Ke'o	xxk	keoo1238	True	True	True
Kayardild	gyd	kaya1319	True	True	True
Kayan Lahwi	pdu	kaya1315	True	True	True
Katcha-Kadugli-Miri	xtc	katc1249	True	True	True
Karo (Brazil)	arr	karo1305	True	True	True
Karitiâna	ktn	kari1311	True	True	True
Karajá	kpj	kara1500	True	True	True
Kanakanavu	xnb	kana1286	True	True	True
Kamu	xmu	kamu1258	True	True	True
Kaike	kzq	kaik1246	True	True	True
Kagulu	kki	kagu1239	True	True	True
Kachama-Ganjule-Haro	kcx	kach1284	True	True	True
Kabardian	kbd	kaba1278	True	True	True
Kaba	ksp	kaba1281	True	True	True
Jicarilla Apache	apj	jica1244	True	True	True
Jehai	jhi	jeha1242	True	True	True
Jarai	jra	jara1266	True	True	True
Japhug	NOCODE_Japhug	japh1234	True	True	True
Itzá	itz	itza1241	True	True	True
Isnag	isd	isna1241	True	True	True
Isimjeega-Rootigaanga	NOCODE_Isimjeega	isim1234	True	True	True
Ingush	inh	ingu1240	True	True	True
Imonda	imn	imon1245	True	True	True
Ibaloi	ibl	ibal1244	True	True	True
Hup	jup	hupd1244	True	True	True
Huizhou Chinese	czh	huiz1242	True	True	True
Huastec	hus	huas1242	True	True	True
Huarijio	var	huar1255	True	True	True
Huambisa	hub	huam1247	True	True	True
Huallaga Huánuco Quechua	qub	hual1241	True	True	True
Hozo	hoz	hozo1236	True	True	True
Hinuq	gin	hinu1240	True	True	True
Highland Puebla Nahuatl	azz	high1278	True	True	True
Haya	hay	haya1250	True	True	True
Halkomelem	hur	halk1245	True	True	True
Ha	haq	haaa1252	True	True	True
Gyele	gyi	gyel1242	True	True	True
Gusii	guz	gusi1247	True	True	True
Guragone	gge	gura1252	True	True	True
Gumawana	gvs	guma1254	True	True	True
Guiqiong	gqi	guiq1238	True	True	True
Gubeeher-Gufangor-Gubelor	NOCODE_Gubeeher-Gufangor-Gubelor	gube1234	True	True	True
Gooniyandi	gni	goon1238	True	True	True
Goemai	ank	goem1240	True	True	True
Godoberi	gdo	ghod1238	True	True	True
Ghanongga	ghn	ghan1242	True	True	True
Gedeo	drs	gede1246	True	True	True
Gayo	gay	gayo1244	True	True	True
