Language	ISO 639-3	Glottocode	cardinals	quantifiers	reduced_numerals	reduced_system	small_numerals	small_system
Mohave	mov	moha1256	False	True	False	False	False	False
Modern Hebrew	heb	hebr1245	False	True	False	False	False	False
Modern Greek	ell	mode1248	False	True	False	False	False	False
Mocoví	moc	moco1246	False	True	False	False	False	False
Mocho	mhc	moch1257	False	True	False	False	False	False
Mochica	omc	moch1259	False	True	False	False	False	False
Mlabri	mra	mlab1235	False	True	False	False	False	False
Mizo	lus	lush1249	False	True	False	False	False	False
Miship	mjs	mish1244	True	False	False	False	False	False
Miriwung	mep	miri1266	False	True	False	False	False	False
Minangkabau	min	mina1268	False	True	False	False	False	False
Mina (Cameroon)	hna	mina1276	False	True	False	False	False	False
Min Bei Chinese	mnp	minb1244	False	True	False	False	False	False
Milang	NOCODE_Milang	mila1245	False	True	False	False	False	False
Migabac	mpp	miga1241	False	True	False	False	False	False
Midob	mei	mido1240	True	False	False	False	False	False
Michoacán Nahuatl	ncl	mich1245	False	True	False	False	False	False
Michif	crg	mich1243	False	True	False	False	False	False
Mian	mpt	mian1256	False	True	False	False	False	False
Mezquital Otomi	ote	mezq1235	False	True	False	False	False	False
Meyah	mej	meya1236	False	True	False	False	False	False
Mewati	wtm	mewa1250	True	False	False	False	False	False
Mewari	mtr	mewa1249	True	False	False	False	False	False
Mesqan	mvz	mesq1240	False	True	False	False	False	False
Meru	mer	meru1245	True	False	False	False	False	False
Menya	mcr	meny1245	False	True	False	False	False	False
Mende (Papua New Guinea)	sim	mend1268	False	True	False	False	False	False
Melo	mfx	melo1242	False	True	False	False	False	False
Mbula	mna	mbul1263	False	True	False	False	False	False
Mbuk	bpc	mbuk1244	False	True	False	False	False	False
Mbugwe	mgz	mbug1242	False	True	False	False	False	False
Mbre	mka	mbre1244	False	True	False	False	False	False
Mbay	myb	mbay1241	False	True	False	False	False	False
Mayo	mfy	mayo1264	False	True	False	False	False	False
Maybrat-Karon	ayz	maib1239	False	True	False	False	False	False
Mauwake	mhl	mauw1238	False	True	False	False	False	False
Maung	mph	maun1240	False	True	False	False	False	False
Matumbi	mgw	matu1259	False	True	False	False	False	False
Matsés	mcf	mats1244	False	True	False	False	False	False
Mato	met	mato1252	False	True	False	False	False	False
Mateq	xem	kemb1249	False	True	False	False	False	False
Matbat	xmt	matb1237	False	True	False	False	False	False
Maskelynes	klv	mask1242	False	True	False	False	False	False
Marwari (India)	rwr	marw1260	True	False	False	False	False	False
Markweeta	enb	mark1255	False	True	False	False	False	False
Marithiel	mfr	mari1424	False	True	False	False	False	False
Maring	nng	mari1416	True	False	False	False	False	False
Marind	mrz	nucl1622	False	True	False	False	False	False
Marik	dad	mari1428	False	True	False	False	False	False
Maricopa	mrc	mari1440	False	True	False	False	False	False
Maria (India)	mrr	mari1414	True	False	False	False	False	False
Marghi Central	mrt	marg1265	True	False	False	False	False	False
Maragus	mrs	mara1399	False	True	False	False	False	False
Mara	mec	mara1385	False	True	False	False	False	False
Mape	mlh	mape1249	False	True	False	False	False	False
Maore Comorian	swb	maor1244	False	True	False	False	False	False
Maonan	mmd	maon1241	False	True	False	False	False	False
Manumanaw Karen	kxf	manu1255	False	True	False	False	False	False
Mankanya	knf	mank1251	False	True	False	False	False	False
Maniq	tnz	tong1308	False	True	False	False	False	False
Mangseng	mbh	mang1403	False	True	False	False	False	False
Mangghuer	NOCODE_Mangghuer	minh1238	False	True	False	False	False	False
Manggarai	mqy	mang1405	False	True	False	False	False	False
Mangarayi	mpc	mang1381	False	True	False	False	False	False
Mangala	mem	mang1383	False	True	False	False	False	False
Mangaia-Old Rapa	ray	rapa1245	False	True	False	False	False	False
Mandinka	mnk	mand1436	True	False	False	False	False	False
Mandeali	mjl	mand1409	True	False	False	False	False	False
Mandan	mhq	mand1446	False	True	False	False	False	False
Manchu	mnc	manc1252	True	False	False	False	False	False
Manat	pmr	payn1244	False	True	False	False	False	False
Manambu	mle	mana1298	False	True	False	False	False	False
Manam	mva	mana1295	False	True	False	False	False	False
Mambai	mcs	mamb1294	False	True	False	False	False	False
Mambae	mgm	mamb1306	True	False	False	False	False	False
Mamaindé	wmd	mama1278	False	True	False	False	False	False
Malvi	mup	malv1243	True	False	False	False	False	False
Malua Bay	mll	malu1245	False	True	False	False	False	False
Mali	gcc	mali1284	False	True	False	False	False	False
Malecite-Passamaquoddy	pqm	male1292	False	True	False	False	False	False
Malayo	mbp	mala1522	False	True	False	False	False	False
Malay, Manado	xmm	mala1481	True	False	False	False	False	False
Malacca-Batavia Portuguese Creole	mcm	mala1533	False	True	False	False	False	False
Makhuwa-Saka	xsq	makh1266	True	False	False	False	False	False
Makasar	mak	maka1311	False	True	False	False	False	False
Makasae-Makalero	mkz	maka1316	False	True	False	False	False	False
Makaa	mcp	maka1304	False	True	False	False	False	False
Mak (China)	mkg	makc1235	False	True	False	False	False	False
Majhi	mjz	majh1253	False	True	False	False	False	False
Maithili	mai	mait1250	True	False	False	False	False	False
Maisin	mbq	mais1250	False	True	False	False	False	False
Mairasi	zrs	nucl1594	False	True	False	False	False	False
Maipure-Avane	NOCODE_Maipure	maip1247	False	True	False	False	False	False
Mailu	mgu	mail1248	True	False	False	False	False	False
Maijiki	ore	orej1242	False	True	False	False	False	False
Maia	sks	maia1254	False	True	False	False	False	False
Magahi	mag	maga1260	True	False	False	False	False	False
Mafea	mkv	mafe1237	False	True	False	False	False	False
Madurese	mad	nucl1460	False	True	False	False	False	False
Madngele	zml	madn1237	False	True	False	False	False	False
Mada (Nigeria)	mda	mada1282	True	False	False	False	False	False
Macushi	mbc	macu1259	False	True	False	False	False	False
Maco	wpc	maco1239	False	True	False	False	False	False
Machame	jmc	mach1266	False	True	False	False	False	False
Mabaale	mmz	maba1270	True	False	False	False	False	False
Ma'di	mhi	madi1260	False	True	False	False	False	False
Ma'anyan	mhy	maan1238	False	True	False	False	False	False
Ma Manda	skc	sauk1252	False	True	False	False	False	False
Luyi	lyn	luya1241	False	True	False	False	False	False
Lundayeh	lnd	lund1271	False	True	False	False	False	False
Lunda	lun	lund1266	False	True	False	False	False	False
Lumun	lmd	lumu1239	False	True	False	False	False	False
Luguru	ruf	lugu1238	False	True	False	False	False	False
Luba-Lulua	lua	luba1249	True	False	False	False	False	False
Luang	lex	luan1263	False	True	False	False	False	False
Lowland Tarahumara	tac	lowl1265	False	True	False	False	False	False
Lowland Oaxaca Chontal	clo	lowl1260	False	True	False	False	False	False
Lou	loj	louu1245	False	True	False	False	False	False
Lotha Naga	njh	loth1237	True	False	False	False	False	False
Lote	uvl	lote1237	False	True	False	False	False	False
Lopit	lpx	lopi1242	False	True	False	False	False	False
Loniu	los	loni1238	False	True	False	False	False	False
Lombard	lmo	lomb1257	False	True	False	False	False	False
Lolopo	ycl	lolo1259	False	True	False	False	False	False
Lolak	llq	lola1250	False	True	False	False	False	False
Liv	liv	livv1244	False	True	False	False	False	False
Lithuanian	lit	lith1251	False	True	False	False	False	False
Lishana Deni	lsd	lish1247	True	False	False	False	False	False
Limbum	lmp	limb1268	False	True	False	False	False	False
Liko	lik	lika1243	False	True	False	False	False	False
Libinza	liz	libi1244	False	True	False	False	False	False
Lhomi	lhm	lhom1239	False	True	False	False	False	False
Lewotobi	lwt	lewo1244	False	True	False	False	False	False
Lengua Sur	enx	sout2989	False	True	False	False	False	False
Lengo	lgr	leng1259	False	True	False	False	False	False
Lenakel	tnl	lena1238	False	True	False	False	False	False
Lemeting	beg	bela1260	False	True	False	False	False	False
Lele (Chad)	lln	lele1276	False	True	False	False	False	False
Leh Ladakhi	lbj	lada1244	True	False	False	False	False	False
Lega-Shabunda	lea	lega1249	False	True	False	False	False	False
Lega-Mwenga	lgm	lega1250	False	True	False	False	False	False
Lealao Chinantec	cle	leal1235	False	True	False	False	False	False
Lavukaleve	lvk	lavu1241	False	True	False	False	False	False
Laven	lbo	lave1248	False	True	False	False	False	False
Lau	llu	lauu1247	True	False	False	False	False	False
Latvian	lav	latv1249	False	True	False	False	False	False
Latin	lat	lati1261	True	False	False	False	False	False
Lashi	lsi	lash1243	False	True	False	False	False	False
Larike-Wakasihu	alo	lari1255	False	True	False	False	False	False
Lardil	lbz	lard1243	False	True	False	False	False	False
Lango (Uganda)	laj	lang1324	False	True	False	False	False	False
Langi	lag	lang1320	False	True	False	False	False	False
Lampung Api	ljp	lamp1243	False	True	False	False	False	False
Lamjung-Melamchi Yolmo	scp	hela1238	False	True	False	False	False	False
Lamboya	lmy	lamb1273	False	True	False	False	False	False
Lamaholot	slp	lama1277	False	True	False	False	False	False
Lala	nrz	lala1268	False	True	False	False	False	False
Lakota	lkt	lako1247	False	True	False	False	False	False
Lak	lbe	lakk1252	True	False	False	False	False	False
Lahta-Zayein Karen	kxk	zaye1235	False	True	False	False	False	False
Ladin	lld	ladi1250	False	True	False	False	False	False
Lacandon	lac	laca1243	False	True	False	False	False	False
Kxoe	xuu	kxoe1243	False	True	False	False	False	False
Kwomtari	kwo	nucl1593	False	True	False	False	False	False
Kwoma	kmo	kwom1262	False	True	False	False	False	False
Kwegu	xwg	kweg1241	False	True	False	False	False	False
Kwara'ae	kwf	kwar1239	True	False	False	False	False	False
Kwakum	kwu	kwak1266	False	True	False	False	False	False
Kwaio	kwd	kwai1243	False	True	False	False	False	False
Kwadi	kwz	kwad1244	False	True	False	False	False	False
Kuy	kdt	kuyy1240	False	True	False	False	False	False
Kutep	kub	kute1248	False	True	False	False	False	False
Kusunda	kgg	kusu1250	False	True	False	False	False	False
Kusaal	kus	kusa1250	False	True	False	False	False	False
Kurukh	kru	kuru1301	True	False	False	False	False	False
Kurtokha	xkz	kurt1248	False	True	False	False	False	False
Kuria	kuj	kuri1259	True	False	False	False	False	False
Kuot	kto	kuot1243	False	True	False	False	False	False
Kung	kfl	kung1260	False	True	False	False	False	False
Kunbarlang	wlg	kunb1251	False	True	False	False	False	False
Kunama	kun	kuna1268	True	False	False	False	False	False
Kumzari	zum	kumz1235	False	True	False	False	False	False
Kumarbhag Paharia	kmj	kuma1274	False	True	False	False	False	False
Kumaoni	kfy	kuma1273	True	False	False	False	False	False
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	False	True	False	False	False	False
Kulung (Nigeria)	bbu	kulu1255	False	True	False	False	False	False
Kulsab	faj	fait1240	False	True	False	False	False	False
Kula (Indonesia)	tpg	kula1280	False	True	False	False	False	False
Kuku-Yalanji	gvn	kuku1273	False	True	False	False	False	False
Kuku-Uwanh	uwa	kuku1280	False	True	False	False	False	False
Kukatja	kux	kuka1246	False	True	False	False	False	False
Kuikúro-Kalapálo	kui	kuik1246	True	False	False	False	False	False
Kui (India)	kxu	kuii1252	True	False	False	False	False	False
Kuanua	ksd	kuan1248	False	True	False	False	False	False
Kryz	kry	kryt1240	True	False	False	False	False	False
Kove	kvc	kove1237	False	True	False	False	False	False
Kovai	kqb	kova1243	False	True	False	False	False	False
Kotiria	gvc	guan1269	False	True	False	False	False	False
Kota (India)	kfe	kota1263	True	False	False	False	False	False
Koshin	kid	kosh1246	False	True	False	False	False	False
Koromfé	kfz	koro1298	False	True	False	False	False	False
Korlai Portuguese	vkp	korl1238	False	True	False	False	False	False
Korean	kor	kore1280	False	True	False	False	False	False
Korafe-Yegha	kpr	kora1294	False	True	False	False	False	False
Konyak Naga	nbe	kony1248	True	False	False	False	False	False
Konni	kma	konn1242	False	True	False	False	False	False
Konai	kxw	kona1242	False	True	False	False	False	False
Kombio	xbi	komb1272	False	True	False	False	False	False
Kombai	tyn	komb1274	False	True	False	False	False	False
Kom (India)	kmm	komi1270	True	False	False	False	False	False
Koluwawa	klx	kolu1245	False	True	False	False	False	False
Kola	kvv	kola1285	False	True	False	False	False	False
Kol (Cameroon)	biw	kolc1235	False	True	False	False	False	False
Koi	kkt	koii1238	False	True	False	False	False	False
Koasati	cku	koas1236	True	False	False	False	False	False
Klon	kyo	kelo1247	False	True	False	False	False	False
Kirghiz	kir	kirg1245	True	False	False	False	False	False
Kiowa	kio	kiow1266	False	True	False	False	False	False
Kimaragang	kqr	kima1244	False	True	False	False	False	False
Kilmeri	kih	kilm1241	False	True	False	False	False	False
Kiliwa	klb	kili1268	False	True	False	False	False	False
Kilivila	kij	kili1267	False	True	False	False	False	False
Kilen	NOCODE_Kilen	kile1243	False	True	False	False	False	False
Khwarshi-Inkhoqwari	khv	khva1239	False	True	False	False	False	False
Khwarezmian	xco	khwa1238	True	False	False	False	False	False
Khumi Chin	cnk	khum1248	False	True	False	False	False	False
Khorasan Arabic	NOCODE_Khorasan-Arabic	khor1274	True	False	False	False	False	False
Khmu	kjg	khmu1256	False	True	False	False	False	False
Khinalugh	kjj	khin1240	False	True	False	False	False	False
Kharia Thar	ksy	khar1283	True	False	False	False	False	False
Kharam Naga	kfw	khar1288	True	False	False	False	False	False
Khana	ogo	khan1278	False	True	False	False	False	False
Khamti	kht	kham1290	True	False	False	False	False	False
Khaling	klr	khal1275	True	False	False	False	False	False
Ket	ket	kett1243	False	True	False	False	False	False
Kesawai	xes	kesa1244	False	True	False	False	False	False
Kendayan-Belangin	knx	kend1254	False	True	False	False	False	False
Kemezung	dmo	keme1240	False	True	False	False	False	False
Kelantan-Pattani Malay	mfa	patt1249	False	True	False	False	False	False
Kelabit	kzi	kela1258	False	True	False	False	False	False
Ke'o	xxk	keoo1238	False	True	False	False	False	False
Kayardild	gyd	kaya1319	True	False	False	False	False	False
Kayan Lahwi	pdu	kaya1315	False	True	False	False	False	False
Kawaiisu	xaw	kawa1283	False	True	False	False	False	False
Kavalan	ckv	kava1241	False	True	False	False	False	False
Kaulong	pss	kaul1240	False	True	False	False	False	False
Katë	bsh	kati1270	True	False	False	False	False	False
Katukína-Kanamarí	knm	kana1291	False	True	False	False	False	False
Katso	kaf	kats1235	False	True	False	False	False	False
Kato	ktw	kato1244	True	False	False	False	False	False
Katkari	kfu	katk1238	True	False	False	False	False	False
Katcha-Kadugli-Miri	xtc	katc1249	False	True	False	False	False	False
Kasua	khs	kasu1251	False	True	False	False	False	False
Kaska	kkz	kask1239	False	True	False	False	False	False
Kasem	xsm	kase1253	True	False	False	False	False	False
Karitiâna	ktn	kari1311	False	True	False	False	False	False
Karipúna Creole French	kmv	kari1301	False	True	False	False	False	False
Karata	kpt	kara1474	False	True	False	False	False	False
Karamojong	kdj	kara1483	True	False	False	False	False	False
Karadjeri	gbd	kara1476	False	True	False	False	False	False
Kara-Kalpak	kaa	kara1467	True	False	False	False	False	False
Kapriman	dju	kapr1245	False	True	False	False	False	False
Kankanaey	kne	kank1243	False	True	False	False	False	False
Kanikkaran	kev	kani1275	True	False	False	False	False	False
Kanembu	kbl	kane1243	True	False	False	False	False	False
Kanasi	soq	kana1288	False	True	False	False	False	False
Kanashi	xns	kana1283	True	False	False	False	False	False
Kamula	xla	kamu1260	False	True	False	False	False	False
Kamu	xmu	kamu1258	False	True	False	False	False	False
Kami (Tanzania)	kcu	kami1256	False	True	False	False	False	False
Kambera	xbr	kamb1299	False	True	False	False	False	False
Kambaata	ktb	kamb1316	False	True	False	False	False	False
Kamas-Koibal	xas	kama1351	True	False	False	False	False	False
Kamang	woi	kama1365	False	True	False	False	False	False
Kam	kdx	kamm1249	False	True	False	False	False	False
Kaluli	bco	kalu1248	False	True	False	False	False	False
Kalispel-Pend d'Oreille	fla	kali1308	True	False	False	False	False	False
Kalabari	ijn	kala1381	False	True	False	False	False	False
Kakua	cbv	cacu1241	False	True	False	False	False	False
Kakabe	kke	kaka1265	False	True	False	False	False	False
Kairiru	kxa	kair1263	False	True	False	False	False	False
Kagulu	kki	kagu1239	False	True	False	False	False	False
Kafoa	kpu	kafo1240	False	True	False	False	False	False
Kado	kdv	kado1242	False	True	False	False	False	False
Kadiwéu	kbc	kadi1248	False	True	False	False	False	False
Kadar	kej	kada1242	True	False	False	False	False	False
Kabyle	kab	kaby1243	False	True	False	False	False	False
Kabuverdianu	kea	kabu1256	False	True	False	False	False	False
Kabardian	kbd	kaba1278	False	True	False	False	False	False
Kaba	ksp	kaba1281	False	True	False	False	False	False
Juquila Mixe	mxq	juqu1238	True	False	False	False	False	False
Jola-Fonyi	dyo	jola1263	True	False	False	False	False	False
Jina	jia	jina1244	False	True	False	False	False	False
Jibbali	shv	sheh1240	False	True	False	False	False	False
Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	jewi1240	False	True	False	False	False	False
Jerung	jee	jeru1240	False	True	False	False	False	False
Jejara Naga	pzn	para1302	False	True	False	False	False	False
Jehai	jhi	jeha1242	False	True	False	False	False	False
Jedek	NOCODE_Jedek	jede1239	False	True	False	False	False	False
Jebero	jeb	jebe1250	True	False	False	False	False	False
Jaunsari	jns	jaun1243	True	False	False	False	False	False
Jarawa (India)	anq	jara1245	False	True	False	False	False	False
Jarai	jra	jara1266	False	True	False	False	False	False
Jaqaru	jqr	jaqa1244	False	True	False	False	False	False
Japhug	NOCODE_Japhug	japh1234	False	True	False	False	False	False
Japanese	jpn	nucl1643	False	True	False	False	False	False
Jamsay Dogon	djm	jams1239	False	True	False	False	False	False
Jaminjung-Ngaliwurru	djd	djam1255	False	True	False	False	False	False
Jamiltepec Mixtec	mxt	jami1235	False	True	False	False	False	False
Jalkunan	bxl	jalk1242	False	True	False	False	False	False
Jad	jda	jadd1243	True	False	False	False	False	False
Izi-Ezaa-Ikwo-Mgbo	izi	izie1238	True	False	False	False	False	False
Iyo	nca	iyoo1238	False	True	False	False	False	False
Iwal	kbm	iwal1237	False	True	False	False	False	False
Ivbie North-Okpela-Arhe	atg	ivbi1241	False	True	False	False	False	False
Iu Mien	ium	iumi1238	False	True	False	False	False	False
Itzá	itz	itza1241	False	True	False	False	False	False
Italian	ita	ital1282	False	True	False	False	False	False
Isthmus Zapotec	zai	isth1244	False	True	False	False	False	False
Isinai	inn	isin1239	True	False	False	False	False	False
Inor	ior	inor1238	False	True	False	False	False	False
Inland-Buhi-Daraga Bikol	bhk	alba1269	False	True	False	False	False	False
Ineseño	inz	ines1240	False	True	False	False	False	False
Indo-Aryan Kinnauri	kjo	hari1246	False	True	False	False	False	False
Inari Sami	smn	inar1241	False	True	False	False	False	False
Imonda	imn	imon1245	False	True	False	False	False	False
Imbabura Highland Quichua	qvi	imba1240	False	True	False	False	False	False
Ila	ilb	ilaa1246	True	False	False	False	False	False
Ikoma-Nata	ntk	ikom1245	False	True	False	False	False	False
Ik	ikx	ikkk1242	False	True	False	False	False	False
Idun	ldb	idun1241	False	True	False	False	False	False
Ida'an	dbj	idaa1241	False	True	False	False	False	False
Icelandic	isl	icel1247	True	False	False	False	False	False
Ibibio	ibb	ibib1240	False	True	False	False	False	False
Iau	tmu	iauu1242	False	True	False	False	False	False
Iatmul	ian	iatm1242	False	True	False	False	False	False
Iaai	iai	iaai1238	True	False	False	False	False	False
I'saka	ksi	kris1246	False	True	False	False	False	False
Hup	jup	hupd1244	False	True	False	False	False	False
Hunzib	huz	hunz1247	True	False	False	False	False	False
Hungana	hum	hung1278	False	True	False	False	False	False
Hun-Saare	dud	huns1239	False	True	False	False	False	False
Humburi Senni Songhay	hmb	humb1243	False	True	False	False	False	False
Hula	hul	hula1239	True	False	False	False	False	False
Huehuetla Tepehua	tee	hueh1236	False	True	False	False	False	False
Huba	hbb	huba1236	True	False	False	False	False	False
Huaylla Wanca Quechua	qvw	huay1241	False	True	False	False	False	False
Huastec	hus	huas1242	False	True	False	False	False	False
Huarijio	var	huar1255	False	True	False	False	False	False
Huallaga Huánuco Quechua	qub	hual1241	False	True	False	False	False	False
Hote	hot	hote1245	False	True	False	False	False	False
Hopi	hop	hopi1249	True	False	False	False	False	False
Hmong Njua	hnj	hmon1264	False	True	False	False	False	False
Hmong Daw	mww	hmon1333	False	True	False	False	False	False
Hmar	hmr	hmar1241	True	False	False	False	False	False
Hixkaryána	hix	hixk1239	False	True	False	False	False	False
Hinuq	gin	hinu1240	False	True	False	False	False	False
Hindi	hin	hind1269	True	False	False	False	False	False
Hills Karbi	mjw	karb1241	True	False	False	False	False	False
Hieroglyphic Luwian	hlu	hier1240	True	False	False	False	False	False
Herero	her	here1253	False	True	False	False	False	False
Hdi	xed	hdii1240	False	True	False	False	False	False
Hawu	hvn	sabu1255	False	True	False	False	False	False
Hawai'i Creole English	hwc	hawa1247	False	True	False	False	False	False
Hatang Kayi	agv	remo1247	True	False	False	False	False	False
Hassaniyya	mey	hass1238	True	False	False	False	False	False
Harari	har	hara1271	True	False	False	False	False	False
Hano	lml	hano1246	True	False	False	False	False	False
Hanis	csz	coos1249	True	False	False	False	False	False
Hanga Hundi	wos	hang1263	False	True	False	False	False	False
Halkomelem	hur	halk1245	False	True	False	False	False	False
