Language	ISO 639-3	Glottocode	comitative_causative	sociative
Wu Chinese	wuu	wuch1236	False	False
Woun Meu	noa	woun1238	False	False
Wotu	wtw	wotu1240	False	False
Worrorra	wro	worr1237	False	False
Worodougou	jud	woro1256	False	False
Worimi	kda	wori1245	False	False
Woods Cree	cwd	wood1236	False	False
Wongo	won	wong1247	False	False
Wolof	wol	nucl1347	False	False
Wolio	wlo	woli1241	False	False
Woleaian	woe	wole1240	False	False
Wolaytta	wal	wola1242	False	False
Wolane	wle	wola1253	False	False
Woiwurrung	wyi	woiw1237	False	False
Woi	wbw	woii1237	False	False
Wiyot	wiy	wiyo1248	False	False
Wiru	wiu	wiru1244	False	False
Wirangu	wgu	wira1265	False	False
Wiradhuri	wrh	wira1262	False	False
Wipi	gdr	wipi1242	False	False
Wintu	wit	wint1259	False	False
Wilson River (Grey Range)	nbx	ngur1261	False	False
Wik-Ngathana	wig	wikn1245	False	False
Wik-Mungkan	wim	wikm1247	False	False
Wichí Lhamtés Vejoz	wlv	wich1263	False	False
Wichita	wic	wich1260	False	False
Whitesands	tnp	whit1269	False	False
Westphalic	wep	west2356	False	False
Western Xiangxi Miao	mmr	west2430	False	False
Western Victoria	NOCODE_Western-Victoria	west2443	False	False
Western Tlacolula Valley Zapotec	zab	sanj1284	False	False
Western Tamang	tdg	west2415	False	False
Western Subanon	suc	west2557	False	False
Western Sisaala	ssl	west2465	False	False
Western Puroik	NOCODE_Western-Puroik	west2873	False	False
Western Parbate Kham	kjl	west2420	False	False
Western Pantar	lev	lamm1241	False	False
Western Panjabi	pnb	west2386	False	False
Western Ojibwa	ojw	west1510	False	False
Western Neo-Aramaic	amw	west2763	False	False
Western Minyag	wmg	west2417	False	False
Western Lawa	lcp	west2396	False	False
Western Keres	kjq	west2632	False	False
Western Kayah	kyu	west2409	False	False
Western Karaboro	kza	west2466	False	False
Western Juxtlahuaca Mixtec	jmx	west2643	False	False
Western Huasteca Nahuatl	nhw	west2624	False	False
Western Highland Chatino	ctp	west2644	False	False
Western Frisian	fry	west2354	False	False
Western Fijian	wyy	west2519	False	False
Western Farsi	pes	west2369	False	False
Western Dani	dnw	west2594	False	False
Western Cham	cja	west2650	False	False
Western Canadian Inuktitut	ikt	west2618	False	False
Western Bru	brv	west2397	False	False
Western Balochi	bgn	west2368	False	False
Western Arrarnta	are	west2441	False	False
Western Armenian	hyw	homs1234	False	False
Western Apache	apw	west2615	False	False
Western Abenaki	abe	west2630	False	False
West Yugur	ybe	west2402	False	False
West Tarangan	txn	west2538	False	False
West Makian	mqs	west2600	False	False
West Kewa	kew	west2599	False	False
West Damar	drn	west2548	False	False
West Coast Bajau	bdr	west2560	False	False
West Central Oromo	gaz	west2721	False	False
West Berawan	zbw	west2564	False	False
Wersing	kvw	wers1238	False	False
Weri	wer	weri1253	False	False
Welsh	cym	wels1247	False	False
Welsh Romani	rmw	wels1246	False	False
Wedau	wed	weda1241	False	False
Wayuu	guc	wayu1243	False	False
Wayu	vay	wayu1241	False	False
Wayana	way	waya1269	False	False
Wawa	www	wawa1246	False	False
Waurá	wau	waur1244	False	False
Wathawurrung	wth	wath1238	False	False
Watam	wax	wata1253	False	False
Waskia	wsk	wask1241	False	False
Washo	was	wash1253	False	False
Warumungu	wrm	waru1265	False	False
Warrwa	wwr	warr1258	False	False
Warrnambool	gjm	warr1257	False	False
Warrgamay	wgy	warr1255	False	False
Warray	wrz	wara1290	False	False
Warluwara	wrb	warl1256	False	False
Warlpiri	wbp	warl1254	False	False
Warlmanpa	wrl	warl1255	False	False
Waris	wrs	wari1266	False	False
Wari'	pav	wari1268	False	False
Warembori	wsa	ware1253	False	False
Wardaman	wrr	ward1246	False	False
Waray (Philippines)	war	wara1300	False	False
Warao	wba	wara1303	False	False
Wara	wbf	wara1292	False	False
Wappo	wao	wapp1239	False	False
Wapishana	wap	wapi1253	False	False
Wapan	juk	wapa1235	False	False
Waorani	auc	waor1240	False	False
Wantoat	wnc	want1252	False	False
Wano	wno	wano1243	False	False
Wanman	wbt	wanm1242	False	False
Wangaaybuwan-Ngiyambaa	wyb	wang1291	False	False
Wanga	lwg	wang1294	False	False
Waneci	wne	wane1241	False	False
Wandarang	wnd	wand1263	False	False
Wandamen	wad	wand1267	False	False
Wandala	mfi	wand1278	False	False
Wanam Yelmek	NOCODE_Wanam	wana1273	False	False
Wampanoag	wam	wamp1249	False	False
Wamey	cou	wame1240	False	False
Wambon	wms	wamb1259	False	False
