Language	ISO 639-3	Glottocode	comitative_causative	sociative
Ninde	mwi	labo1244	False	False
Ninam	shb	nina1238	False	False
Nimboran	nir	nucl1633	False	False
Nimadi	noe	nima1243	False	False
Nilamba	nim	nila1242	False	False
Nii	nii	niii1240	False	False
Nigerian Pidgin	pcm	nige1257	False	False
Niellim	nie	niel1243	False	False
Nicaragua Creole English	bzk	nica1252	False	False
Nias	nia	nias1242	False	False
Nhengatu	yrl	nhen1239	False	False
Nhanda	nha	nhan1238	False	False
Ngäbere	gym	ngab1239	False	False
Ngwe	nwe	ngwe1238	False	False
Ngomba	jgo	ngom1272	False	False
Ngochang	NOCODE_Ngochang	ngoc1235	False	False
Ngkâlmpw Kanum	kcd	ngka1235	False	False
Ngiti	niy	ngit1239	False	False
Ngie	ngj	ngie1242	False	False
Nggem	nbq	ngge1241	False	False
Ngbaka Minagende	nga	ngba1285	False	False
Ngazidja Comorian	zdj	ngaz1238	False	False
Ngas	anc	ngas1240	False	False
Ngarluma	nrl	ngar1287	False	False
Ngarla on the Ashburton river south of the Hamersley range	nrk	ngar1296	False	False
Ngarinyin	ung	ngar1284	False	False
Ngarinman	nbj	ngar1235	False	False
Ngardi	rxd	ngar1288	False	False
Ngangam	gng	ngan1299	False	False
Ngandi	nid	ngan1295	False	False
Ngamo	nbh	ngam1282	False	False
Ngambay	sba	ngam1268	False	False
Ngalkbun	ngk	ngal1292	False	False
Ngalakan	nig	ngal1293	False	False
Ngadjunmaya	nju	ngad1258	False	False
Ngad'a	nxg	ngad1261	False	False
Ngaanyatjarra	ntj	ngaa1240	False	False
Nez Perce	nez	nezp1238	False	False
Neverver	lgk	ling1265	False	False
Neve'ei	vnm	vinm1237	False	False
Nese	NOCODE_Nese	nese1235	False	False
Nepali	npi	nepa1254	False	False
Neo-Mandaic	mid	nucl1706	False	False
Nengone	nen	neng1238	False	False
Nend	anh	nend1239	False	False
Nen	nqn	nenn1238	False	False
Nek	nif	nekk1240	False	False
Nehan	nsn	neha1247	False	False
Negeri Sembilan Malay	zmi	nege1240	False	False
Negerhollands	dcr	nege1244	False	False
Nedebang	nec	nede1245	False	False
Ndut	ndv	ndut1239	False	False
Ndonga	ndo	ndon1254	False	False
Ndengereko	ndg	nden1248	False	False
Ndau	ndc	ndau1241	False	False
Ndamba	ndj	ndam1239	False	False
Ndali	ndh	ndal1241	False	False
Ncane	ncr	ncan1245	False	False
Nayi	noz	nayi1243	False	False
Nawuri	naw	nawu1242	False	False
Navajo	nav	nava1243	False	False
Nauru	nau	naur1243	False	False
Nauete	nxa	naue1237	False	False
Nati	NOCODE_Nati	nati1244	False	False
Natchez	ncz	natc1249	False	False
Narungga	nnr	naru1238	False	False
Narrinyeri	nay	narr1259	False	False
Naro	nhr	naro1249	False	False
Narim	loh	nari1240	False	False
Nara	nrb	nara1262	False	False
Nar Phu	npa	narp1239	False	False
Nankina	nnk	nank1250	False	False
Nangikurrunggurr	nam	nang1259	False	False
Nanggu	ngr	nang1262	False	False
Nanga	nzz	nang1261	False	False
Nandi	niq	nand1266	False	False
Nande	nnb	nand1264	False	False
Nanai	gld	nana1257	False	False
Namuyi	nmy	namu1246	False	False
Namia	nnm	nami1256	False	False
Nambo	ncm	namb1293	False	False
Naman	lzl	litz1237	False	False
Namakura	nmk	nama1268	False	False
Nama (Namibia)	naq	nama1264	False	False
Nalik	nal	nali1244	False	False
Nalca	nlc	nalc1240	False	False
Naki	mff	naki1238	False	False
Nakara	nck	naka1260	False	False
Nakanai	nak	naka1262	False	False
Najdi Arabic	ars	najd1235	False	False
Najanga-Kindige	dbu	bond1248	False	False
Nai	bio	naii1241	False	False
Nahenic	NOCODE_Nahenic	nahe1238	False	False
Nahavaq	sns	sout2857	False	False
Naga Pidgin	nag	naga1394	False	False
Nabak	naf	naba1256	False	False
Naasioi	nas	naas1242	False	False
Na	nbt	naaa1245	False	False
Mün Chin	mwq	munc1235	False	False
Mískito	miq	misk1235	False	False
Máku	xak	maku1246	False	False
Myene	mye	myen1241	False	False
Mycenaean Greek	gmy	myce1241	False	False
Mwotlap	mlv	motl1237	False	False
Mwera (Nyasa)	mjh	mwer1247	False	False
Mwera (Chimwera)	mwe	mwer1248	False	False
Mwani	wmw	mwan1247	False	False
Mwan	moa	mwan1250	False	False
Mwakai	mgt	mong1344	False	False
Mwaghavul	sur	mwag1236	False	False
Muyuw	myw	muyu1244	False	False
Muyang	muy	muya1243	False	False
Mutsun	css	muts1243	False	False
Mussau-Emira	emi	muss1246	False	False
Musom	msu	muso1238	False	False
Muruwari	zmu	muru1266	False	False
Murui Huitoto	huu	muru1274	False	False
Murrinh-Patha	mwf	murr1258	False	False
Murle	mur	murl1244	False	False
Muong	mtq	muon1246	False	False
Munsee	umu	muns1251	False	False
Mungbam	mij	abar1238	False	False
Mungaka	mhk	mung1266	False	False
Mundari	unr	mund1320	False	False
Mundabli	boe	mund1328	False	False
Muna	mnb	muna1247	False	False
Mumuye	mzm	nucl1240	False	False
Mullukmulluk	mpb	mull1237	False	False
Mulam	mlm	mula1253	False	False
Muklom	NOCODE_Muklom	mukl1234	False	False
Mufian	aoj	mufi1238	False	False
Muduapa	wiv	mudu1242	False	False
Mualang	mtd	mual1241	False	False
Mru	mro	mruu1242	False	False
Mro Chin	cmr	mroc1235	False	False
Mpur	akc	mpur1239	False	False
Mpoto	mpa	mpot1240	False	False
Mpongmpong	mgg	mpon1254	False	False
Mpi	mpz	mpii1239	False	False
Mpade	mpi	mpad1242	False	False
Moyon	nmo	moyo1238	False	False
Movono	tgp	tang1347	False	False
Movima	mzp	movi1243	False	False
Mountain Koiali	kpx	moun1252	False	False
Motu	meu	motu1246	False	False
Mota	mtt	mota1237	False	False
Mossi	mos	moss1236	False	False
Moskona	mtj	mosk1236	False	False
Mosetén-Chimané	cas	mose1249	False	False
Moselle Franconian	ltz	luxe1241	False	False
Mortlockese	mrl	mort1237	False	False
Moroccan Arabic	ary	moro1292	False	False
Moro	mor	moro1285	False	False
Morisyen	mfe	mori1278	False	False
Mori Bawah	xmz	mori1268	False	False
Morelos Nahuatl	nhm	more1259	False	False
Mor (Mor Islands)	mhz	morm1235	False	False
Moose Cree	crm	moos1236	False	False
Montagnais	moe	mont1268	False	False
Mono-Alu	mte	mono1273	False	False
Mono (USA)	mnr	mono1275	False	False
Mono (Democratic Republic of Congo)	mnh	mono1270	False	False
Moni	mnz	moni1261	False	False
Mongolia Buriat	bxm	mong1330	False	False
Mongo	lol	mong1338	False	False
Mongghul	mjg	huzh1238	False	False
Mon	mnw	monn1252	False	False
Momu-Fas	fqs	fass1245	False	False
Mombo Dogon	dmb	momb1254	False	False
Moloko	mlw	molo1266	False	False
Molmo One	aun	molm1235	False	False
Mokpwe	bri	mokp1239	False	False
Moklen	mkm	mokl1243	False	False
Mokilese	mkj	moki1238	False	False
Moken	mwt	moke1242	False	False
Mok	mqt	mokk1243	False	False
Moi (Indonesia)	mxn	moii1235	False	False
Mohegan-Montauk-Narragansett	mof	mohe1244	False	False
Mohawk	moh	moha1258	False	False
Mohave	mov	moha1256	False	False
Mogholi	mhj	mogh1245	False	False
Modern Hebrew	heb	hebr1245	False	False
Modern Greek	ell	mode1248	False	False
Mocoví	moc	moco1246	False	False
Mocho	mhc	moch1257	False	False
Mochica	omc	moch1259	False	False
Mmen	bfm	mmen1238	False	False
Mlahsô	lhs	mlah1239	False	False
Mlabri	mra	mlab1235	False	False
Mizo	lus	lush1249	False	False
Miyako	mvi	miya1259	False	False
Miya	mkf	miya1266	False	False
Mixtepec Zapotec	zpm	mixt1426	False	False
Mitla Zapotec	zaw	mitl1236	False	False
Misool-Salawati Ma'ya	slz	maya1282	False	False
Mising-Padam-Miri-Minyong	mrg	misi1242	False	False
Misima-Paneati	mpx	misi1243	False	False
Miship	mjs	mish1244	False	False
Miriwung	mep	miri1266	False	False
Mirandese	mwl	mira1251	False	False
Minigir	vmg	mini1251	False	False
Mingrelian	xmf	ming1252	False	False
Minangkabau	min	mina1268	False	False
Min Nan Chinese	nan	minn1241	False	False
Min Bei Chinese	mnp	minb1244	False	False
Miluk	iml	milu1241	False	False
Millcayac	NOCODE_Millcayac	mill1237	False	False
Milang	NOCODE_Milang	mila1245	False	False
Mikasuki	mik	mika1239	False	False
Migabac	mpp	miga1241	False	False
Midob	mei	mido1240	False	False
Middle Mongol	xng	midd1351	False	False
Middle High German	gmh	midd1343	False	False
Middle English	enm	midd1317	False	False
Middle Clarence	bdy	midd1357	False	False
Middle Chinese	ltc	midd1344	False	False
Michoacán Nahuatl	ncl	mich1245	False	False
Michif	crg	mich1243	False	False
Mian	mpt	mian1256	False	False
Miami	mia	miam1252	False	False
Mi'kmaq	mic	mikm1235	False	False
Mezquital Otomi	ote	mezq1235	False	False
Meyah	mej	meya1236	False	False
Mewati	wtm	mewa1250	False	False
Mewari	mtr	mewa1249	False	False
Meta'	mgo	meta1238	False	False
Mesqan	mvz	mesq1240	False	False
Meskwaki	sac	mesk1242	False	False
Mescalero-Chiricahua Apache	apm	mesc1238	False	False
Mesaka	iyo	mesa1245	False	False
Meru	mer	meru1245	False	False
Meriam	ulk	meri1244	False	False
Merei	lmb	mere1242	False	False
Menya	mcr	meny1245	False	False
Menominee	mez	meno1252	False	False
Mende (Sierra Leone)	men	mend1266	False	False
Mende (Papua New Guinea)	sim	mend1268	False	False
Melpa	med	melp1238	False	False
Melo	mfx	melo1242	False	False
Mele-Fila	mxe	mele1250	False	False
Mekeo	mek	meke1243	False	False
Mehri	gdq	mehr1241	False	False
Mehek	nux	mehe1243	False	False
Mednyj Aleut	mud	medn1235	False	False
Me'en	mym	meen1242	False	False
Mbula	mna	mbul1263	False	False
Mbukushu	mhw	mbuk1240	False	False
Mbuko	mqb	mbuk1243	False	False
Mbuk	bpc	mbuk1244	False	False
Mbugwe	mgz	mbug1242	False	False
Mbugu	mhd	mbug1240	False	False
Mbre	mka	mbre1244	False	False
Mbosi	mdw	mbos1242	False	False
Mbere-Mbamba	mdt	mber1257	False	False
Mbe	mfo	mbee1249	False	False
Mbay	myb	mbay1241	False	False
Mbalanhu	lnb	mbal1255	False	False
Mbabaram	vmb	mbab1239	False	False
Mazanderani	mzn	maza1291	False	False
Mayogo	mdm	mayo1261	False	False
Mayo	mfy	mayo1264	False	False
Maybrat-Karon	ayz	maib1239	False	False
Mauwake	mhl	mauw1238	False	False
Maung	mph	maun1240	False	False
Matumbi	mgw	matu1259	False	False
Mattole	mvb	matt1238	False	False
Mato	met	mato1252	False	False
Matigsalug Manobo	mbt	mati1250	False	False
Mateq	xem	kemb1249	False	False
Matbat	xmt	matb1237	False	False
Maskelynes	klv	mask1242	False	False
Masbatenyo	msb	masb1238	False	False
Masalit	mls	nucl1440	False	False
Masai	mas	masa1300	False	False
Masaaba	myx	masa1299	False	False
Marwari (India)	rwr	marw1260	False	False
Maru	mhx	maru1249	False	False
Martuthunira	vma	mart1255	False	False
Martu Wangka	mpj	mart1256	False	False
Marshallese	mah	mars1254	False	False
Marori	mok	moro1289	False	False
Marithiel	mfr	mari1424	False	False
Maring	mbw	mari1435	False	False
Marind	mrz	nucl1622	False	False
Marik	dad	mari1428	False	False
Maricopa	mrc	mari1440	False	False
Maria (India)	mrr	mari1414	False	False
Marathi	mar	mara1378	False	False
Maranunggu	zmr	mara1386	False	False
Maranao	mrw	mara1404	False	False
Maram Naga	nma	mara1379	False	False
Maragus	mrs	mara1399	False	False
Maraghei	vmh	mara1373	False	False
Mara	mec	mara1385	False	False
Mara Chin	mrh	mara1382	False	False
Mar Paharia of Dumka	mkb	malp1246	False	False
Mapudungun	arn	mapu1245	False	False
Mapos Buang	bzh	mapo1242	False	False
Mape	mlh	mape1249	False	False
Maori	mri	maor1246	False	False
Maore Comorian	swb	maor1244	False	False
Maonan	mmd	maon1241	False	False
Manyika	mxc	many1258	False	False
Manx	glv	manx1243	False	False
Manus Koro	kxr	bowa1234	False	False
Manumanaw Karen	kxf	manu1255	False	False
Mansim	NOCODE_Mansim	mans1260	False	False
Mansaka	msk	mans1262	False	False
Mannan	mjv	mann1246	False	False
Mann	mev	mann1248	False	False
Mankanya	knf	mank1251	False	False
Maniq	tnz	tong1308	False	False
Manipuri	mni	mani1292	False	False
Mangseng	mbh	mang1403	False	False
Mangghuer	NOCODE_Mangghuer	minh1238	False	False
Manggarai	mqy	mang1405	False	False
Mangga Buang	mmo	mang1404	False	False
Mangbetu	mdj	mang1394	False	False
Mangarayi	mpc	mang1381	False	False
Mangala	mem	mang1383	False	False
Mangaia-Old Rapa	ray	rapa1245	False	False
Manga Kanuri	kby	mang1399	False	False
Mandjak	mfv	mand1419	False	False
Mandinka	mnk	mand1436	False	False
Mandeali	mjl	mand1409	False	False
Mandaya	mry	kara1489	False	False
Mandarin Chinese	cmn	mand1415	False	False
Mandari	mqu	mand1425	False	False
Mandara	tbf	mand1440	False	False
Mandan	mhq	mand1446	False	False
Manda-Matumba	mgs	mand1423	False	False
Manda (India)	mha	mand1413	False	False
Mand	ate	atem1241	False	False
Manchu	mnc	manc1252	False	False
Manat	pmr	payn1244	False	False
Manange	nmm	mana1288	False	False
Manambu	mle	mana1298	False	False
Manam	mva	mana1295	False	False
Mampruli	maw	mamp1244	False	False
Mambwe-Lungu	mgr	mamb1296	False	False
Mambai	mcs	mamb1294	False	False
Mambae	mgm	mamb1306	False	False
Mamanwa	mmn	mama1275	False	False
Mamaindé	wmd	mama1278	False	False
Mam	mam	mamm1241	False	False
Malvi	mup	malv1243	False	False
Malua Bay	mll	malu1245	False	False
Maltese	mlt	malt1254	False	False
Malinaltepec Me'phaa	tcf	mali1285	False	False
Mali	gcc	mali1284	False	False
Malgana	vml	malg1242	False	False
Maleu-Kilenge	mgl	male1289	False	False
Malecite-Passamaquoddy	pqm	male1292	False	False
Male (Ethiopia)	mdy	male1284	False	False
Malba Birifor	bfo	malb1235	False	False
Malayo	mbp	mala1522	False	False
Malay, Manado	xmm	mala1481	False	False
Malawi Lomwe	lon	mala1256	False	False
Malaweg	NOCODE_Malaweg	mala1534	False	False
Malacca-Batavia Portuguese Creole	mcm	mala1533	False	False
Malabar-Sri Lanka Portuguese	NOCODE_Malabar-Sri-Lanka-Portuguese	mala1544	False	False
Makwe	ymk	makw1236	False	False
Maku'a	lva	maku1277	False	False
Makonde	kde	mako1251	False	False
Makhuwa-Saka	xsq	makh1266	False	False
Makhuwa-Meetto	mgh	makh1261	False	False
Makhuwa	vmw	makh1264	False	False
Makasar	mak	maka1311	False	False
Makasae-Makalero	mkz	maka1316	False	False
Makah	myh	maka1318	False	False
Makaa	mcp	maka1304	False	False
Mak (China)	mkg	makc1235	False	False
Majhi	mjz	majh1253	False	False
Majang	mpe	maja1242	False	False
Maithili	mai	mait1250	False	False
Maisin	mbq	mais1250	False	False
Mairasi	zrs	nucl1594	False	False
Maipure-Avane	NOCODE_Maipure	maip1247	False	False
Mailu	mgu	mail1248	False	False
Maijiki	ore	orej1242	False	False
Maia	sks	maia1254	False	False
Mahasu Pahari	bfz	maha1287	False	False
Maharastri Prakrit	pmh	maha1305	False	False
Maguindanao	mdh	magu1243	False	False
Magahi	mag	maga1260	False	False
Mag-Anchi Ayta	sgb	maga1263	False	False
Mafea	mkv	mafe1237	False	False
Madurese	mad	nucl1460	False	False
Madngele	zml	madn1237	False	False
Madak	mmx	mada1285	False	False
Mada (Nigeria)	mda	mada1282	False	False
Macushi	mbc	macu1259	False	False
Machinga	mvw	mach1265	False	False
Machame	jmc	mach1266	False	False
Macedonian	mkd	mace1250	False	False
Macanese	mzs	maca1262	False	False
Mabaale	mmz	maba1270	False	False
Maay	ymm	maay1238	False	False
Maasina Fulfulde	ffm	maas1239	False	False
Ma'di	mhi	madi1260	False	False
Ma'anyan	mhy	maan1238	False	False
Ma Manda	skc	sauk1252	False	False
Lü	khb	luuu1242	False	False
Lydian	xld	lydi1241	False	False
Lycian A	xlc	lyci1241	False	False
Luyi	lyn	luya1241	False	False
Luwo	lwo	luwo1239	False	False
Luvale	lue	luva1239	False	False
Lusi	khl	lusi1240	False	False
Luo (Kenya and Tanzania)	luo	luok1236	False	False
Lundayeh	lnd	lund1271	False	False
Lunda	lun	lund1266	False	False
Luna	luj	luna1244	False	False
Lumun	lmd	lumu1239	False	False
Luiseno	lui	luis1253	False	False
Luguru	ruf	lugu1238	False	False
Lugbara	lgg	lugb1240	False	False
Luchazi	lch	luch1239	False	False
Lubuagan Kalinga	knb	lubu1243	False	False
Luba-Lulua	lua	luba1249	False	False
Luba-Katanga	lub	luba1250	False	False
Luangiua	ojv	onto1237	False	False
Luang	lex	luan1263	False	False
Lozi	loz	lozi1239	False	False
Lowland Tarahumara	tac	lowl1265	False	False
Lowland Oaxaca Chontal	clo	lowl1260	False	False
Lower-Nosop	nsb	lowe1407	False	False
Lower Tanana	taa	lowe1425	False	False
Lower Silesian	sli	lowe1388	False	False
Lower Riverland	NOCODE_Lower-Riverland	lowe1402	False	False
Lower Richmond	NOCODE_Lower-Richmond	lowe1444	False	False
Lower Grand Valley Dani	dni	lowe1415	False	False
Lower Chehalis	cea	lowe1427	False	False
Louisiana Creole French	lou	loui1240	False	False
Lou	loj	louu1245	False	False
Lotha Naga	njh	loth1237	False	False
Lote	uvl	lote1237	False	False
Lopit	lpx	lopi1242	False	False
Lonwolwol	crc	lonw1238	False	False
Loniu	los	loni1238	False	False
Longgu	lgu	long1395	False	False
Lombard	lmo	lomb1257	False	False
Loma (Liberia)	lom	loma1260	False	False
Lolopo	ycl	lolo1259	False	False
Lolak	llq	lola1250	False	False
Lokono	arw	araw1276	False	False
Loko	lok	loko1255	False	False
Lokaa	yaz	loka1252	False	False
Logo	log	logo1259	False	False
Logba	lgq	logb1245	False	False
Lizu	NOCODE_Lizu	lizu1234	False	False
Liv	liv	livv1244	False	False
Lithuanian	lit	lith1251	False	False
Lisu	lis	lisu1250	False	False
Lishán Didán	trg	lish1246	False	False
Lishana Deni	lsd	lish1247	False	False
Linngithigh	lnj	leni1238	False	False
Lingala	lin	ling1263	False	False
Limos Kalinga	kmk	limo1248	False	False
Limonese Creole	qlm	limo1249	False	False
Limilngan	lmc	nucl1327	False	False
Limbum	lmp	limb1268	False	False
Limbu	lif	limb1266	False	False
Lillooet	lil	lill1248	False	False
Liko	lik	lika1243	False	False
Lijili	mgi	liji1238	False	False
Lihir	lih	lihi1237	False	False
Ligurian	lij	ligu1248	False	False
Ligbi	lig	ligb1244	False	False
Libyan Arabic	ayl	liby1240	False	False
Libinza	liz	libi1244	False	False
Libido	liq	libi1250	False	False
Liberia Kpelle	xpe	libe1247	False	False
Lhomi	lhm	lhom1239	False	False
Lezghian	lez	lezg1247	False	False
Lewotobi	lwt	lewo1244	False	False
Lewo	lww	lewo1242	False	False
Leti (Indonesia)	lti	leti1246	False	False
Lese	les	lese1243	False	False
Lepcha	lep	lepc1244	False	False
Lenje	leh	lenj1248	False	False
Lengua Sur	enx	sout2989	False	False
Lengo	lgr	leng1259	False	False
Lendu	led	lend1245	False	False
Lenakel	tnl	lena1238	False	False
Lemeting	beg	bela1260	False	False
Lembena	leq	lemb1266	False	False
Lelepa	lpa	lele1267	False	False
Lelemi	lef	lele1264	False	False
Lele (Papua New Guinea)	lle	lele1270	False	False
Lele (Chad)	lln	lele1276	False	False
Leh Ladakhi	lbj	lada1244	False	False
Lega-Shabunda	lea	lega1249	False	False
Lega-Mwenga	lgm	lega1250	False	False
Leco	lec	leco1242	False	False
Lealao Chinantec	cle	leal1235	False	False
Laz	lzz	lazz1240	False	False
Lavukaleve	lvk	lavu1241	False	False
Lavia-Awalai-Damangnuo Awa	vwa	awac1238	False	False
Laven	lbo	lave1248	False	False
Lau	llu	lauu1247	False	False
Latvian	lav	latv1249	False	False
Latin	lat	lati1261	False	False
Late Palestinian Aramaic	NOCODE_Late-Palestinian-Aramaic	late1255	False	False
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	False	False
Lashi	lsi	lash1243	False	False
Larteh	lar	lart1238	False	False
Larike-Wakasihu	alo	lari1255	False	False
Lardil	lbz	lard1243	False	False
Laragia	lrg	lara1258	False	False
Lao	lao	laoo1244	False	False
Lango (Uganda)	laj	lang1324	False	False
Langi	lag	lang1320	False	False
Lampung Api	ljp	lamp1243	False	False
Lamnso'	lns	lamn1239	False	False
Lamkang	lmk	lamk1238	False	False
Lamjung-Melamchi Yolmo	scp	hela1238	False	False
Lamenu	lmu	lame1260	False	False
Lamboya	lmy	lamb1273	False	False
Lambadi	lmn	lamb1269	False	False
Lamba	lam	lamb1271	False	False
Lamang	hia	lama1288	False	False
Lamaholot	slp	lama1277	False	False
Lama (Togo)	las	lama1275	False	False
Lala-Bisa	leb	lala1264	False	False
Lala	nrz	lala1268	False	False
Lakota	lkt	lako1247	False	False
Lakkia	lbc	lakk1238	False	False
Lake Miwok	lmw	lake1258	False	False
Lak	lbe	lakk1252	False	False
Laiyolo	lji	laiy1246	False	False
Lahu	lhu	lahu1253	False	False
Lahta-Zayein Karen	kxk	zaye1235	False	False
Ladino	lad	ladi1251	False	False
Ladin	lld	ladi1250	False	False
Lachi	lbt	lach1248	False	False
Lacandon	lac	laca1243	False	False
Labuk-Kinabatangan Kadazan	dtb	labu1249	False	False
Labu	lbu	labu1248	False	False
Laari	ldi	laar1238	False	False
Kâte	kmg	kate1253	False	False
Kyerung	kgy	kyer1238	False	False
Kyaka	kyc	kyak1244	False	False
Kxoe	xuu	kxoe1243	False	False
Kwomtari	kwo	nucl1593	False	False
Kwoma	kmo	kwom1262	False	False
Kwini	gww	kwin1241	False	False
Kwerba	kwe	nucl1595	False	False
Kwegu	xwg	kweg1241	False	False
Kwaza	xwa	kwaz1243	False	False
Kwaya	kya	kway1241	False	False
Kwara'ae	kwf	kwar1239	False	False
Kwangali	kwn	kwan1273	False	False
Kwamera	tnk	kwam1252	False	False
Kwama	kmq	kwam1249	False	False
Kwakum	kwu	kwak1266	False	False
Kwak'wala	kwk	kwak1269	False	False
Kwaio	kwd	kwai1243	False	False
Kwadi	kwz	kwad1244	False	False
Kven Finnish	fkv	kven1236	False	False
Kuy	kdt	kuyy1240	False	False
Kuungkari of Barcoo River	lku	kuun1236	False	False
Kutep	kub	kute1248	False	False
Kutenai	kut	kute1249	False	False
Kusunda	kgg	kusu1250	False	False
Kusaal	kus	kusa1250	False	False
Kurukh	kru	kuru1301	False	False
Kurtokha	xkz	kurt1248	False	False
Kurrama	vku	kurr1243	False	False
Kuria	kuj	kuri1259	False	False
Kupsabiny	kpz	kups1238	False	False
Kupia	key	kupi1238	False	False
Kupang Malay	mkn	kupa1239	False	False
Kuot	kto	kuot1243	False	False
Kuo	xuo	kuoo1238	False	False
Kunjen	kjn	kunj1245	False	False
Kunimaipa	kup	kuni1267	False	False
Kuni-Boazi	kvg	kuni1265	False	False
Kung	kfl	kung1260	False	False
Kunbarlang	wlg	kunb1251	False	False
Kunama	kun	kuna1268	False	False
Kumzari	zum	kumz1235	False	False
Kumbainggar	kgs	kumb1268	False	False
Kumarbhag Paharia	kmj	kuma1274	False	False
Kumaoni	kfy	kuma1273	False	False
Kuman	kue	kuma1280	False	False
Kumam	kdi	kuma1275	False	False
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	False	False
Kulung (Nigeria)	bbu	kulu1255	False	False
Kulung (Nepal)	kle	kulu1253	False	False
Kulsab	faj	fait1240	False	False
Kullu Pahari	kfx	kull1236	False	False
Kula (Indonesia)	tpg	kula1280	False	False
Kuku-Yalanji	gvn	kuku1273	False	False
Kuku-Uwanh	uwa	kuku1280	False	False
Kuku-Muminh	xmh	kuku1283	False	False
Kuku	ukv	kuku1285	False	False
Kukatja	kux	kuka1246	False	False
Kui (Indonesia)	kvd	kuii1253	False	False
Kui (India)	kxu	kuii1252	False	False
Kubachi	ugh	kuba1248	False	False
Kuanyama	kua	kuan1247	False	False
Kuanua	ksd	kuan1248	False	False
Kryz	kry	kryt1240	False	False
Kriol	rop	krio1252	False	False
Krio	kri	krio1253	False	False
Kriang-Khlor	ngt	ngeq1245	False	False
Kpan	kpk	kpan1246	False	False
Koyukon	koy	koyu1237	False	False
Koyraboro Senni Songhai	ses	koyr1242	False	False
Koyra Chiini Songhay	khq	koyr1240	False	False
Koya	kff	koya1251	False	False
Koy Sanjaq Jewish Neo-Aramaic	kqd	koys1242	False	False
Kovai	kqb	kova1243	False	False
Kotiria	gvc	guan1269	False	False
Kotia-Adivasi Oriya-Desiya	ort	adiv1239	False	False
Koti	eko	koti1238	False	False
Kosraean	kos	kosr1238	False	False
Koshin	kid	kosh1246	False	False
Kosarek Yale	kkl	kosa1249	False	False
Korra Koraga	kfd	korr1238	False	False
Korowai	khe	koro1312	False	False
Koroshi	ktl	koro1296	False	False
Korop	krp	koro1304	False	False
Koromfé	kfz	koro1298	False	False
Korlai Portuguese	vkp	korl1238	False	False
Korku	kfq	kork1243	False	False
Korean	kor	kore1280	False	False
Korana	kqz	kora1292	False	False
Korafe-Yegha	kpr	kora1294	False	False
Koorete	kqy	koor1239	False	False
Koonzime	ozm	koon1245	False	False
Konzo	koo	konz1239	False	False
Konso	kxc	kons1243	False	False
Kono (Guinea)	knu	kono1267	False	False
Konni	kma	konn1242	False	False
Konkan Marathi	knn	konk1267	False	False
Konda-Dora	kfc	kond1295	False	False
Konai	kxw	kona1242	False	False
Komo (Sudan)	xom	komo1258	False	False
Komo (Democratic Republic of Congo)	kmw	komo1260	False	False
Komi-Zyrian	kpv	komi1268	False	False
Kombio	xbi	komb1272	False	False
Kombai	tyn	komb1274	False	False
Komba	kpf	komb1273	False	False
Kom (India)	kmm	komi1270	False	False
Kom (Cameroon)	bkm	komc1235	False	False
Koluwawa	klx	kolu1245	False	False
Kola	kvv	kola1285	False	False
Kol (Cameroon)	biw	kolc1235	False	False
Kokota	kkk	koko1269	False	False
Koko Dhawa	NOCODE_Koko-Dhawa	koko1272	False	False
Kokata	ktd	koka1244	False	False
Kok-Nar	gko	kokn1236	False	False
Kok Borok	trp	kokb1239	False	False
Koitabu	kqi	koit1244	False	False
Koireng	nkd	koir1240	False	False
Koi	kkt	koii1238	False	False
Kohumono	bcs	kohu1244	False	False
Koho	kpm	koho1244	False	False
Kofyar	kwl	kofy1242	False	False
Koenoem	kcs	koen1239	False	False
Kodava	kfa	koda1255	False	False
Kochila Tharu	thq	koch1247	False	False
Koch	kdq	koch1250	False	False
Kobon	kpw	kobo1249	False	False
Koasati	cku	koas1236	False	False
Kman	mxj	miju1243	False	False
Klon	kyo	kelo1247	False	False
Klao	klu	klao1243	False	False
Klamath-Modoc	kla	klam1254	False	False
Kituba (Democratic Republic of Congo)	ktu	kitu1246	False	False
Kitja	gia	kitj1240	False	False
Kitan	zkt	kita1247	False	False
Kistane	gru	kist1241	False	False
Kirghiz	kir	kirg1245	False	False
Kire	geb	kire1240	False	False
Kipsigis	sgc	kips1239	False	False
Kipchak Urum	uum	urum1249	False	False
Kiowa	kio	kiow1266	False	False
Kiowa Apache	apk	kiow1264	False	False
Kinyarwanda	kin	kiny1244	False	False
Kinnauri	kfk	kinn1249	False	False
Kimaragang	kqr	kima1244	False	False
Kilmeri	kih	kilm1241	False	False
Kiliwa	klb	kili1268	False	False
Kilivila	kij	kili1267	False	False
Kilen	NOCODE_Kilen	kile1243	False	False
Kikuyu	kik	kiku1240	False	False
Kickapoo	kic	kick1244	False	False
Khün	kkh	khun1259	False	False
Khwarshi-Inkhoqwari	khv	khva1239	False	False
Khwarezmian	xco	khwa1238	False	False
Khumi Chin	cnk	khum1248	False	False
Khroskyabs	jiq	guan1266	False	False
Khowar	khw	khow1242	False	False
Khotanese	kho	khot1251	False	False
Khoresh-e Rostam	okh	kore1279	False	False
Khorasan Arabic	NOCODE_Khorasan-Arabic	khor1274	False	False
