Language	ISO 639-3	Glottocode	occlusive	plosive	stop
Shihhi Arabic	ssh	shih1239	False	True	True
Sheko	she	shek1245	False	True	True
Shawi	cbt	chay1248	False	True	True
Shabo	sbf	shab1252	False	True	True
Seselwa Creole French	crs	sese1246	False	True	True
Serudung Murut	srk	seru1246	False	True	True
Sereer	srr	sere1260	False	True	True
Sentani	set	nucl1632	False	True	True
Semaq Beri	szc	sema1265	False	True	True
Selkup	sel	selk1253	False	True	True
Selk'nam	ona	onaa1245	False	True	True
Selee	snw	sele1249	False	True	True
Sekpele	lip	sekp1241	False	True	True
Seke (Vanuatu)	ske	seke1241	False	True	True
Seimat	ssg	seim1238	False	True	True
Seediq	trv	taro1264	False	True	True
Sawila	swt	sawi1256	False	True	True
Sauria Paharia	mjt	saur1249	False	True	True
Satawalese	stw	sata1237	False	True	True
Sasak	sas	sasa1249	False	True	True
Sanumá	xsu	sanu1240	False	True	True
Sangtam Naga	nsa	sang1321	False	True	True
Sango	sag	sang1328	False	True	True
Sanapaná	spn	sana1298	False	True	True
San Martín Quechua	qvs	sanm1289	True	False	True
San Andres Creole English	icr	sana1297	False	True	True
Samaritan	smp	sama1313	False	True	True
Saliba	sbe	sali1295	False	True	True
Saidi Arabic	aec	said1239	False	True	True
Saho	ssy	saho1246	False	True	True
Sacapulteco	quv	saca1238	True	False	True
Sabah Malay	msi	saba1263	False	True	True
Saafi-Saafi	sav	saaf1238	False	True	True
Réunion Creole French	rcf	reun1238	False	True	True
Ruuli	ruc	ruul1235	False	True	True
Rusyn	rue	rusy1239	False	True	True
Rungus	drg	rung1259	False	True	True
Ruga	ruh	ruga1238	False	True	True
Rongpo	rnp	rong1264	False	True	True
Romanian	ron	roma1327	False	True	True
Rio Grande Tewa	tew	tewa1260	False	True	True
Rimanggudinhma	zmv	mbar1253	False	True	True
Reta	ret	rett1240	False	True	True
Resígaro	rgr	resi1247	False	True	True
Rendille	rel	rend1243	False	True	True
Rembong-Wangka	reb	remb1250	False	True	True
Ravula	yea	ravu1237	False	True	True
Rarotongan	rar	raro1241	False	True	True
Rapanui	rap	rapa1244	False	True	True
Rana Tharu	thr	rana1246	False	True	True
Rakahanga-Manihiki	rkh	raka1237	False	True	True
Rabha	rah	rabh1238	False	True	True
Quileute	qui	quil1240	False	True	True
Qimant	ahg	qima1242	False	True	True
Qashqa'i	qxq	qash1240	False	True	True
Qaqet	byx	qaqe1238	False	True	True
Purik-Sham-Nubra	prx	puri1258	False	True	True
Pukapuka	pkp	puka1242	False	True	True
Psikye	kvj	psik1239	False	True	True
Principense	pre	prin1242	False	True	True
Prai	prt	phai1238	False	True	True
Poumei Naga	pmx	poum1235	False	True	True
Pontic	pnt	pont1253	False	True	True
Pondi	lnm	lang1328	False	True	True
Polabian	pox	pola1255	True	False	True
Pnar	pbv	pnar1238	False	True	True
Pite Sami	sje	pite1240	False	True	True
Piscataway	psy	pisc1239	False	True	True
Pirahã	myp	pira1253	True	False	True
Pinotepa Nacional Mixtec	mio	pino1237	False	True	True
Pimbwe	piw	pimb1238	False	True	True
Pijin	pis	piji1239	False	True	True
Pichi	fpe	fern1234	False	True	True
Piaroa	pid	piar1243	False	True	True
Phom Naga	nph	phom1236	False	True	True
Phalura	phl	phal1254	False	True	True
Phake	phk	phak1238	False	True	True
Pengo	peg	peng1244	True	False	True
Pendau	ums	pend1242	False	True	True
Pedi	nso	pedi1238	False	True	True
Paumarí	pad	paum1247	False	True	True
Patwin	pwi	patw1250	False	True	True
Parecís	pab	pare1272	False	True	True
Parachi	prc	para1299	False	True	True
Papuan Malay	pmy	papu1250	False	True	True
Papapana	ppn	papa1265	False	True	True
Paniya	pcg	pani1256	False	True	True
Panamint	par	pana1305	True	False	True
Pamosu	hih	pamo1253	False	True	True
Paluai	blq	balu1257	False	True	True
Palenquero	pln	pale1260	True	False	True
Paiwan	pwn	paiw1248	False	True	True
Pagu	pgu	pagu1249	False	True	True
Pagibete	pae	pagi1243	False	True	True
Otoro	otr	otor1240	False	True	True
Orma	orc	orma1241	False	True	True
Onondaga	ono	onon1246	False	True	True
Old Welsh	owl	oldw1239	False	True	True
Old Telugu	NOCODE_Old-Telugu	oldt1249	False	True	True
Old Saxon	osx	olds1250	False	True	True
Old Prussian	prg	prus1238	False	True	True
Old Provençal	pro	oldp1253	False	True	True
Old Marathi	omr	oldm1244	True	False	True
Old Kannada	qkn	oldk1250	False	True	True
Old French (842-ca. 1400)	fro	oldf1239	False	True	True
Oko-Eni-Osayen	oks	okoe1238	False	True	True
Oki-No-Erabu	okn	okin1246	False	True	True
Odoodee	kkc	odoo1238	False	True	True
Ocotepec Mixtec	mie	ocot1243	False	True	True
Occitan	oci	occi1239	True	False	True
Nzima	nzi	nzim1238	False	True	True
Nyunga	nys	nyun1247	False	True	True
Nyiyaparli	xny	nija1241	False	True	True
Nyiha (Tanzania)	nih	nyih1240	False	True	True
Nyangbo	nyb	nyan1302	False	True	True
Nyamwezi	nym	nyam1276	False	True	True
Nyam	nmi	nyam1285	False	True	True
Nyakyusa-Ngonde	nyy	nyak1260	False	True	True
Nukna	klt	nukn1238	False	True	True
Nubi	kcn	nubi1253	False	True	True
Northwestern Kolami	kfb	nort2699	False	True	True
Northwest Alaska Inupiatun	esk	nort2945	False	True	True
Northern Yukaghir	ykg	nort2745	False	True	True
Northern Tujia	tji	nort2732	False	True	True
Northern Subanen	stb	nort2885	False	True	True
Northern Qiang	cng	nort2722	False	True	True
Northern Pame	pmq	nort2984	False	True	True
Northern Khmer	kxm	nort2684	False	True	True
Northern Hmong	NOCODE_Northern-Hmong	nort3244	False	True	True
Northeast Maidu	nmu	nort2952	False	True	True
Northeast Kiwai	kiw	nort2930	False	True	True
North-Central Ju	knw	kung1261	False	True	True
North-Central Dargwa	dar	darg1241	False	True	True
North Mesopotamian Arabic	ayp	nort3142	False	True	True
North Marquesan	mrq	nort2845	True	False	True
North Levantine Arabic	apc	nort3139	False	True	True
North Junín Quechua	qvn	nort2980	False	True	True
Noon	snf	noon1242	False	True	True
Nocte Naga	njb	noct1238	False	True	True
Nkonya	nko	nkon1248	False	True	True
Nkami	nkq	nkam1239	False	True	True
Njyem	njy	njye1238	False	True	True
