Language	ISO 639-3	Glottocode	nasal_consonant	occlusive	oral_consonant	plosive	stop
Panamint	par	pana1305	True	True	False	False	True
Pamosu	hih	pamo1253	True	False	False	True	True
Paluai	blq	balu1257	True	False	False	True	True
Otoro	otr	otor1240	True	False	False	True	True
Old Welsh	owl	oldw1239	True	False	False	True	True
Old Saxon	osx	olds1250	True	False	False	True	True
Old Provençal	pro	oldp1253	True	False	False	True	True
Oki-No-Erabu	okn	okin1246	True	False	False	True	True
Occitan	oci	occi1239	True	True	False	False	True
Nzima	nzi	nzim1238	True	False	False	True	True
Northern Yukaghir	ykg	nort2745	True	False	False	True	True
Northern Subanen	stb	nort2885	True	False	False	True	True
Northern Roglai	rog	nort2994	True	False	True	False	True
North-Central Ju	knw	kung1261	True	False	False	True	True
North Junín Quechua	qvn	nort2980	True	False	False	True	True
Nocte Naga	njb	noct1238	True	False	False	True	True
Njyem	njy	njye1238	True	False	False	True	True
Nimboran	nir	nucl1633	True	False	False	True	True
Nicaragua Creole English	bzk	nica1252	True	False	False	True	True
Nias	nia	nias1242	True	False	False	True	True
Ndut	ndv	ndut1239	True	False	True	False	True
Ndamba	ndj	ndam1239	True	False	False	True	True
Nawuri	naw	nawu1242	True	False	False	True	True
Nangikurrunggurr	nam	nang1259	True	False	False	True	True
Namakura	nmk	nama1268	True	False	True	False	True
Nahavaq	sns	sout2857	True	False	False	True	True
Máku	xak	maku1246	True	True	False	False	True
Mwakai	mgt	mong1344	True	False	True	False	True
Mursi	muz	murs1242	True	False	False	True	True
Mungbam	mij	abar1238	True	False	False	True	True
Mundabli	boe	mund1328	True	False	False	True	True
Mumuye	mzm	nucl1240	True	False	False	True	True
Mualang	mtd	mual1241	True	False	False	True	True
Movima	mzp	movi1243	True	False	False	True	True
Moselle Franconian	ltz	luxe1241	True	False	False	True	True
Morisyen	mfe	mori1278	True	False	False	True	True
Mokpwe	bri	mokp1239	True	False	False	True	True
Moken	mwt	moke1242	True	False	False	True	True
Miship	mjs	mish1244	True	False	False	True	True
Minangkabau	min	mina1268	True	False	False	True	True
Mina (Cameroon)	hna	mina1276	True	False	False	True	True
Min Bei Chinese	mnp	minb1244	True	False	False	True	True
Mikasuki	mik	mika1239	True	True	False	False	True
Midob	mei	mido1240	True	False	False	True	True
Middle Chinese	ltc	midd1344	True	False	False	True	True
Mezquital Otomi	ote	mezq1235	True	False	False	True	True
Meta'	mgo	meta1238	True	False	False	True	True
Mehek	nux	mehe1243	True	False	False	True	True
Mbuk	bpc	mbuk1244	True	False	False	True	True
Mateq	xem	kemb1249	True	False	False	True	True
Mann	mev	mann1248	True	False	False	True	True
Mambwe-Lungu	mgr	mamb1296	True	False	False	True	True
Mambai	mcs	mamb1294	True	False	True	False	True
Malua Bay	mll	malu1245	True	False	False	True	True
Malba Birifor	bfo	malb1235	True	False	False	True	True
Malabar-Sri Lanka Portuguese	NOCODE_Malabar-Sri-Lanka-Portuguese	mala1544	True	False	False	True	True
Makwe	ymk	makw1236	True	False	False	True	True
Makhuwa-Saka	xsq	makh1266	False	True	False	True	True
Maisin	mbq	mais1250	True	False	False	True	True
Machame	jmc	mach1266	True	False	False	True	True
Ma Manda	skc	sauk1252	True	False	False	True	True
Luguru	ruf	lugu1238	True	False	False	True	True
Luchazi	lch	luch1239	True	False	False	True	True
Lombard	lmo	lomb1257	True	False	False	True	True
Loma (Liberia)	lom	loma1260	True	False	False	True	True
Loko	lok	loko1255	True	False	False	True	True
Lokaa	yaz	loka1252	True	False	False	True	True
Logba	lgq	logb1245	True	False	False	True	True
Lishán Didán	trg	lish1246	False	False	True	True	True
Limbu	lif	limb1266	True	False	False	True	True
Liko	lik	lika1243	True	False	False	True	True
Lihir	lih	lihi1237	True	False	False	True	True
Libido	liq	libi1250	True	False	False	True	True
