Language	ISO 639-3	Glottocode	absolutive	ergative
Mayo	mfy	mayo1264	True	True
Maung	mph	maun1240	True	True
Matsés	mcf	mats1244	True	True
Mateq	xem	kemb1249	True	True
Masbatenyo	msb	masb1238	True	True
Martuthunira	vma	mart1255	True	True
Martu Wangka	mpj	mart1256	True	True
Markweeta	enb	mark1255	True	True
Marind	mrz	nucl1622	True	True
Maraghei	vmh	mara1373	True	True
Mara	mec	mara1385	True	True
Maonan	mmd	maon1241	True	True
Manus Koro	kxr	bowa1234	True	True
Mann	mev	mann1248	True	True
Mangghuer	NOCODE_Mangghuer	minh1238	True	True
Mangarayi	mpc	mang1381	True	True
Mangala	mem	mang1383	True	True
Mangaia-Old Rapa	ray	rapa1245	True	True
Mandaya	mry	kara1489	True	True
Mandan	mhq	mand1446	True	True
Manange	nmm	mana1288	True	True
Manambu	mle	mana1298	True	True
Mamaindé	wmd	mama1278	True	True
Mam	mam	mamm1241	True	True
Malinaltepec Me'phaa	tcf	mali1285	True	True
Malgana	vml	malg1242	True	True
Malecite-Passamaquoddy	pqm	male1292	True	True
Malayo	mbp	mala1522	True	True
Makasar	mak	maka1311	True	True
Majhi	mjz	majh1253	True	True
Maisin	mbq	mais1250	True	True
Maijiki	ore	orej1242	True	True
Mahasu Pahari	bfz	maha1287	True	True
Mag-Anchi Ayta	sgb	maga1263	True	True
Maco	wpc	maco1239	True	True
Ma Manda	skc	sauk1252	True	True
Lowland Tarahumara	tac	lowl1265	True	True
Lopit	lpx	lopi1242	True	True
Limilngan	lmc	nucl1327	True	True
Limbu	lif	limb1266	True	True
Lihir	lih	lihi1237	True	True
Lhomi	lhm	lhom1239	True	True
Lezghian	lez	lezg1247	True	True
Lewotobi	lwt	lewo1244	True	True
Lengua Sur	enx	sout2989	True	True
Lembena	leq	lemb1266	True	True
Lavukaleve	lvk	lavu1241	True	True
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	True	True
Lardil	lbz	lard1243	True	True
Lamaholot	slp	lama1277	True	True
Lakkia	lbc	lakk1238	True	True
Lak	lbe	lakk1252	True	True
Laiyolo	lji	laiy1246	True	True
Lacandon	lac	laca1243	True	True
Kyerung	kgy	kyer1238	True	True
Kyaka	kyc	kyak1244	True	True
Kwomtari	kwo	nucl1593	True	True
Kuungkari of Barcoo River	lku	kuun1236	True	True
Kurtokha	xkz	kurt1248	True	True
Kurrama	vku	kurr1243	True	True
Kuni-Boazi	kvg	kuni1265	True	True
Kunbarlang	wlg	kunb1251	True	True
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	True	True
Kulung (Nepal)	kle	kulu1253	True	True
Kuku-Yalanji	gvn	kuku1273	True	True
Kuku-Uwanh	uwa	kuku1280	True	True
Kuikúro-Kalapálo	kui	kuik1246	True	True
Kubachi	ugh	kuba1248	True	True
Kryz	kry	kryt1240	True	True
Korlai Portuguese	vkp	korl1238	True	True
Konai	kxw	kona1242	True	True
Kokota	kkk	koko1269	True	True
Koi	kkt	koii1238	True	True
Klon	kyo	kelo1247	True	True
Khwarshi-Inkhoqwari	khv	khva1239	True	True
Khinalugh	kjj	khin1240	True	True
Khams Tibetan	khg	kham1282	True	True
Ket	ket	kett1243	True	True
Kelabit	kzi	kela1258	True	True
Kekchí	kek	kekc1242	True	True
