Language	ISO 639-3	Glottocode	verbal_number
Venetian	vec	vene1258	False
Venda	ven	vend1245	False
Varhadi-Nagpuri	vah	varh1239	False
Vanimo	vam	vani1248	False
Vamale	mkt	vama1243	False
Vaiphei	vap	vaip1239	False
Vai	vai	vaii1241	False
Vagla	vag	vagl1239	False
Vaghri	vgr	vagh1246	False
Vafsi	vaf	vafs1240	False
Vaeakau-Taumako	piv	pile1238	False
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	False
Vaal-Orange	kqu	vaal1235	False
Vaagri Booli	vaa	vaag1238	False
Uzbeki Arabic	auz	uzbe1248	False
Ute-Southern Paiute	ute	utes1238	False
Ut-Main	gel	kagf1238	False
Usarufa	usa	usar1243	False
Usan	wnu	usan1239	False
Urubú-Kaapor	urb	urub1250	False
Uru	ure	uruu1244	False
Uripiv-Wala-Rano-Atchin	upv	urip1239	False
Urim	uri	urim1252	False
Urhobo	urh	urho1239	False
Urdu	urd	urdu1245	False
Urat	urt	urat1244	False
Urartian	xur	urar1245	False
Urarina	ura	urar1246	False
Urak Lawoi'	urk	urak1238	False
Ura (Vanuatu)	uur	urav1235	False
Upper Taromi	tov	uppe1235	False
Upper Tanana	tau	uppe1437	False
Upper Sorbian	hsb	uppe1395	False
Upper Necaxa Totonac	tku	uppe1275	False
Upper Kinabatangan	dmg	uppe1427	False
Upper Guinea Crioulo	pov	uppe1455	False
Upper Chinookan	wac	wasc1239	False
Upper Chehalis	cjh	uppe1439	False
Unua	onu	unua1237	False
Unserdeutsch	uln	unse1236	False
Uneapa	bbn	unea1237	False
Uncunwee	ghl	ghul1238	False
Unami	unm	unam1242	False
Una	mtg	unaa1239	False
Umiray Dumaget Agta	due	umir1236	False
Umbuygamu	umg	umbu1256	False
Umbundu	umb	umbu1257	False
Umbugarla	umr	umbu1235	False
Umbu-Ungu	ubu	umbu1258	False
Umbrian	xum	umbr1253	False
Umatilla	uma	umat1237	False
Umanakaina	gdn	uman1240	False
Ulwa	ulw	ulwa1239	False
Ulwa (Papua New Guinea)	yla	yaul1241	False
Ulithian	uli	ulit1238	False
Ukrainian	ukr	ukra1253	False
Ukaan	kcf	ukaa1243	False
Uighur	uig	uigh1240	False
Ugong	ugo	ugon1239	False
Ughele	uge	ughe1237	False
Ugaritic	uga	ugar1238	False
Uduk	udu	uduk1239	False
Udmurt	udm	udmu1245	False
Udihe	ude	udih1248	False
Udi	udi	udii1243	False
Ubykh	uby	ubyk1235	False
Ubir	ubr	ubir1237	False
U	uuu	uuuu1243	False
Tübatulabal	tub	tuba1278	False
Tày	tyz	tayy1238	False
Tzotzil	tzo	tzot1259	False
Tzeltal	tzh	tzel1254	False
Tz'utujil	tzj	tzut1248	False
Tyap	kcg	tyap1238	False
Tweed-Albert	xjb	twee1234	False
Twana	twa	twan1247	False
Tuwuli	bov	tuwu1238	False
Tuwali Ifugao	ifk	tuwa1243	False
Tuvinian	tyv	tuvi1240	False
Tuvalu	tvl	tuva1244	False
Tututni	tuu	tutu1242	False
Tutsa Naga	tvt	tuts1235	False
Tutelo	tta	tute1247	False
Tuscarora	tus	tusc1257	False
Turung	try	turu1249	False
Turks And Caicos Creole English	tch	turk1310	False
Turkmen	tuk	turk1304	False
Turkish	tur	nucl1301	False
Turkic Khalaj	klj	turk1303	False
Turkana	tuv	turk1308	False
Tuparí	tpr	tupa1250	False
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	False
Tunni	tqq	tunn1238	False
Tunisian-Zuwara Berber	NOCODE_Tunisian-Zuwara	tuni1262	False
Tunisian Arabic	aeb	tuni1259	False
Tunica	tun	tuni1252	False
Tungurahua Highland Quichua	qxl	sala1272	False
Tungag	lcm	tung1290	False
Tunen	tvu	tune1261	False
Tundra Nenets	yrk	nene1249	False
Tumbuka	tum	tumb1250	False
Tulu	tcy	tulu1258	False
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	False
Tula	tul	tula1252	False
Tuki	bag	tuki1240	False
Tukang Besi North	khc	tuka1248	False
Tugun	tzn	tugu1245	False
Tugen	tuy	tuge1241	False
Tucano	tuo	tuca1252	False
Tswana	tsn	tswa1253	False
Tswa	tsc	tswa1255	False
Tsuvadi	tvd	tsuv1239	False
Tsou	tsu	tsou1248	False
Tsonga	tso	tson1249	False
Tshobdun	NOCODE_Tshobdun	tsho1240	False
Tshangla	tsj	tsha1245	False
Tsez	ddo	dido1241	False
Tsat	huq	tsat1238	False
Tsamai	tsb	tsam1247	False
Tsakonian	tsd	tsak1248	False
Tsakhur	tkr	tsak1249	False
Tsafiki	cof	colo1256	False
Ts'ixa	NOCODE_Tsixa	tsix1234	False
Trumai	tpy	trum1247	False
Trinidadian Creole English	trf	trin1276	False
Towa	tow	jeme1245	False
Touo	tqu	touo1238	False
Totontepec Mixe	mto	toto1305	False
Toto	txo	toto1302	False
Totela	ttl	tote1238	False
Torwali	trw	torw1241	False
Torres Strait Creole	tcs	torr1261	False
Toro Tegu Dogon	dtt	toro1253	False
Toro So Dogon	dts	toro1252	False
Torau	ttu	tora1259	False
Toposa	toq	topo1242	False
Tonsawang	tnw	tons1239	False
Tonkawa	tqw	tonk1249	False
Tonga (Zambia)	toi	tong1318	False
Tonga (Tonga Islands)	ton	tong1325	False
Tondi Songway Kiini	tst	tond1249	False
Tondano	tdn	tond1251	False
Tomo Kan Dogon	dtm	tomo1243	False
Tommo So Dogon	dto	tomm1242	False
Tombonuo	txa	tomb1244	False
Toma	tod	toma1245	False
Tolowa-Chetco	tol	tolo1259	False
Tolomako	tlm	tolo1255	False
Tol	jic	toll1241	False
Tokelau	tkl	toke1240	False
Tok Pisin	tpi	tokp1240	False
Tojolabal	toj	tojo1241	False
Tohono O'odham	ood	toho1245	False
Toda	tcx	toda1252	False
Tocantins Asurini	asu	toca1235	False
Tobelo	tlb	tobe1252	False
Tobati	tti	toba1266	False
Tobagonian Creole English	tgh	toba1282	False
Toba	tob	toba1269	False
Toaripi	tqo	toar1246	False
To'abaita	mlu	toab1237	False
Tlingit	tli	tlin1245	False
Tlaxcala-Puebla-Central Nahuatl	nhn	cent2132	False
Tlahuitoltepec Mixe	mxp	tlah1239	False
Tlachichilco Tepehua	tpt	tlac1235	False
Tiwi	tiw	tiwi1244	False
Tiwa (India)	lax	tiwa1253	False
Tiv	tiv	tivv1240	False
Titan	ttv	tita1241	False
Tirma-Chai	suq	suri1267	False
Tiri-Mea	cir	tiri1258	False
Tirax	mme	maee1241	False
Tiranige Diga Dogon	tde	tira1258	False
Tirahi	tra	tira1253	False
Tira	tic	tira1254	False
Tipai	dih	kumi1248	False
Tinà Sambal	xsb	tina1248	False
Tinani	lbf	tina1246	False
Timugon Murut	tih	timu1262	False
Timucua	tjm	timu1245	False
Timor Pidgin	tvy	timo1258	False
Timne	tem	timn1235	False
Timbe	tim	timb1251	False
Tilung	tij	tilu1238	False
Tillamook	til	till1254	False
Tikopia	tkp	tiko1237	False
Tikhak	NOCODE_Tikhak	tikh1243	False
Tigrinya	tir	tigr1271	False
Tigre	tig	tigr1270	False
Tigon Mbembe	nza	tigo1236	False
Tigak	tgc	tiga1245	False
Tifal	tif	tifa1245	False
Tiene	tii	tien1242	False
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	False
Tidore	tvo	tido1248	False
Ticuna	tca	ticu1245	False
Tibetan	bod	tibe1272	False
Thurawal	tbh	thur1254	False
Thulung	tdh	thul1246	False
Thompson	thp	thom1243	False
Thayore	thd	thay1249	False
Thavung	thm	aheu1239	False
Tharaka	thk	thar1283	False
Thao	ssf	thao1240	False
Thangmi	thf	than1259	False
Thangal Naga	nki	than1255	False
Thai	tha	thai1261	False
Thado Chin	tcz	thad1238	False
Texistepec Popoluca	poq	texi1237	False
Tetun Dili	tdt	tetu1246	False
Tetum	tet	tetu1245	False
Tetelcingo Nahuatl	nhg	tete1251	False
Teso	teo	teso1249	False
Ternateño	tmg	tern1248	False
Ternate	tft	tern1247	False
Termanu	twu	term1237	False
Teribe	tfr	teri1250	False
Terena-Kinikinao-Chane	ter	tere1279	False
Terei	buo	tere1278	False
Tera	ttr	tera1251	False
Tequistlateco Chontal	NOCODE_Tequistlateco-Chontal	tequ1245	False
Tepeuxila Cuicatec	cux	tepe1280	False
Tepetotutla Chinantec	cnt	tepe1279	False
Tepecano	tep	tepe1278	False
Teop	tio	teop1238	False
Tennet	tex	tenn1246	False
Tenharim-Parintintin-Diahoi	pah	tenh1241	False
Tengou-Togo Dogon	dtk	tene1248	False
Tengger	tes	teng1272	False
Tenetehara	tqb	temb1276	False
Tena Lowland Quichua	quw	tena1240	False
Temiar	tea	temi1246	False
Temi	soz	temi1247	False
Telugu	tel	telu1262	False
Telefol	tlf	tele1256	False
Teiwa	twe	teiw1235	False
Tehuelche	teh	tehu1242	False
