Language	ISO 639-3	Glottocode	verbal_number
Mingrelian	xmf	ming1252	False
Minangkabau	min	mina1268	False
Mina (Cameroon)	hna	mina1276	False
Min Nan Chinese	nan	minn1241	False
Min Bei Chinese	mnp	minb1244	False
Miluk	iml	milu1241	False
Millcayac	NOCODE_Millcayac	mill1237	False
Milang	NOCODE_Milang	mila1245	False
Migabac	mpp	miga1241	False
Midob	mei	mido1240	False
Middle Mongol	xng	midd1351	False
Middle High German	gmh	midd1343	False
Middle English	enm	midd1317	False
Middle Clarence	bdy	midd1357	False
Middle Chinese	ltc	midd1344	False
Michoacán Nahuatl	ncl	mich1245	False
Michif	crg	mich1243	False
Mian	mpt	mian1256	False
Miami	mia	miam1252	False
Mi'kmaq	mic	mikm1235	False
Mezquital Otomi	ote	mezq1235	False
Meyah	mej	meya1236	False
Mewati	wtm	mewa1250	False
Mewari	mtr	mewa1249	False
Meta'	mgo	meta1238	False
Mesqan	mvz	mesq1240	False
Meskwaki	sac	mesk1242	False
Mescalero-Chiricahua Apache	apm	mesc1238	False
Mesaka	iyo	mesa1245	False
Meru	mer	meru1245	False
Meriam	ulk	meri1244	False
Merei	lmb	mere1242	False
Menya	mcr	meny1245	False
Menominee	mez	meno1252	False
Mende (Sierra Leone)	men	mend1266	False
Mende (Papua New Guinea)	sim	mend1268	False
Melpa	med	melp1238	False
Melo	mfx	melo1242	False
Mele-Fila	mxe	mele1250	False
Mekeo	mek	meke1243	False
Mekens	skf	saki1248	False
Mehri	gdq	mehr1241	False
Mehek	nux	mehe1243	False
Mednyj Aleut	mud	medn1235	False
Me'en	mym	meen1242	False
Mbula	mna	mbul1263	False
Mbukushu	mhw	mbuk1240	False
Mbuko	mqb	mbuk1243	False
Mbuk	bpc	mbuk1244	False
Mbugwe	mgz	mbug1242	False
Mbugu	mhd	mbug1240	False
Mbre	mka	mbre1244	False
Mbosi	mdw	mbos1242	False
Mbere-Mbamba	mdt	mber1257	False
Mbe	mfo	mbee1249	False
Mbay	myb	mbay1241	False
Mbalanhu	lnb	mbal1255	False
Mbabaram	vmb	mbab1239	False
Mazanderani	mzn	maza1291	False
Mayogo	mdm	mayo1261	False
Mayo	mfy	mayo1264	False
Maybrat-Karon	ayz	maib1239	False
Mauwake	mhl	mauw1238	False
Maung	mph	maun1240	False
Matumbi	mgw	matu1259	False
Mattole	mvb	matt1238	False
Matsés	mcf	mats1244	False
Mato	met	mato1252	False
Matigsalug Manobo	mbt	mati1250	False
Mateq	xem	kemb1249	False
Matbat	xmt	matb1237	False
Maskelynes	klv	mask1242	False
Masbatenyo	msb	masb1238	False
Masalit	mls	nucl1440	False
Masai	mas	masa1300	False
Masaaba	myx	masa1299	False
Marwari (India)	rwr	marw1260	False
Maru	mhx	maru1249	False
Martuthunira	vma	mart1255	False
Martu Wangka	mpj	mart1256	False
Marshallese	mah	mars1254	False
Marori	mok	moro1289	False
Markweeta	enb	mark1255	False
Maring	nng	mari1416	False
Maring	mbw	mari1435	False
Marik	dad	mari1428	False
Maria (India)	mrr	mari1414	False
Marghi Central	mrt	marg1265	False
Marathi	mar	mara1378	False
Maranunggu	zmr	mara1386	False
Maranao	mrw	mara1404	False
Maram Naga	nma	mara1379	False
Maragus	mrs	mara1399	False
Maraghei	vmh	mara1373	False
Mara	mec	mara1385	False
Mara Chin	mrh	mara1382	False
Mar Paharia of Dumka	mkb	malp1246	False
Mapudungun	arn	mapu1245	False
Mapos Buang	bzh	mapo1242	False
Mape	mlh	mape1249	False
Maori	mri	maor1246	False
Maore Comorian	swb	maor1244	False
Maonan	mmd	maon1241	False
Mao Naga	nbi	maon1238	False
Manyika	mxc	many1258	False
Manx	glv	manx1243	False
Manus Koro	kxr	bowa1234	False
Manumanaw Karen	kxf	manu1255	False
Mansim	NOCODE_Mansim	mans1260	False
Mansaka	msk	mans1262	False
Mannan	mjv	mann1246	False
Mann	mev	mann1248	False
Mankanya	knf	mank1251	False
Maniq	tnz	tong1308	False
Manipuri	mni	mani1292	False
Mangseng	mbh	mang1403	False
Mangghuer	NOCODE_Mangghuer	minh1238	False
Manggarai	mqy	mang1405	False
Mangga Buang	mmo	mang1404	False
Mangbetu	mdj	mang1394	False
Mangarayi	mpc	mang1381	False
Mangala	mem	mang1383	False
Mangaia-Old Rapa	ray	rapa1245	False
Manga Kanuri	kby	mang1399	False
Mandjak	mfv	mand1419	False
Mandinka	mnk	mand1436	False
Mandeali	mjl	mand1409	False
Mandaya	mry	kara1489	False
Mandarin Chinese	cmn	mand1415	False
Mandari	mqu	mand1425	False
Mandara	tbf	mand1440	False
Mandan	mhq	mand1446	False
Manda-Matumba	mgs	mand1423	False
Manda (India)	mha	mand1413	False
Mand	ate	atem1241	False
Manchu	mnc	manc1252	False
Manat	pmr	payn1244	False
Manange	nmm	mana1288	False
Manambu	mle	mana1298	False
Manam	mva	mana1295	False
Mampruli	maw	mamp1244	False
Mambwe-Lungu	mgr	mamb1296	False
Mambai	mcs	mamb1294	False
Mambae	mgm	mamb1306	False
Mamanwa	mmn	mama1275	False
Mamaindé	wmd	mama1278	False
Mam	mam	mamm1241	False
Malvi	mup	malv1243	False
Malua Bay	mll	malu1245	False
Maltese	mlt	malt1254	False
Malinaltepec Me'phaa	tcf	mali1285	False
Mali	gcc	mali1284	False
Malgana	vml	malg1242	False
Maleu-Kilenge	mgl	male1289	False
Malecite-Passamaquoddy	pqm	male1292	False
Male (Ethiopia)	mdy	male1284	False
Malba Birifor	bfo	malb1235	False
Malayo	mbp	mala1522	False
Malayalam	mal	mala1464	False
Malay, Manado	xmm	mala1481	False
Malawi Lomwe	lon	mala1256	False
Malaweg	NOCODE_Malaweg	mala1534	False
Malavedan	mjr	mala1463	False
Malacca-Batavia Portuguese Creole	mcm	mala1533	False
Malabar-Sri Lanka Portuguese	NOCODE_Malabar-Sri-Lanka-Portuguese	mala1544	False
Makwe	ymk	makw1236	False
Maku'a	lva	maku1277	False
Makonde	kde	mako1251	False
Makhuwa-Saka	xsq	makh1266	False
Makhuwa-Meetto	mgh	makh1261	False
Makhuwa	vmw	makh1264	False
Makasar	mak	maka1311	False
Makasae-Makalero	mkz	maka1316	False
Makah	myh	maka1318	False
Makaa	mcp	maka1304	False
Mak (China)	mkg	makc1235	False
Majhi	mjz	majh1253	False
Majang	mpe	maja1242	False
Maithili	mai	mait1250	False
Maisin	mbq	mais1250	False
Mairasi	zrs	nucl1594	False
Maipure-Avane	NOCODE_Maipure	maip1247	False
Mailu	mgu	mail1248	False
Maijiki	ore	orej1242	False
Maia	sks	maia1254	False
Mahasu Pahari	bfz	maha1287	False
Maharastri Prakrit	pmh	maha1305	False
Maguindanao	mdh	magu1243	False
Magahi	mag	maga1260	False
Mag-Anchi Ayta	sgb	maga1263	False
Mafea	mkv	mafe1237	False
Madurese	mad	nucl1460	False
Madngele	zml	madn1237	False
Madak	mmx	mada1285	False
Mada (Nigeria)	mda	mada1282	False
Macushi	mbc	macu1259	False
Maco	wpc	maco1239	False
Machinga	mvw	mach1265	False
Machame	jmc	mach1266	False
Macedonian	mkd	mace1250	False
Macanese	mzs	maca1262	False
Mabaale	mmz	maba1270	False
Maay	ymm	maay1238	False
Maasina Fulfulde	ffm	maas1239	False
Ma'di	mhi	madi1260	False
Ma'anyan	mhy	maan1238	False
Lü	khb	luuu1242	False
Lydian	xld	lydi1241	False
Lycian A	xlc	lyci1241	False
Luyi	lyn	luya1241	False
Luwo	lwo	luwo1239	False
Luvale	lue	luva1239	False
Lusi	khl	lusi1240	False
Luo (Kenya and Tanzania)	luo	luok1236	False
Lundayeh	lnd	lund1271	False
Lunda	lun	lund1266	False
Luna	luj	luna1244	False
Lumun	lmd	lumu1239	False
Luiseno	lui	luis1253	False
Luguru	ruf	lugu1238	False
Lugbara	lgg	lugb1240	False
Luchazi	lch	luch1239	False
Lubuagan Kalinga	knb	lubu1243	False
Luba-Lulua	lua	luba1249	False
Luba-Katanga	lub	luba1250	False
Luangiua	ojv	onto1237	False
Luang	lex	luan1263	False
Lozi	loz	lozi1239	False
Lowland Tarahumara	tac	lowl1265	False
Lowland Oaxaca Chontal	clo	lowl1260	False
Lower-Nosop	nsb	lowe1407	False
Lower Tanana	taa	lowe1425	False
Lower Silesian	sli	lowe1388	False
Lower Riverland	NOCODE_Lower-Riverland	lowe1402	False
Lower Richmond	NOCODE_Lower-Richmond	lowe1444	False
Lower Grand Valley Dani	dni	lowe1415	False
Lower Chehalis	cea	lowe1427	False
Louisiana Creole French	lou	loui1240	False
Lou	loj	louu1245	False
Lotha Naga	njh	loth1237	False
Lote	uvl	lote1237	False
Lopit	lpx	lopi1242	False
Lonwolwol	crc	lonw1238	False
Loniu	los	loni1238	False
Longgu	lgu	long1395	False
Lombard	lmo	lomb1257	False
Loma (Liberia)	lom	loma1260	False
Lolopo	ycl	lolo1259	False
Lolak	llq	lola1250	False
Lokono	arw	araw1276	False
Loko	lok	loko1255	False
Lokaa	yaz	loka1252	False
Logo	log	logo1259	False
Logba	lgq	logb1245	False
Lodhi	lbm	lodh1246	False
Lizu	NOCODE_Lizu	lizu1234	False
Liv	liv	livv1244	False
Lithuanian	lit	lith1251	False
Lisu	lis	lisu1250	False
Lishán Didán	trg	lish1246	False
Lishana Deni	lsd	lish1247	False
Linngithigh	lnj	leni1238	False
Lingala	lin	ling1263	False
Limos Kalinga	kmk	limo1248	False
Limonese Creole	qlm	limo1249	False
Limilngan	lmc	nucl1327	False
Limbum	lmp	limb1268	False
Limbu	lif	limb1266	False
Lillooet	lil	lill1248	False
Liko	lik	lika1243	False
Lijili	mgi	liji1238	False
Lihir	lih	lihi1237	False
Ligurian	lij	ligu1248	False
Ligbi	lig	ligb1244	False
Libyan Arabic	ayl	liby1240	False
Libinza	liz	libi1244	False
Libido	liq	libi1250	False
Liberia Kpelle	xpe	libe1247	False
Liangmai Naga	njn	lian1251	False
Lhomi	lhm	lhom1239	False
Lezghian	lez	lezg1247	False
Lewotobi	lwt	lewo1244	False
Lewo	lww	lewo1242	False
Leti (Indonesia)	lti	leti1246	False
Lese	les	lese1243	False
Lepcha	lep	lepc1244	False
Lenje	leh	lenj1248	False
Lengua Sur	enx	sout2989	False
Lengo	lgr	leng1259	False
Lendu	led	lend1245	False
Lenakel	tnl	lena1238	False
Lemeting	beg	bela1260	False
Lembena	leq	lemb1266	False
Lelepa	lpa	lele1267	False
Lelemi	lef	lele1264	False
Lele (Papua New Guinea)	lle	lele1270	False
Lele (Chad)	lln	lele1276	False
Leh Ladakhi	lbj	lada1244	False
Lega-Shabunda	lea	lega1249	False
Lega-Mwenga	lgm	lega1250	False
Leco	lec	leco1242	False
Lealao Chinantec	cle	leal1235	False
Laz	lzz	lazz1240	False
Lavukaleve	lvk	lavu1241	False
Lavia-Awalai-Damangnuo Awa	vwa	awac1238	False
Laven	lbo	lave1248	False
Lau	llu	lauu1247	False
Latvian	lav	latv1249	False
Latin	lat	lati1261	False
Late Palestinian Aramaic	NOCODE_Late-Palestinian-Aramaic	late1255	False
Late Middle Indo-Aryan	NOCODE_Middle-Indo-Aryan	midd1350	False
Lashi	lsi	lash1243	False
Larteh	lar	lart1238	False
Larike-Wakasihu	alo	lari1255	False
Lardil	lbz	lard1243	False
Laragia	lrg	lara1258	False
Lao	lao	laoo1244	False
Lango (Uganda)	laj	lang1324	False
Langi	lag	lang1320	False
Lampung Api	ljp	lamp1243	False
Lamnso'	lns	lamn1239	False
Lamkang	lmk	lamk1238	False
Lamjung-Melamchi Yolmo	scp	hela1238	False
Lamenu	lmu	lame1260	False
Lamboya	lmy	lamb1273	False
Lambadi	lmn	lamb1269	False
Lamba	lam	lamb1271	False
Lamang	hia	lama1288	False
Lamaholot	slp	lama1277	False
Lama (Togo)	las	lama1275	False
Lala-Bisa	leb	lala1264	False
Lala	nrz	lala1268	False
Lakota	lkt	lako1247	False
Lakkia	lbc	lakk1238	False
Lake Miwok	lmw	lake1258	False
Lak	lbe	lakk1252	False
Laiyolo	lji	laiy1246	False
Lahu	lhu	lahu1253	False
Lahta-Zayein Karen	kxk	zaye1235	False
Ladino	lad	ladi1251	False
Ladin	lld	ladi1250	False
Lachi	lbt	lach1248	False
Lacandon	lac	laca1243	False
Labuk-Kinabatangan Kadazan	dtb	labu1249	False
Labu	lbu	labu1248	False
Laari	ldi	laar1238	False
Kâte	kmg	kate1253	False
Kyerung	kgy	kyer1238	False
Kyaka	kyc	kyak1244	False
Kxoe	xuu	kxoe1243	False
Kwomtari	kwo	nucl1593	False
Kwoma	kmo	kwom1262	False
Kwini	gww	kwin1241	False
Kwerba	kwe	nucl1595	False
Kwegu	xwg	kweg1241	False
Kwaza	xwa	kwaz1243	False
Kwaya	kya	kway1241	False
Kwara'ae	kwf	kwar1239	False
Kwangali	kwn	kwan1273	False
Kwamera	tnk	kwam1252	False
Kwama	kmq	kwam1249	False
Kwakum	kwu	kwak1266	False
Kwak'wala	kwk	kwak1269	False
Kwaio	kwd	kwai1243	False
Kwadi	kwz	kwad1244	False
Kven Finnish	fkv	kven1236	False
Kuy	kdt	kuyy1240	False
Kuvi	kxv	kuvi1243	False
Kuungkari of Barcoo River	lku	kuun1236	False
Kutep	kub	kute1248	False
Kutenai	kut	kute1249	False
Kusunda	kgg	kusu1250	False
Kusaal	kus	kusa1250	False
Kurukh	kru	kuru1301	False
Kurtokha	xkz	kurt1248	False
Kurrama	vku	kurr1243	False
Kuria	kuj	kuri1259	False
Kupsabiny	kpz	kups1238	False
Kupia	key	kupi1238	False
Kupang Malay	mkn	kupa1239	False
Kuot	kto	kuot1243	False
Kuo	xuo	kuoo1238	False
Kunjen	kjn	kunj1245	False
Kunimaipa	kup	kuni1267	False
Kuni-Boazi	kvg	kuni1265	False
Kung	kfl	kung1260	False
Kunbarlang	wlg	kunb1251	False
Kunama	kun	kuna1268	False
Kumzari	zum	kumz1235	False
Kumbainggar	kgs	kumb1268	False
Kumarbhag Paharia	kmj	kuma1274	False
Kumaoni	kfy	kuma1273	False
Kuman	kue	kuma1280	False
Kumam	kdi	kuma1275	False
Kulungtfu-Yuanggeng-Tobo	kgf	kube1244	False
Kulung (Nigeria)	bbu	kulu1255	False
Kulung (Nepal)	kle	kulu1253	False
Kulsab	faj	fait1240	False
Kullu Pahari	kfx	kull1236	False
Kula (Indonesia)	tpg	kula1280	False
Kuku-Yalanji	gvn	kuku1273	False
Kuku-Uwanh	uwa	kuku1280	False
Kuku-Muminh	xmh	kuku1283	False
Kuku	ukv	kuku1285	False
Kukatja	kux	kuka1246	False
Kuikúro-Kalapálo	kui	kuik1246	False
Kui (Indonesia)	kvd	kuii1253	False
Kui (India)	kxu	kuii1252	False
Kubachi	ugh	kuba1248	False
Kuanyama	kua	kuan1247	False
Kuanua	ksd	kuan1248	False
Kryz	kry	kryt1240	False
Kriol	rop	krio1252	False
Krio	kri	krio1253	False
Kriang-Khlor	ngt	ngeq1245	False
Kpan	kpk	kpan1246	False
Koyukon	koy	koyu1237	False
Koyraboro Senni Songhai	ses	koyr1242	False
Koyra Chiini Songhay	khq	koyr1240	False
Koya	kff	koya1251	False
Koy Sanjaq Jewish Neo-Aramaic	kqd	koys1242	False
Kove	kvc	kove1237	False
Kovai	kqb	kova1243	False
Kotiria	gvc	guan1269	False
Kotia-Adivasi Oriya-Desiya	ort	adiv1239	False
Koti	eko	koti1238	False
Kota (India)	kfe	kota1263	False
Kosraean	kos	kosr1238	False
Koshin	kid	kosh1246	False
Kosarek Yale	kkl	kosa1249	False
Korra Koraga	kfd	korr1238	False
Korowai	khe	koro1312	False
Koroshi	ktl	koro1296	False
Korop	krp	koro1304	False
Koromfé	kfz	koro1298	False
Korlai Portuguese	vkp	korl1238	False
Korku	kfq	kork1243	False
Korean	kor	kore1280	False
Korana	kqz	kora1292	False
Korafe-Yegha	kpr	kora1294	False
Koorete	kqy	koor1239	False
Koonzime	ozm	koon1245	False
Konzo	koo	konz1239	False
Konyak Naga	nbe	kony1248	False
Konso	kxc	kons1243	False
Kono (Guinea)	knu	kono1267	False
Konni	kma	konn1242	False
Konkan Marathi	knn	konk1267	False
Konda-Dora	kfc	kond1295	False
Konai	kxw	kona1242	False
Komo (Sudan)	xom	komo1258	False
Komo (Democratic Republic of Congo)	kmw	komo1260	False
Komi-Zyrian	kpv	komi1268	False
Kombio	xbi	komb1272	False
Kombai	tyn	komb1274	False
Komba	kpf	komb1273	False
Kom (India)	kmm	komi1270	False
Kom (Cameroon)	bkm	komc1235	False
Koluwawa	klx	kolu1245	False
Kola	kvv	kola1285	False
Kol (Cameroon)	biw	kolc1235	False
Kokota	kkk	koko1269	False
Koko Dhawa	NOCODE_Koko-Dhawa	koko1272	False
Kokata	ktd	koka1244	False
Kok-Nar	gko	kokn1236	False
Kok Borok	trp	kokb1239	False
Koitabu	kqi	koit1244	False
Koireng	nkd	koir1240	False
Koi	kkt	koii1238	False
Kohumono	bcs	kohu1244	False
Koho	kpm	koho1244	False
Kohistani Shina	plk	kohi1248	False
Kofyar	kwl	kofy1242	False
Koenoem	kcs	koen1239	False
Kodava	kfa	koda1255	False
Koda	cdz	koda1236	False
Kochila Tharu	thq	koch1247	False
Koch	kdq	koch1250	False
Kobon	kpw	kobo1249	False
Koasati	cku	koas1236	False
Kman	mxj	miju1243	False
Klon	kyo	kelo1247	False
Klao	klu	klao1243	False
Klamath-Modoc	kla	klam1254	False
Kituba (Democratic Republic of Congo)	ktu	kitu1246	False
Kitja	gia	kitj1240	False
Kitan	zkt	kita1247	False
Kistane	gru	kist1241	False
Kirghiz	kir	kirg1245	False
Kire	geb	kire1240	False
Kipchak Urum	uum	urum1249	False
Kiowa	kio	kiow1266	False
Kiowa Apache	apk	kiow1264	False
Kinyarwanda	kin	kiny1244	False
Kinnauri	kfk	kinn1249	False
Kimaragang	kqr	kima1244	False
Kiliwa	klb	kili1268	False
Kilivila	kij	kili1267	False
Kilen	NOCODE_Kilen	kile1243	False
Kikuyu	kik	kiku1240	False
Kickapoo	kic	kick1244	False
Khün	kkh	khun1259	False
Khwarshi-Inkhoqwari	khv	khva1239	False
Khwarezmian	xco	khwa1238	False
Khumi Chin	cnk	khum1248	False
Khroskyabs	jiq	guan1266	False
Khowar	khw	khow1242	False
Khotanese	kho	khot1251	False
Khoresh-e Rostam	okh	kore1279	False
Khorasan Arabic	NOCODE_Khorasan-Arabic	khor1274	False
Khoibu	nkb	khoi1251	False
Kho'ini	xkc	khoi1250	False
Khmu	kjg	khmu1256	False
Khinalugh	kjj	khin1240	False
Khezha Naga	nkh	khez1235	False
Khengkha	xkf	khen1241	False
Khasi	kha	khas1269	False
Kharia	khr	khar1287	False
Kharia Thar	ksy	khar1283	False
Kharam Naga	kfw	khar1288	False
Khandesi	khn	khan1272	False
Khana	ogo	khan1278	False
Khamti	kht	kham1290	False
Khams Tibetan	khg	kham1282	False
Khamnigan Mongol	NOCODE_Khamnigan-Mongol	kham1281	False
Khamba	kbg	kham1283	False
Khaling	klr	khal1275	False
Khakas	kjh	khak1248	False
Kgalagadi	xkv	kgal1244	False
Ket	ket	kett1243	False
Kerinci	kvr	keri1250	False
Kenuzi-Dongola	kzh	kenu1236	False
Kensiu	kns	kens1248	False
Kendayan-Belangin	knx	kend1254	False
Kemtuik	kmt	kemt1242	False
Kemezung	dmo	keme1240	False
Kemak	kem	kema1243	False
Keley-i Kallahan	ify	kele1259	False
Kele-Foma	khy	kele1255	False
Kele (Papua New Guinea)	sbc	kele1258	False
Kelantan-Pattani Malay	mfa	patt1249	False
Kelabit	kzi	kela1258	False
Kekchí	kek	kekc1242	False
Keiga	kec	keig1242	False
Keerak	hhr	kera1248	False
Kedang	ksx	keda1252	False
Keapara	khz	keap1239	False
Ke'o	xxk	keoo1238	False
Kazym-Berezover-Suryskarer Khanty	kca	khan1273	False
Kazakh	kaz	kaza1248	False
Kaytetye	gbb	kayt1238	False
Kayardild	gyd	kaya1319	False
Kayan Lahwi	pdu	kaya1315	False
Kawi	kaw	kawi1241	False
Kawarrang-Ogh Undjan	NOCODE_Kawarrang-Ogh-Undjan	kawa1290	False
Kawaiisu	xaw	kawa1283	False
Kavir	NOCODE_Kavir	kavi1234	False
Kavalan	ckv	kava1241	False
Kaurna	zku	kaur1267	False
Kaulong	pss	kaul1240	False
Katë	bsh	kati1270	False
Katukína-Kanamarí	knm	kana1291	False
Katso	kaf	kats1235	False
Kato	ktw	kato1244	False
Katkari	kfu	katk1238	False
Kathmandu Valley Newari	new	newa1246	False
Kathlamet	NOCODE_Kathlamet	kath1253	False
Katcha-Kadugli-Miri	xtc	katc1249	False
Kasua	khs	kasu1251	False
Kaska	kkz	kask1239	False
Kashubian	csb	kash1274	False
Kashmiri	kas	kash1277	False
Kashaya	kju	kash1280	False
Kasem	xsm	kase1253	False
Karok	kyh	karo1304	False
Karo (Ethiopia)	kxh	karo1297	False
Karo (Brazil)	arr	karo1305	False
Karkar-Yuri	yuj	kark1258	False
Kariyarra	vka	kari1304	False
Karitiâna	ktn	kari1311	False
Karipúna Creole French	kmv	kari1301	False
Karingani	kgn	kari1303	False
Kari	kbj	kari1306	False
Karata	kpt	kara1474	False
Karao	kyj	kara1487	False
Karankawa	zkk	kara1289	False
Karamojong	kdj	kara1483	False
Karajá	kpj	kara1500	False
Karadjeri	gbd	kara1476	False
Karachay-Balkar	krc	kara1465	False
Kara-Kalpak	kaa	kara1467	False
Kara (Papua New Guinea)	leu	kara1486	False
Kaqchikel	cak	kaqc1270	False
Kapriman	dju	kapr1245	False
Kapingamarangi	kpg	kapi1249	False
Kaonde	kqn	kaon1241	False
Kansa	ksk	kans1243	False
Kannada	kan	nucl1305	False
Kankanaey	kne	kank1243	False
Kanite	kmu	kani1286	False
Kaninuwa	wat	kani1281	False
Kaningdon-Nindem	kdp	kani1277	False
Kanikkaran	kev	kani1275	False
Kangri	xnr	kang1280	False
Kanembu	kbl	kane1243	False
Kanasi	soq	kana1288	False
Kanashi	xns	kana1283	False
Kanakanavu	xnb	kana1286	False
Kamula	xla	kamu1260	False
Kami (Tanzania)	kcu	kami1256	False
Kambera	xbr	kamb1299	False
Kambaata	ktb	kamb1316	False
Kamba (Kenya)	kam	kamb1297	False
Kamasau	kms	kama1367	False
Kamas-Koibal	xas	kama1351	False
Kamara	jmr	kama1357	False
Kamano	kbq	kama1370	False
Kamang	woi	kama1365	False
Kam	kdx	kamm1249	False
Kaluli	bco	kalu1248	False
Kalo Finnish Romani	rmf	kalo1256	False
Kalkutung	ktg	kalk1246	False
Kalkoti	xka	kalk1245	False
Kalispel-Pend d'Oreille	fla	kali1308	False
Kalasha	kls	kala1372	False
Kalanga	kck	kala1384	False
Kalami	gwc	kala1373	False
Kalamang	kgv	kara1499	False
Kalam	kmh	kala1397	False
Kalagan	kqe	kala1388	False
Kalabari	ijn	kala1381	False
Kalaallisut	kal	kala1399	False
Kala Lagaw Ya	mwp	kala1377	False
Kakua	cbv	cacu1241	False
Kaki Ae	tbd	kaki1249	False
Kakabe	kke	kaka1265	False
Kajkavian	kjv	kajk1237	False
Kajali	xkj	kaja1247	False
Kaiwá	kgk	kaiw1246	False
Kairiru	kxa	kair1263	False
Kaike	kzq	kaik1246	False
Kahua	agw	kahu1241	False
Kagulu	kki	kagu1239	False
Kagayanen	cgc	kaga1256	False
Kafoa	kpu	kafo1240	False
Kaera	jka	kaer1234	False
Kado	kdv	kado1242	False
Kadiwéu	kbc	kadi1248	False
Kadazan Dusun	dtp	cent2100	False
Kadar	kej	kada1242	False
Kacipo-Balesi	koe	kaci1244	False
Kachi Koli	gjk	kach1272	False
Kachchi	kfr	kach1277	False
Kachari	xac	kach1279	False
Kachama-Ganjule-Haro	kcx	kach1284	False
Kabyle	kab	kaby1243	False
Kabuverdianu	kea	kabu1256	False
Kabikabi	gbw	kabi1260	False
Kabardian	kbd	kaba1278	False
Kaba	ksp	kaba1281	False
K'iche'	quc	kich1262	False
Jur Modo	bex	jurm1239	False
Juquila Mixe	mxq	juqu1238	False
Jumjum	jum	jumj1238	False
Jukun Takum	jbu	juku1254	False
Judeo-Yemeni Arabic	jye	jude1267	False
Judeo-Tripolitanian Arabic	yud	jude1264	False
Judeo-Persian	jpr	jude1257	False
Judeo-Moroccan Arabic	aju	jude1265	False
Judeo-Iraqi Arabic	yhd	jude1266	False
Juang	jun	juan1238	False
Jowulu	jow	jowu1238	False
Jola-Fonyi	dyo	jola1263	False
Jju	kaj	jjuu1238	False
Jita	jit	jita1239	False
Jina	jia	jina1244	False
Jicarilla Apache	apj	jica1244	False
Jibbali	shv	sheh1240	False
Jiba	juo	jiba1237	False
Jewish Babylonian Aramaic (ca. 200-1200 CE)	tmr	jewi1240	False
Jerung	jee	jeru1240	False
Jennu Kurumba	xuj	jenn1240	False
Jejueo	jje	jeju1234	False
Jejara Naga	pzn	para1302	False
Jehai	jhi	jeha1242	False
Jeh	jeh	jehh1245	False
Jedek	NOCODE_Jedek	jede1239	False
Jebero	jeb	jebe1250	False
Javanese	jav	java1254	False
Jaunsari	jns	jaun1243	False
Jaru	ddj	jaru1254	False
Jarawa (India)	anq	jara1245	False
Jarai	jra	jara1266	False
Jaqaru	jqr	jaqa1244	False
Japhug	NOCODE_Japhug	japh1234	False
Japanese	jpn	nucl1643	False
Jamsay Dogon	djm	jams1239	False
Jaminjung-Ngaliwurru	djd	djam1255	False
Jamiltepec Mixtec	mxt	jami1235	False
Jambi Malay	jax	jamb1236	False
Jamamadí	jaa	jama1261	False
Jamaican Creole English	jam	jama1262	False
Jalkunan	bxl	jalk1242	False
Jah Hut	jah	jahh1242	False
Jad	jda	jadd1243	False
Izon	ijc	izon1238	False
Izi-Ezaa-Ikwo-Mgbo	izi	izie1238	False
Izere	izr	izer1241	False
Iyo	nca	iyoo1238	False
Ixtenco Otomi	otz	ixte1237	False
Ixil	ixl	ixil1251	False
Iwam	iwm	iwam1256	False
Iwal	kbm	iwal1237	False
Iwaidja	ibd	iwai1244	False
Ivbie North-Okpela-Arhe	atg	ivbi1241	False
Iu Mien	ium	iumi1238	False
Itzá	itz	itza1241	False
Itonama	ito	iton1250	False
Itbayat	ivv	ivat1242	False
Itawit	itv	itaw1240	False
Italian	ita	ital1282	False
Isu (Fako Division)	szv	isuf1235	False
Istro Romanian	ruo	istr1245	False
Isthmus-Mecayapan Nahuatl	nhx	isth1242	False
Isthmus Zapotec	zai	isth1244	False
Isnag	isd	isna1241	False
Island Carib	crb	isla1278	False
Isirawa	srl	isir1237	False
Isinai	inn	isin1239	False
Isimjeega-Rootigaanga	NOCODE_Isimjeega	isim1234	False
Irántxe-Münkü	irn	iran1263	False
Irula of the Nilagiri	iru	irul1243	False
Irish	gle	iris1253	False
Iraya	iry	iray1237	False
Irarutu	irh	irar1238	False
Iraqw	irk	iraq1241	False
Iquito	iqu	iqui1243	False
Ipai	NOCODE_Ipai	ipai1240	False
Iowa-Oto	iow	iowa1245	False
Inter-Zab Jewish Neo-Aramaic	aij	lish1245	False
Inor	ior	inor1238	False
Inland-Buhi-Daraga Bikol	bhk	alba1269	False
Ineseño	inz	ines1240	False
Indus Kohistani	mvy	indu1241	False
Indonesian Bajau	bdl	indo1317	False
Indo-Aryan Kinnauri	kjo	hari1246	False
Inari Sami	smn	inar1241	False
Inabaknon	abx	inab1237	False
Imperial Aramaic (700-300 BCE)	arc	impe1235	False
Imonda	imn	imon1245	False
Imbongu	imo	imbo1238	False
Imbabura Highland Quichua	qvi	imba1240	False
Ilongot	ilk	ilon1239	False
Iloko	ilo	ilok1237	False
Ilianen Manobo	mbi	ilia1236	False
Ili'uun	ilu	iliu1237	False
Ili Turki	ili	ilit1241	False
Ila	ilb	ilaa1246	False
Ikulu	ikl	ikul1238	False
Ikoma-Nata	ntk	ikom1245	False
Ikaranggal	ikr	ikar1243	False
Ika	ikk	ikaa1238	False
