Language	ISO 639-3	Glottocode	coordination	serial_verb	verb_serialization	yuxtaposition
Lhomi	lhm	lhom1239	True	True	False	True
Lengua Sur	enx	sout2989	True	True	False	True
Lengo	lgr	leng1259	False	True	True	True
Lelepa	lpa	lele1267	True	True	True	False
Lele (Papua New Guinea)	lle	lele1270	False	True	True	True
Laven	lbo	lave1248	False	True	True	True
Lamkang	lmk	lamk1238	True	True	False	True
Lamenu	lmu	lame1260	True	True	True	False
Lamaholot	slp	lama1277	True	True	True	False
Lakkia	lbc	lakk1238	True	True	True	False
Kwaza	xwa	kwaz1243	True	True	False	True
Kurrama	vku	kurr1243	True	True	False	True
Kuo	xuo	kuoo1238	True	True	False	True
Kunbarlang	wlg	kunb1251	True	True	False	True
Kumzari	zum	kumz1235	True	True	False	True
Kula (Indonesia)	tpg	kula1280	True	True	True	False
Kove	kvc	kove1237	True	True	True	False
Koshin	kid	kosh1246	True	True	False	True
Kosarek Yale	kkl	kosa1249	True	False	True	True
Korlai Portuguese	vkp	korl1238	True	True	False	True
Kombio	xbi	komb1272	True	True	False	True
Kokota	kkk	koko1269	True	True	True	False
Klon	kyo	kelo1247	True	True	True	False
Kele (Papua New Guinea)	sbc	kele1258	True	True	True	False
Keiga	kec	keig1242	True	True	False	True
Ke'o	xxk	keoo1238	False	True	True	True
Kayardild	gyd	kaya1319	True	True	False	True
Karitiâna	ktn	kari1311	False	True	True	True
Kapriman	dju	kapr1245	False	True	True	True
Kaninuwa	wat	kani1281	True	True	True	False
Kado	kdv	kado1242	True	True	False	True
Jarai	jra	jara1266	True	True	True	False
Japhug	NOCODE_Japhug	japh1234	True	True	False	True
Iyo	nca	iyoo1238	True	True	True	False
Ivbie North-Okpela-Arhe	atg	ivbi1241	True	True	False	True
Imonda	imn	imon1245	True	True	True	False
Ili'uun	ilu	iliu1237	True	True	False	True
I'saka	ksi	kris1246	True	True	True	False
Hmong Daw	mww	hmon1333	True	True	False	True
Hinuq	gin	hinu1240	True	True	False	True
Hanga Hundi	wos	hang1263	True	True	True	False
Gwahatike	dah	gwah1244	True	True	False	True
Gusii	guz	gusi1247	True	True	False	True
Guragone	gge	gura1252	True	True	True	False
Gumawana	gvs	guma1254	True	True	False	True
Guaicurian	NOCODE_Guaicurian	guai1237	True	True	False	True
Goemai	ank	goem1240	False	True	True	True
Girirra	gii	giri1245	True	True	False	True
Ghanaian Pidgin English	gpe	ghan1244	False	True	True	True
Gen	gej	genn1243	True	True	True	False
Gedeo	drs	gede1246	True	True	False	True
Gbaya-Mbodomo	gmm	gbay1281	True	True	False	True
Garifuna	cab	gari1256	True	True	False	True
Gants	gao	gant1244	True	True	False	True
Gade	ged	gade1242	True	True	False	True
Fyam	pym	fyam1238	True	True	True	False
Fuliiru	flr	fuli1240	True	True	False	True
Fon	fon	fonn1241	True	True	True	False
Folopa	ppo	folo1238	False	True	True	True
Fe'fe'	fmp	fefe1239	True	True	False	True
Farefare	gur	fare1241	True	True	True	False
Ewondo	ewo	ewon1239	True	True	False	True
Ersu	ers	ersu1241	True	True	False	True
Ebira	igb	ebir1243	False	True	True	True
Eastern Lawa	lwl	east2330	True	True	True	False
Eastern Kayah	eky	east2342	True	True	True	False
Eastern Arrernte	aer	east2379	True	False	True	True
East Kewa	kjs	east2516	False	True	True	True
Dyangadi	dyn	dyan1250	False	True	True	True
Dumi	dus	dumi1241	True	True	False	True
Doromu-Koki	kqc	doro1266	True	True	True	False
Dime	dim	dime1235	True	True	False	True
Dhao	nfa	dhao1237	True	True	False	True
Desano	des	desa1247	True	True	True	False
Degema	deg	dege1246	True	True	False	True
Darma	drd	darm1243	True	True	False	True
Daman-Diu Portuguese	idb	dama1278	True	True	False	True
Dakaka	bpa	daka1243	True	True	True	False
Dagik	dec	dagi1241	True	True	False	True
Curripaco	kpc	curr1243	True	True	False	True
Cocama-Cocamilla	cod	coca1259	True	True	False	True
Chumburung	ncu	chum1261	True	True	True	False
Chintang	ctn	chhi1245	True	True	False	True
Chimalapa Zoque	zoh	chim1300	True	True	True	False
