Language	ISO 639-3	Glottocode	adverbial_clause	complement_clause	nominalization	relative_clause	subordination
Modern Hebrew	heb	hebr1245	True	True	True	True	True
Mlabri	mra	mlab1235	True	True	True	True	True
Miya	mkf	miya1266	True	True	True	True	True
Mingrelian	xmf	ming1252	True	True	True	True	True
Milang	NOCODE_Milang	mila1245	True	True	True	True	True
Meyah	mej	meya1236	True	True	True	True	True
Menya	mcr	meny1245	True	True	True	True	True
Mekens	skf	saki1248	True	True	True	True	True
Mbula	mna	mbul1263	True	True	True	True	True
Mbre	mka	mbre1244	True	True	True	True	True
Mayogo	mdm	mayo1261	True	True	True	True	True
Mauwake	mhl	mauw1238	True	True	True	True	True
Maung	mph	maun1240	True	True	True	True	True
Matsés	mcf	mats1244	True	True	True	True	True
Martuthunira	vma	mart1255	True	True	True	True	True
Markweeta	enb	mark1255	True	True	True	True	True
Maricopa	mrc	mari1440	True	True	True	True	True
Manus Koro	kxr	bowa1234	True	True	True	True	True
Manumanaw Karen	kxf	manu1255	True	True	True	True	True
Mann	mev	mann1248	True	True	True	True	True
Mangghuer	NOCODE_Mangghuer	minh1238	True	True	True	True	True
Mangarayi	mpc	mang1381	True	True	True	True	True
Mangala	mem	mang1383	True	True	True	True	True
Manange	nmm	mana1288	True	True	True	True	True
Mambai	mcs	mamb1294	True	True	True	True	True
Mamaindé	wmd	mama1278	True	True	True	True	True
Majhi	mjz	majh1253	True	True	True	True	True
Mafea	mkv	mafe1237	True	True	True	True	True
Maco	wpc	maco1239	True	True	True	True	True
Ma'di	mhi	madi1260	True	True	True	True	True
Ma Manda	skc	sauk1252	True	True	True	True	True
Lowland Tarahumara	tac	lowl1265	True	True	True	True	True
Lou	loj	louu1245	True	True	True	True	True
Lopit	lpx	lopi1242	True	True	True	True	True
Lhomi	lhm	lhom1239	True	True	True	True	True
Lewotobi	lwt	lewo1244	True	True	True	True	True
Leti (Indonesia)	lti	leti1246	True	True	True	True	True
Lengua Sur	enx	sout2989	True	True	True	True	True
Lelepa	lpa	lele1267	True	True	True	True	True
Lavukaleve	lvk	lavu1241	True	True	True	True	True
Larteh	lar	lart1238	True	True	True	True	True
Langi	lag	lang1320	True	True	True	True	True
Lamjung-Melamchi Yolmo	scp	hela1238	True	True	True	True	True
Lamang	hia	lama1288	True	True	True	True	True
Lamaholot	slp	lama1277	True	True	True	True	True
Kwaza	xwa	kwaz1243	True	True	True	True	True
Kusaal	kus	kusa1250	True	True	True	True	True
Kurtokha	xkz	kurt1248	True	True	True	True	True
Kurrama	vku	kurr1243	True	True	True	True	True
Kuikúro-Kalapálo	kui	kuik1246	True	True	True	True	True
Koyraboro Senni Songhai	ses	koyr1242	True	True	True	True	True
Koyra Chiini Songhay	khq	koyr1240	True	True	True	True	True
Kove	kvc	kove1237	True	True	True	True	True
Kokota	kkk	koko1269	True	True	True	True	True
Koi	kkt	koii1238	True	True	True	True	True
Kilmeri	kih	kilm1241	True	True	True	True	True
Kayan Lahwi	pdu	kaya1315	True	True	True	True	True
Karitiâna	ktn	kari1311	True	True	True	True	True
Karajá	kpj	kara1500	True	True	True	True	True
Kankanaey	kne	kank1243	True	True	True	True	True
Kambaata	ktb	kamb1316	True	True	True	True	True
Kam	kdx	kamm1249	True	True	True	True	True
Kakua	cbv	cacu1241	True	True	True	True	True
Kakabe	kke	kaka1265	True	True	True	True	True
