Language	ISO 639-3	Glottocode	liquid
Tidore	tvo	tido1248	True
Ticuna	tca	ticu1245	True
Tibetan	bod	tibe1272	True
Thulung	tdh	thul1246	True
Thompson	thp	thom1243	True
Thayore	thd	thay1249	True
Thavung	thm	aheu1239	True
Thao	ssf	thao1240	True
Thangmi	thf	than1259	True
Thangal Naga	nki	than1255	True
Thai	tha	thai1261	True
Tetun Dili	tdt	tetu1246	True
Tetum	tet	tetu1245	True
Tetelcingo Nahuatl	nhg	tete1251	True
Teso	teo	teso1249	True
Ternate	tft	tern1247	True
Teribe	tfr	teri1250	True
Terena-Kinikinao-Chane	ter	tere1279	True
Tequistlateco Chontal	NOCODE_Tequistlateco-Chontal	tequ1245	True
Tepeuxila Cuicatec	cux	tepe1280	True
Tepetotutla Chinantec	cnt	tepe1279	True
Tepecano	tep	tepe1278	True
Teop	tio	teop1238	True
Tennet	tex	tenn1246	True
Tenharim-Parintintin-Diahoi	pah	tenh1241	True
Tengou-Togo Dogon	dtk	tene1248	True
Tengger	tes	teng1272	True
Tenetehara	tqb	temb1276	True
Tena Lowland Quichua	quw	tena1240	True
Temiar	tea	temi1246	True
Temi	soz	temi1247	True
Telugu	tel	telu1262	True
Telefol	tlf	tele1256	True
Teiwa	twe	teiw1235	True
Tehit	kps	tehi1237	True
Tedim Chin	ctd	tedi1235	True
Tebul Ure Dogon	dtu	tebu1239	True
Teanu	tkw	tean1237	True
Tboli	tbl	tbol1240	True
Tayo	cks	tayo1238	True
Tayart Tamajeq	thz	taya1257	True
Tawra	mhu	diga1241	True
Tawallammat Tamajaq	ttq	tawa1286	True
Tawala	tbo	tawa1275	True
Taulil	tuh	taul1251	True
Tatuyo	tav	tatu1247	True
Tatar	tat	tata1255	True
Tatana	txx	tata1257	True
Tataltepec Chatino	cta	tata1258	True
Tarok	yer	taro1263	True
Tariana	tae	tari1256	True
Tarao	tro	tara1313	True
Tapieté	tpj	tapi1253	True
Taos Northern Tiwa	twf	nort1550	True
Tanzanian Ngoni	xnj	tanz1241	True
Tanimuca-Retuarã	tnc	tani1257	True
Tangut	txg	tang1334	True
Tangam	NOCODE_Tangam	tang1377	True
Tangale	tan	nucl1696	True
Tanacross	tcb	tana1290	True
Tamil	tam	tami1289	True
Tamasheq	taq	tama1365	True
Tamambo	mla	malo1243	True
Talaandig-Binukid	bkd	binu1244	True
Takuu	nho	taku1257	True
Takelma	tkm	take1257	True
Tajio	tdj	taji1246	True
Tajik	tgk	taji1245	True
Tainae	ago	tain1253	True
Taiga Sayan Turkic	kim	kara1462	True
Taiap	gpn	taia1239	True
Tai Laing	tjl	tail1248	True
Tai Dón	twh	taid1250	True
Tahitian	tah	tahi1242	True
Tagoi	tag	tago1246	True
Tagin	tgj	tagi1241	True
Tagdal	tda	tagd1238	True
Tagbanwa	tbw	tagb1258	True
Tagalog	tgl	taga1270	True
Tafi	tcd	tafi1243	True
Tadaksahak	dsq	tada1238	True
Tabla	tnm	tabl1243	True
Tabasco Chontal	chf	taba1266	True
Tabaru	tby	taba1263	True
T'apo	lgn	opuu1239	True
Sô	sss	sooo1254	True
Sãotomense	cri	saot1239	True
Sydney	xdk	sydn1236	True
Syan	NOCODE_Syan	syan1242	True
Swati	ssw	swat1243	True
Swampy Cree	csw	swam1239	True
Swahili	swh	swah1253	True
Susu	sus	susu1250	True
Sursurunga	sgz	surs1246	True
Supyire Senoufo	spp	supy1237	True
Sunwar	suz	sunw1242	True
Sundanese	sun	sund1252	True
Sumerian	sux	sume1241	True
Sumbawa	smw	sumb1241	True
Sula	szn	sula1248	True
Sukur	syk	suku1272	True
Sui	swi	suii1243	True
Subtiaba	sut	subt1250	True
Subiya	sbs	subi1246	True
Stoney	sto	ston1242	True
Stod Bhoti	sbu	stod1241	True
Stau-Dgebshes	ero	horp1239	True
Standard Malay	zsm	stan1306	True
Standard Arabic	arb	stan1318	True
Sri Lanka Malay	sci	sril1245	True
Sranan Tongo	srn	sran1240	True
Squamish	squ	squa1248	True
Spokane	spo	spok1245	True
Spiti Bhoti	spt	spit1240	True
Spanish	spa	stan1288	True
Southwestern Dinka	dik	sout2832	True
Southwestern Dargwa	NOCODE_Southwestern-Dargwa	sout3261	True
Southwest Tanna	nwi	sout2869	True
Southern-Coastal Tsimshian	tsi	nucl1649	True
Southern Yukaghir	yux	sout2750	True
Southern Tiwa	tix	sout2961	True
Southern Tangkhul Naga	NOCODE_Southern-Tangkhul	khan1277	True
Southern Sotho	sot	sout2807	True
Southern Sierra Miwok	skd	sout2985	True
Southern Rengma Naga	nre	sout2732	True
Southern Pumi	pmj	sout2729	True
Southern Pomo	peq	sout2984	True
Southern Pashto	pbt	sout2649	True
Southern Pame	pmz	sout2999	True
Southern Nambikuára	nab	sout2994	True
Southern Kiwai	kjd	sout2949	True
Southern Kisi	kss	sout2778	True
Southern Jinghpaw	kac	kach1280	True
Southern Gumuz	NOCODE_Southern-Gumuz	sout3236	True
Southern Grebo	grj	sout2826	True
Southern Bobo Madaré	bwq	sout2840	True
Southern Balochi	bcc	sout2642	True
Southern Bai	bfs	sout2730	True
Southern Aymara	ayc	sout2996	True
Southern Amami-Oshima	ams	sout2954	True
Southern Alta	agy	sout2905	True
Southeastern Tepehuan	stp	sout2976	True
