Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
Edopi	dbf	edop1238	False	False	False	False	False	True
Edolo	etr	edol1239	False	False	False	False	False	True
Eastern Tamang	taj	east2347	False	False	False	False	False	True
Eastern Panjabi	pan	panj1256	False	False	False	False	False	True
Eastern Ojibwa	ojg	east2542	False	False	False	False	False	True
Eastern Newari	NOCODE_Dolakha-Newari	east2773	False	False	True	False	False	False
Eastern Cham	cjm	east2563	False	False	False	False	False	True
Eastern Arrernte	aer	east2379	False	False	False	False	False	True
Eastern Armenian	hye	nucl1235	False	False	False	False	False	True
East-Central Tangkhul Naga	nmf	tang1336	False	False	False	False	False	True
East Taa	nmn	huaa1248	False	False	False	False	False	True
East Makian	mky	east2440	False	False	True	False	False	False
Dyula	dyu	dyul1238	False	False	False	False	False	True
Duvle	duv	duvl1242	False	False	False	False	False	True
Dutch	nld	dutc1256	False	False	False	False	False	True
Dungar Varli	vav	varl1238	False	False	False	False	False	True
Dungan	dng	dung1253	False	False	False	False	False	True
Dumi	dus	dumi1241	False	False	False	False	False	True
Drung	duu	drun1238	False	False	False	False	False	True
Domari	rmt	doma1258	False	False	True	False	False	False
Domaaki	dmk	doma1260	False	False	False	False	False	True
Dogrib	dgr	dogr1252	False	False	False	False	False	True
Dogri	dgo	dogr1250	False	False	False	False	False	True
Diuxi-Tilantongo Mixtec	xtd	diux1235	False	False	False	False	False	True
Dirasha	gdl	dira1242	False	False	False	False	False	True
Dimasa	dis	dima1251	False	False	False	False	False	True
Dii	dur	diii1241	False	False	False	False	False	True
Digo	dig	digo1243	False	False	False	False	False	True
Didinga	did	didi1258	False	False	False	False	False	True
Dibole	bvx	dibo1245	False	False	False	False	False	True
Diandongbei-Large Flowery Miao	hmd	larg1235	False	False	False	False	False	True
Dhivehi	div	dhiv1236	False	False	False	False	False	True
Dhatki	mki	dhat1238	False	False	False	False	False	True
Dhangu	dhg	dhan1270	False	False	True	False	False	False
Dezfuli-Shushtari	def	dezf1238	False	False	True	False	False	False
Dera (Indonesia)	kbv	dera1245	False	False	False	False	False	True
Denya	anv	deny1238	False	False	False	False	False	True
Degema	deg	dege1246	False	False	False	False	False	True
Defaka	afn	defa1248	False	False	False	False	False	True
Dawro	dwr	dawr1236	False	False	False	False	False	True
Dass	dot	dass1243	False	False	False	False	False	True
Dari	prs	dari1249	False	False	False	False	False	True
Dar Daju Daju	djc	dard1243	False	False	False	False	False	True
Dangaleat	daa	dang1274	False	False	False	False	False	True
Dampelas	dms	damp1237	False	False	True	False	False	False
Dakpakha	dka	dakp1242	False	False	False	False	False	True
Dakota	dak	dako1258	False	False	False	False	False	True
Dagik	dec	dagi1241	False	False	False	False	False	True
Dadibi	mps	dadi1250	False	False	False	False	False	True
Daba	dbq	nucl1683	False	False	False	False	False	True
Daats'iin	dtn	daat1234	False	False	False	False	False	True
Daasanach	dsh	daas1238	False	False	False	False	False	True
Da'a Kaili	kzf	daak1235	False	False	False	False	False	True
Cypriot Arabic	acy	cypr1248	False	False	False	False	False	True
Curripaco	kpc	curr1243	False	True	False	False	False	False
Cupeño	cup	cupe1243	False	False	False	False	False	True
Culina	cul	culi1244	False	False	False	False	False	True
Crimean Tatar	crh	crim1257	False	False	True	False	False	False
Creolized Grand Ronde Chinook Jargon	chn	chin1272	False	False	False	False	False	True
Creek	mus	cree1270	False	False	False	False	False	True
Cornish	cor	corn1251	False	False	False	False	False	True
Congo Swahili	swc	cong1236	False	False	False	False	False	True
Comox	coo	como1259	False	False	True	False	False	False
Comanche	com	coma1245	False	False	False	False	False	True
Comaltepec Chinantec	cco	coma1246	False	False	False	False	False	True
Columbia-Wenatchi	col	colu1241	False	False	True	False	False	False
Colloquial Malay	zlm	mala1479	False	False	False	False	False	True
Coatzospan Mixtec	miz	coat1241	False	False	False	False	False	True
Coatlán Mixe	mco	coat1238	False	False	False	False	False	True
Coahuilteco	xcw	coah1252	False	False	False	False	False	True
Classical Tibetan	xct	clas1254	False	False	False	False	False	True
Classical Syriac	syc	clas1252	False	False	False	False	False	True
Classical Nahuatl	nci	clas1250	False	False	False	False	False	True
Clallam	clm	clal1241	False	False	False	False	False	True
Cimbrian	cim	cimb1238	False	False	True	False	False	False
Chuvash	chv	chuv1255	False	False	False	False	False	True
Church Slavic	chu	chur1257	False	False	False	False	False	True
Chumburung	ncu	chum1261	False	False	False	False	False	True
Chuave	cjv	chua1250	False	False	False	False	False	True
Chrau	crw	chra1242	False	False	False	False	False	True
Chong of Chanthaburi	cog	chon1284	False	False	False	False	False	True
Cholti	NOCODE_Cholti	chol1283	False	False	False	False	False	True
Chol	ctu	chol1282	False	False	False	False	False	True
Choctaw	cho	choc1276	False	False	False	False	False	True
Chocangacakha	cgk	choc1275	False	False	False	False	False	True
Chitwania Tharu	the	chit1274	False	False	False	False	False	True
Chittagonian	ctg	chit1275	False	False	False	False	False	True
Chitkuli Kinnauri	cik	chit1279	False	False	False	False	False	True
Chitimacha	ctm	chit1248	False	False	False	False	False	True
Chipewyan	chp	chip1261	False	False	False	False	False	True
Chintang	ctn	chhi1245	False	False	False	False	False	True
Chinali	cih	chin1475	False	False	False	False	False	True
Chimariko	cid	chim1301	False	False	True	False	False	False
Chimalapa Zoque	zoh	chim1300	False	False	True	False	False	False
Chiga	cgg	chig1238	False	False	False	False	False	True
Chickasaw	cic	chic1270	False	True	False	False	False	False
Chichimeca-Jonaz	pei	chic1272	False	False	False	False	False	True
Chhattisgarhi	hne	chha1249	False	False	True	False	False	False
Cheyenne	chy	chey1247	False	False	False	False	False	True
Cherokee	chr	cher1273	False	False	False	False	False	True
Che	ruk	chee1238	False	False	False	False	False	True
Chang Naga	nbc	chan1313	False	False	False	False	False	True
Chamalal	cji	cham1309	False	False	False	False	False	True
Chagatai	chg	chag1247	False	False	False	False	False	True
Chadian Arabic	shu	chad1249	False	False	False	False	False	True
Central-Eastern Niger Fulfulde	fuq	cent2018	False	False	False	False	False	True
Central Tagbanwa	tgt	cent2090	False	False	False	False	False	True
Central Siberian Yupik	ess	cent2128	False	False	True	False	False	False
Central Pashto	pst	cent1973	False	False	False	False	False	True
Central Okinawan	ryu	cent2126	False	False	False	False	False	True
Central Mfumte	NOCODE_Central-Mfumte	cent2312	False	False	False	False	False	True
Central Khmer	khm	cent1989	False	False	False	False	False	True
Central Kanuri	knc	cent2050	False	False	False	False	False	True
Central Chong	NOCODE_Central-Chong	cent2314	False	False	False	False	False	True
Central Cagayan Agta	agt	cent2084	False	False	False	False	False	True
Central Bontoc	lbk	cent2292	False	False	False	False	False	True
Central Aymara	ayr	cent2142	False	False	False	False	False	True
Central Alemannic	gsw	swis1247	False	False	False	False	False	True
Cemuhî	cam	cemu1238	False	False	False	False	False	True
Cebuano	ceb	cebu1242	False	False	False	False	False	True
Cayuga	cay	cayu1261	False	False	False	False	False	True
Catalan	cat	stan1289	False	False	False	False	False	True
Caribbean Javanese	jvn	cari1276	False	False	False	False	False	True
Caquinte	cot	caqu1242	False	False	False	False	False	True
Cappadocian Greek	cpg	capp1239	False	False	False	False	False	True
Capanahua	kaq	capa1241	False	False	False	False	False	True
Cameroon Pidgin	wes	came1254	False	False	False	False	False	True
Cakfem-Mushere	cky	cakf1236	False	False	False	False	False	True
Cahuilla	chl	cahu1264	False	False	False	False	False	True
Caddo	cad	cadd1256	False	False	False	False	False	True
Cabécar	cjp	cabe1245	False	True	False	False	False	False
Caac	msq	caac1237	False	False	False	False	False	True
C'lela	dri	clel1238	False	False	False	False	False	True
Byangsi	bee	byan1241	False	False	False	False	False	True
Busoa	bup	buso1238	False	False	True	False	False	False
Bushoong	buf	bush1247	False	False	False	False	False	True
Buru (Indonesia)	mhs	buru1303	False	False	False	False	False	True
Burmese	mya	nucl1310	False	False	False	False	False	True
Bure	bvh	bure1242	False	False	False	False	False	True
Bura-Pabir	bwr	bura1292	False	False	False	False	False	True
Bunun	bnn	bunu1267	False	False	False	False	False	True
Bunganditj	xbg	bung1264	False	False	False	False	False	True
Bunama	bdd	buna1276	False	False	False	False	False	True
Bunak	bfn	buna1278	False	False	False	False	False	True
Bumthangkha	kjz	bumt1240	False	False	False	False	False	True
Bulu (Cameroon)	bum	bulu1251	False	False	False	False	False	True
Bularnu	NOCODE_Bularnu	bula1255	False	False	False	False	False	True
Bugan	bbh	buga1247	False	False	False	False	False	True
Budu	buu	budu1250	False	False	False	False	False	True
Bube	bvb	bube1242	False	False	False	False	False	True
Brokskat	bkk	brok1247	False	False	False	False	False	True
Brahui	brh	brah1256	False	False	False	False	False	True
Bouyei	pcc	bouy1240	False	False	False	False	False	True
Bororo	bor	boro1282	False	False	False	False	False	True
Border Kuna	kvn	bord1248	False	False	False	False	False	True
Bongo	bot	bong1285	False	False	False	False	False	True
Bonan	peh	bona1250	False	False	False	False	False	True
Bom-Kim	bmf	bomk1234	False	False	False	False	False	True
Bolivar-North Chimborazo Highland Quichua	qug	chim1302	False	False	False	False	False	True
Bolgo	bvo	bolg1251	False	False	False	False	False	True
Bole	bol	nucl1695	False	False	False	False	False	True
Bola	bnp	bola1250	False	False	False	False	False	True
Bokyi	bky	boky1238	False	False	False	False	False	True
Bohtan Neo-Aramaic	bhn	boht1238	False	False	False	False	False	True
Bodo-Mech	brx	bodo1269	False	False	False	False	False	True
Bobangi	bni	bang1354	False	False	False	False	False	True
Blang	blr	blan1242	False	False	False	False	False	True
Bissa	bib	biss1248	False	False	False	False	False	True
Bishnupuriya	bpy	bish1244	False	False	False	False	False	True
Birri	bvq	birr1240	False	False	False	False	False	True
Big Nambas	nmb	bign1238	False	False	False	False	False	True
Biafada	bif	biaf1240	False	False	False	False	False	True
Bhoti Kinnauri	nes	bhot1235	False	False	False	False	False	True
Bhadrawahi	bhd	bhad1241	False	False	False	False	False	True
Bezhta	kap	bezh1248	False	False	False	False	False	True
Betta Kurumba	xub	bett1235	False	False	False	False	False	True
Berta	wti	bert1248	False	False	False	False	False	True
Bengali	ben	beng1280	False	False	False	False	False	True
Bemba (Zambia)	bem	bemb1257	False	False	False	False	False	True
Bella Coola	blc	bell1243	False	False	False	False	False	True
Belize Kriol English	bzj	beli1260	False	False	False	False	False	True
Beli (Sudan)	blm	beli1257	False	False	False	False	False	True
Belhariya	byw	belh1239	False	False	True	False	False	False
Belep	yly	nyal1254	False	False	True	False	False	False
Belarusian	bel	bela1254	False	False	False	False	False	True
Bebele	beb	bebe1248	False	False	False	False	False	True
Bebe	bzv	bebe1250	False	False	False	False	False	True
Beaver	bea	beav1236	False	False	False	False	False	True
Bawm Chin	bgr	bawm1236	False	False	False	False	False	True
Baure	brg	baur1253	False	False	False	False	False	True
Bats	bbl	bats1242	False	False	True	False	False	False
Batanga	bnm	bata1285	False	False	False	False	False	True
Batak Karo	btx	bata1293	False	False	False	False	False	True
Basa (Cameroon)	bas	basa1284	False	False	False	False	False	True
Barok	bjk	baro1253	False	False	False	False	False	True
Bari	bfa	bari1284	False	False	False	False	False	True
Barbareño	boi	barb1263	False	False	False	False	False	True
Barasana-Eduria	bsn	bara1380	False	False	False	False	False	True
Barabayiiga-Gisamjanga	tcc	dato1239	False	False	False	False	False	True
Bantawa	bap	bant1281	False	False	False	False	False	True
Bannoni	bcm	bann1247	False	False	False	False	False	True
Banggarla	bjb	bang1339	False	False	False	False	False	True
Bandial	bqj	band1340	False	False	False	False	False	True
Bambalang	bmo	bamb1265	False	False	False	False	False	True
Balantak	blz	bala1315	False	False	True	False	False	False
Balanta-Kentohe	ble	bala1301	False	False	False	False	False	True
Baki	bki	baki1244	False	False	False	False	False	True
Bajan	bjs	baja1265	False	False	False	False	False	True
Bahnar	bdq	bahn1262	False	False	False	False	False	True
Bahinemo	bjh	bahi1254	False	False	False	False	False	True
Baharna Arabic	abv	baha1259	False	False	False	False	False	True
Bagirmi	bmi	bagi1246	False	False	False	False	False	True
Baga Sitemu	bsp	baga1272	False	False	False	False	False	True
Bafia	ksf	bafi1243	False	False	False	False	False	True
Bafaw-Balong	bwt	bafa1247	False	False	False	False	False	True
Bade	bde	bade1248	False	False	False	False	False	True
Badaga	bfq	bada1257	False	False	False	False	False	True
Babanki	bbk	baba1266	False	False	False	False	False	True
Baba Malay	mbf	baba1267	False	False	False	False	False	True
Baatonum	bba	baat1238	False	False	False	False	False	True
Ayutla Mixtec	miy	ayut1236	False	False	False	False	False	True
Ayoreo	ayo	ayor1240	False	False	True	False	False	False
Axamb	ahb	axam1237	False	False	True	False	False	False
Awtuw	kmn	awtu1239	False	False	False	False	False	True
Awiyaana	auy	awiy1238	False	False	False	False	False	True
Aweer	bob	awee1242	False	False	False	False	False	True
Awar	aya	awar1249	False	False	False	False	False	True
Awadhi	awa	awad1243	False	False	False	False	False	True
Awa-Cuaiquer	kwi	awac1239	False	False	False	False	False	True
Awa (Papua New Guinea)	awb	awap1236	False	False	False	False	False	True
Avokaya	avu	avok1242	False	False	False	False	False	True
Atsugewi	atw	atsu1245	False	False	False	False	False	True
Atakapa	aqp	atak1252	False	False	False	False	False	True
Ata Manobo	atd	atam1240	False	False	False	False	False	True
Assiniboine	asb	assi1247	False	False	False	False	False	True
Assamese	asm	assa1263	False	False	False	False	False	True
Ashéninka Perené	prq	ashe1272	False	False	False	False	False	True
Asho Chin	csh	asho1236	False	False	False	False	False	True
Arta	atz	arta1239	False	True	False	False	False	False
Arosi	aia	aros1241	False	False	False	False	False	True
Arikara	ari	arik1262	False	False	False	False	False	True
Arigidi	aqg	arig1246	False	False	False	False	False	True
Arhuaco	arh	arhu1242	False	False	False	False	False	True
Are	mwc	aree1239	False	False	False	False	False	True
Archaic Angloromani	rme	angl1239	False	False	False	False	False	True
Arbore	arv	arbo1245	False	False	False	False	False	True
Araki	akr	arak1252	False	False	True	False	False	False
Apma	app	apma1240	False	False	False	False	False	True
Apatani	apt	apat1240	False	False	False	False	False	True
Apalachee	xap	apal1237	False	True	False	False	False	False
Ao Naga	njo	aona1235	False	False	False	False	False	True
Anuta	aud	anut1237	False	False	False	False	False	True
Anufo	cko	anuf1239	False	False	False	False	False	True
Anuak	anu	anua1242	False	False	False	False	False	True
Annobonese	fab	fada1250	False	False	False	False	False	True
Anindilyakwa	aoi	anin1240	False	False	True	False	False	False
Ani Phowa	ypn	anip1235	False	False	False	False	False	True
Angami Naga	njm	anga1288	False	False	False	False	False	True
Angal	age	anga1293	False	False	False	False	False	True
Anfillo	myo	anfi1235	False	False	False	False	False	True
Aneityum	aty	anei1239	False	False	False	False	False	True
Ancient Hebrew	hbo	anci1244	False	False	False	False	False	True
Ancient Greek	grc	anci1242	False	False	False	False	False	True
Amur Nivkh	niv	gily1242	False	False	False	False	False	True
Amo	amo	amoo1242	False	False	False	False	False	True
Amele	aey	amel1241	False	False	False	False	False	True
Amdo Tibetan	adx	amdo1237	False	False	False	False	False	True
Ambulas	abt	ambu1247	False	False	False	False	False	True
Ambonese Malay	abs	ambo1250	False	False	True	False	False	False
Amahuaca	amc	amah1246	False	False	False	False	False	True
Ama (Sudan)	nyi	amas1236	False	False	False	False	False	True
Ama (Papua New Guinea)	amm	amap1240	False	False	False	False	False	True
Alyawarr	aly	alya1239	False	True	False	False	False	False
Alur	alz	alur1250	False	False	False	False	False	True
Alsea-Yaquina	aes	alse1251	False	True	False	False	False	False
Alorese	aol	alor1247	False	False	False	False	False	True
Alekano	gah	alek1238	False	False	False	False	False	True
Alawa	alh	alaw1244	False	False	False	False	False	True
Alamblak	amp	alam1246	False	False	False	False	False	True
Alacatlatzala Mixtec	mim	alac1244	False	False	False	False	False	True
Akum	aku	akum1238	False	False	False	False	False	True
Akoye	miw	akoy1238	False	True	False	False	False	False
Akoose	bss	akoo1248	False	False	False	False	False	True
Akha	ahk	akha1245	False	False	False	False	False	True
Akawaio	ake	akaw1239	False	False	False	False	False	True
Akateko	knj	west2635	False	False	False	False	False	True
Akan	aka	akan1250	False	False	False	False	False	True
Aka-Bea	abj	akab1249	False	False	False	False	False	True
Ajyíninka Apurucayali	cpc	ajyi1238	False	False	False	False	False	True
Aja (Benin)	ajg	ajab1235	False	False	False	False	False	True
Ahanta	aha	ahan1243	False	False	False	False	False	True
Aguaruna	agr	agua1253	False	True	False	False	False	False
Agob	kit	agob1244	False	False	False	False	False	True
Aghwan	xag	aghw1237	False	False	False	False	False	True
Aghu Tharnggalu	ggr	aghu1254	False	False	False	False	False	True
Aghem	agq	aghe1239	False	False	False	False	False	True
Agarabi	agd	agar1252	False	False	False	False	False	True
Afar	aar	afar1241	False	False	False	False	False	True
Aekyom	awi	aeky1238	False	False	False	False	False	True
Adzera	adz	adze1240	False	False	False	False	False	True
Adyghe	ady	adyg1241	False	False	True	False	False	False
Adangme	ada	adan1247	False	False	False	False	False	True
Adangbe	adq	adan1248	False	False	False	False	False	True
Adang	adn	adan1251	False	False	False	False	False	True
Adamawa Fulfulde	fub	adam1253	False	False	False	False	False	True
Acoli	ach	acol1236	False	False	False	False	False	True
Achumawi	acv	achu1247	False	False	False	False	False	True
Acehnese	ace	achi1257	False	False	False	False	False	True
Acatepec Me'phaa	tpx	acat1239	False	False	False	False	False	True
Abé	aba	abee1242	False	False	False	False	False	True
Abui	abz	abui1241	False	False	False	False	False	True
Abu' Arapesh	aah	abua1245	False	False	False	False	False	True
Abron	abr	abro1238	False	False	False	False	False	True
Abkhazian	abk	abkh1244	False	False	False	False	False	True
Abaza	abq	abaz1241	False	False	True	False	False	False
Aari	aiw	aari1239	False	False	False	False	False	True
A'ou	aou	aoua1234	False	False	False	False	False	True
/Xam	xam	xamm1241	False	False	False	False	False	True
//Xegwi	xeg	xegw1238	False	False	False	False	False	True
//Ani	hnh	anii1246	False	False	False	False	False	True
Önge	oon	onge1236	False	False	False	False	False	False
Ömie	aom	omie1241	False	False	False	False	False	False
Zuni	zun	zuni1245	False	False	False	False	False	False
Zoroastrian Dari	gbz	zoro1242	False	False	False	False	False	False
Zhangzhung	xzh	zhan1239	False	False	False	False	False	False
Zeme Naga	nzm	zeme1240	False	False	False	False	False	False
Zabana	kji	zaba1237	False	False	False	False	False	False
Yámana	yag	yama1264	False	False	False	False	False	False
Yurok	yur	yuro1248	False	False	False	False	False	False
Yopno	yut	yopn1238	False	False	False	False	False	False
Yonggom	yon	yong1280	False	False	False	False	False	False
Yokuts	yok	yoku1256	False	False	False	False	False	False
Yogad	yog	yoga1237	False	False	False	False	False	False
Yinggarda	yia	ying1247	False	False	False	False	False	False
Yindjibarndi	yij	yind1247	False	False	False	False	False	False
Yessan-Mayo	yss	yess1239	False	False	False	False	False	False
Yerukula	yeu	yeru1240	False	False	False	False	False	False
Yecuatla Totonac	tlc	yecu1235	False	False	False	False	False	False
Ye'kwana	mch	maqu1238	False	False	False	False	False	False
Yareba	yrb	yare1248	False	False	False	False	False	False
Yaqui	yaq	yaqu1251	False	False	False	False	False	False
Yandruwandha	ynd	yand1253	False	False	False	False	False	False
Yamphu	ybi	yamp1242	False	False	False	False	False	False
Yami	tao	yami1254	False	False	False	False	False	False
Yalahatan-Haruru-Awaiya	jal	yala1266	False	False	False	False	False	False
Yakan	yka	yaka1277	False	False	False	False	False	False
Yagnobi	yai	yagn1238	False	False	False	False	False	False
Yagara-Jandai	NOCODE_Yagara	yaga1256	False	False	False	False	False	False
Xârâcùù	ane	xara1244	False	False	False	False	False	False
Xicotepec De Juárez Totonac	too	xico1235	False	False	False	False	False	False
Xanaguía Zapotec	ztg	xana1235	False	False	False	False	False	False
Wymysorys	wym	wymy1235	False	False	False	False	False	False
Wulguru	qgu	wulg1239	False	False	False	False	False	False
Wotu	wtw	wotu1240	False	False	False	False	False	False
Worimi	kda	wori1245	False	False	False	False	False	False
Wolof	wol	nucl1347	False	False	False	False	False	False
Wolane	wle	wola1253	False	False	False	False	False	False
Woiwurrung	wyi	woiw1237	False	False	False	False	False	False
Wirangu	wgu	wira1265	False	False	False	False	False	False
Wiradhuri	wrh	wira1262	False	False	False	False	False	False
Wipi	gdr	wipi1242	False	False	False	False	False	False
Wintu	wit	wint1259	False	False	False	False	False	False
Wik-Mungkan	wim	wikm1247	False	False	False	False	False	False
Wichí Lhamtés Vejoz	wlv	wich1263	False	False	False	False	False	False
Westphalic	wep	west2356	False	False	False	False	False	False
Western Subanon	suc	west2557	False	False	False	False	False	False
Western Pantar	lev	lamm1241	False	False	False	False	False	False
Western Ojibwa	ojw	west1510	False	False	False	False	False	False
Western Neo-Aramaic	amw	west2763	False	False	False	False	False	False
Western Muria	mut	west2408	False	False	False	False	False	False
Western Huasteca Nahuatl	nhw	west2624	False	False	False	False	False	False
Western Fijian	wyy	west2519	False	False	False	False	False	False
Western Farsi	pes	west2369	False	False	False	False	False	False
Western Bukidnon Manobo	mbb	west2555	False	False	False	False	False	False
Western Bru	brv	west2397	False	False	False	False	False	False
West Damar	drn	west2548	False	False	False	False	False	False
West Coast Bajau	bdr	west2560	False	False	False	False	False	False
West Berawan	zbw	west2564	False	False	False	False	False	False
Wersing	kvw	wers1238	False	False	False	False	False	False
Wayu	vay	wayu1241	False	False	False	False	False	False
Wathawurrung	wth	wath1238	False	False	False	False	False	False
Watam	wax	wata1253	False	False	False	False	False	False
Waskia	wsk	wask1241	False	False	False	False	False	False
Washo	was	wash1253	False	False	False	False	False	False
Warungu	wrg	waru1264	False	False	False	False	False	False
Warrwa	wwr	warr1258	False	False	False	False	False	False
Warrnambool	gjm	warr1257	False	False	False	False	False	False
Warrgamay	wgy	warr1255	False	False	False	False	False	False
Warray	wrz	wara1290	False	False	False	False	False	False
Warlpiri	wbp	warl1254	False	False	False	False	False	False
Waris	wrs	wari1266	False	False	False	False	False	False
Waray (Philippines)	war	wara1300	False	False	False	False	False	False
War-Jaintia	aml	warj1242	False	False	False	False	False	False
Wapishana	wap	wapi1253	False	False	False	False	False	False
Waorani	auc	waor1240	False	False	False	False	False	False
Wano	wno	wano1243	False	False	False	False	False	False
Wanman	wbt	wanm1242	False	False	False	False	False	False
Waneci	wne	wane1241	False	False	False	False	False	False
Wandamen	wad	wand1267	False	False	False	False	False	False
Wampanoag	wam	wamp1249	False	False	False	False	False	False
Wambon	wms	wamb1259	False	False	False	False	False	False
Wambayan	wmb	wamb1258	False	False	False	False	False	False
Walser	wae	wals1238	False	False	False	False	False	False
Wakawaka	wkw	waka1274	False	False	False	False	False	False
Wajarri	wbv	waja1257	False	False	False	False	False	False
Waimiri-Atroari	atr	waim1253	False	False	False	False	False	False
Waima'a	wmh	waim1252	False	False	False	False	False	False
Wageman	waq	wage1238	False	False	False	False	False	False
Wagdi	wbr	wagd1238	False	False	False	False	False	False
Wagaya	wga	waga1260	False	False	False	False	False	False
Waffa	waj	waff1241	False	False	False	False	False	False
Wadjiginy	wdj	wadj1254	False	False	False	False	False	False
Waddar	wbq	wadd1237	False	False	False	False	False	False
Vunjo	vun	vunj1238	False	False	False	False	False	False
Votic	vot	voti1245	False	False	False	False	False	False
Vlax Romani	rmy	vlax1238	False	False	False	False	False	False
Vera'a	vra	vera1241	False	False	False	False	False	False
Ventureño	veo	vent1242	False	False	False	False	False	False
Venetic	xve	vene1257	False	False	False	False	False	False
Vaeakau-Taumako	piv	pile1238	False	False	False	False	False	False
Vach-Vasjugan	NOCODE_Vach-Vasjugan	fare1244	False	False	False	False	False	False
Vaal-Orange	kqu	vaal1235	False	False	False	False	False	False
Uzbeki Arabic	auz	uzbe1248	False	False	False	False	False	False
Ute-Southern Paiute	ute	utes1238	False	False	False	False	False	False
Usan	wnu	usan1239	False	False	False	False	False	False
Urubú-Kaapor	urb	urub1250	False	False	False	False	False	False
Uru	ure	uruu1244	False	False	False	False	False	False
Uripiv-Wala-Rano-Atchin	upv	urip1239	False	False	False	False	False	False
Urim	uri	urim1252	False	False	False	False	False	False
Urdu	urd	urdu1245	False	False	False	False	False	False
Urat	urt	urat1244	False	False	False	False	False	False
Urartian	xur	urar1245	False	False	False	False	False	False
Ura (Vanuatu)	uur	urav1235	False	False	False	False	False	False
Upper Taromi	tov	uppe1235	False	False	False	False	False	False
Upper Kinabatangan	dmg	uppe1427	False	False	False	False	False	False
Upper Guinea Crioulo	pov	uppe1455	False	False	False	False	False	False
Upper Chinookan	wac	wasc1239	False	False	False	False	False	False
Unserdeutsch	uln	unse1236	False	False	False	False	False	False
Uneapa	bbn	unea1237	False	False	False	False	False	False
Umiray Dumaget Agta	due	umir1236	False	False	False	False	False	False
Umbuygamu	umg	umbu1256	False	False	False	False	False	False
Umbugarla	umr	umbu1235	False	False	False	False	False	False
Umatilla	uma	umat1237	False	False	False	False	False	False
Umanakaina	gdn	uman1240	False	False	False	False	False	False
Ulwa (Papua New Guinea)	yla	yaul1241	False	False	False	False	False	False
Ulithian	uli	ulit1238	False	False	False	False	False	False
Ukrainian	ukr	ukra1253	False	False	False	False	False	False
Ukaan	kcf	ukaa1243	False	False	False	False	False	False
Ughele	uge	ughe1237	False	False	False	False	False	False
Ugaritic	uga	ugar1238	False	False	False	False	False	False
Ubir	ubr	ubir1237	False	False	False	False	False	False
Tübatulabal	tub	tuba1278	False	False	False	False	False	False
Tzeltal	tzh	tzel1254	False	False	False	False	False	False
Tz'utujil	tzj	tzut1248	False	False	False	False	False	False
Tututni	tuu	tutu1242	False	False	False	False	False	False
Tutsa Naga	tvt	tuts1235	False	False	False	False	False	False
Tutelo	tta	tute1247	False	False	False	False	False	False
Turkmen	tuk	turk1304	False	False	False	False	False	False
Turkic Khalaj	klj	turk1303	False	False	False	False	False	False
Tunumiisiut	NOCODE_Tunumiisiut	tunu1234	False	False	False	False	False	False
Tunisian Arabic	aeb	tuni1259	False	False	False	False	False	False
Tunica	tun	tuni1252	False	False	False	False	False	False
Tungurahua Highland Quichua	qxl	sala1272	False	False	False	False	False	False
Tulu	tcy	tulu1258	False	False	False	False	False	False
Tule-Kaweah Yokuts	NOCODE_Tule-Kaweah	tule1245	False	False	False	False	False	False
Tugun	tzn	tugu1245	False	False	False	False	False	False
Tsez	ddo	dido1241	False	False	False	False	False	False
Tsakonian	tsd	tsak1248	False	False	False	False	False	False
Trumai	tpy	trum1247	False	False	False	False	False	False
Torau	ttu	tora1259	False	False	False	False	False	False
Tonsawang	tnw	tons1239	False	False	False	False	False	False
Tombonuo	txa	tomb1244	False	False	False	False	False	False
Tolomako	tlm	tolo1255	False	False	False	False	False	False
Tol	jic	toll1241	False	False	False	False	False	False
Tok Pisin	tpi	tokp1240	False	False	False	False	False	False
Tojolabal	toj	tojo1241	False	False	False	False	False	False
Tohono O'odham	ood	toho1245	False	False	False	False	False	False
Tocantins Asurini	asu	toca1235	False	False	False	False	False	False
Tobelo	tlb	tobe1252	False	False	False	False	False	False
Tobati	tti	toba1266	False	False	False	False	False	False
Toaripi	tqo	toar1246	False	False	False	False	False	False
To'abaita	mlu	toab1237	False	False	False	False	False	False
Tlachichilco Tepehua	tpt	tlac1235	False	False	False	False	False	False
Tiwi	tiw	tiwi1244	False	False	False	False	False	False
Tirahi	tra	tira1253	False	False	False	False	False	False
Tipai	dih	kumi1248	False	False	False	False	False	False
Tinà Sambal	xsb	tina1248	False	False	False	False	False	False
Timucua	tjm	timu1245	False	False	False	False	False	False
Timor Pidgin	tvy	timo1258	False	False	False	False	False	False
Timbe	tim	timb1251	False	False	False	False	False	False
Tilung	tij	tilu1238	False	False	False	False	False	False
Tillamook	til	till1254	False	False	False	False	False	False
Tigrinya	tir	tigr1271	False	False	False	False	False	False
Tigre	tig	tigr1270	False	False	False	False	False	False
Thurawal	tbh	thur1254	False	False	False	False	False	False
Thompson	thp	thom1243	False	False	False	False	False	False
Tharaka	thk	thar1283	False	False	False	False	False	False
Thangmi	thf	than1259	False	False	False	False	False	False
Texistepec Popoluca	poq	texi1237	False	False	False	False	False	False
Tetun Dili	tdt	tetu1246	False	False	False	False	False	False
