Language	ISO 639-3	Glottocode	contrastive_tone	pitch_accent	prosody	tonal_contrast	tonal_system	tone
Gusii	guz	gusi1247	False	False	False	True	True	True
Gourmanchéma	gux	gour1243	False	False	False	True	True	True
Gonja	gjn	gonj1241	False	False	True	False	True	True
Godié	god	godi1239	True	False	False	False	True	True
Gitonga	toh	gito1238	False	False	True	False	True	True
Garawa	wrk	gara1269	False	True	True	False	False	True
Gagadu	gbu	gaga1251	False	True	True	False	False	True
Gaam	tbi	gaam1241	True	False	False	True	False	True
Ga'anda	gqa	gaan1243	False	False	False	True	True	True
Fuliiru	flr	fuli1240	False	False	False	True	True	True
Fataluku	ddg	fata1247	False	True	True	False	False	True
Falam Chin	cfm	fala1243	False	False	True	False	True	True
Esselen	esq	esse1238	False	True	True	False	False	True
Ese Ejja	ese	esee1248	False	True	True	False	False	True
Eipomek	eip	eipo1242	False	False	True	False	True	True
Ebira	igb	ebir1243	True	False	True	False	False	True
Eastern Kayah	eky	east2342	True	False	False	False	True	True
East Kewa	kjs	east2516	True	True	False	False	False	True
Dâw	kwa	daww1239	False	True	True	False	False	True
Dura	drq	dura1244	False	False	False	True	True	True
Duhumbi	cvg	chug1252	False	False	True	True	False	True
Dogul Dom Dogon	dbg	dogu1235	False	True	True	False	False	True
Djingili	jig	djin1251	False	True	True	False	False	True
Diriku	diu	diri1252	False	False	True	True	False	True
Dime	dim	dime1235	True	True	False	False	False	True
Desano	des	desa1247	True	True	False	False	False	True
Dazaga	dzg	daza1242	False	True	False	True	False	True
Darma	drd	darm1243	True	False	False	False	True	True
Cross River Mbembe	mfn	cros1244	True	False	False	False	True	True
Cori	cry	cori1240	False	False	False	True	True	True
Chimwiini	NOCODE_Chimwiini	chim1312	False	True	True	False	False	True
Chilcotin	clc	chil1280	True	True	False	False	False	True
Chakali	cli	chak1271	False	True	True	False	False	True
Central Bai	bca	cent2004	False	False	True	False	True	True
Cajun French	frc	caju1236	False	True	True	False	False	True
Buwal	bhs	buwa1243	False	False	True	False	True	True
Bullom So	buy	bull1247	False	False	True	True	False	True
Brokpake	sgt	brok1248	True	False	False	True	False	True
Boro (Ethiopia)	bwo	boro1277	False	True	True	False	False	True
Bora	boa	bora1263	False	True	False	False	True	True
Bo-Ung	mux	boun1245	False	True	True	False	False	True
Binumarien	bjr	binu1245	False	True	True	False	False	True
Beria	zag	zagh1240	False	False	False	True	True	True
Bench	bcq	benc1235	True	False	False	False	True	True
Bena (Tanzania)	bez	bena1262	False	True	False	False	True	True
Belanda Bor	bxb	bela1256	False	False	False	True	True	True
Befang	bby	befa1241	False	False	True	False	True	True
Bauni	bpe	wara1302	False	True	False	True	False	True
Basa (Nigeria)	bzw	basa1282	False	False	False	True	True	True
Barain	bva	bare1279	True	False	True	False	False	True
Baoulé	bci	baou1238	True	False	False	False	True	True
Bandi	bza	band1352	False	False	False	True	True	True
Bambili-Bambui	baw	bamb1266	True	False	False	False	True	True
Babine	bcr	babi1235	False	True	True	False	False	True
Baba	bbw	baba1264	False	True	False	False	True	True
Baa	kwb	kwaa1262	True	False	True	False	False	True
Awetí	awe	awet1244	False	False	True	False	True	True
Avatime	avn	avat1244	False	True	True	False	False	True
Atong (India)	aot	aton1241	False	True	True	False	False	True
Anu	anl	anuu1241	True	False	False	True	False	True
Alabama	akz	alab1237	True	True	False	False	False	True
Alaba-K'abeena	alw	alab1254	False	True	True	False	False	True
Abun	kgr	abun1252	True	False	True	False	False	True
//Gana	gnk	gana1274	True	False	False	True	False	True
Zulgo-Gemzek	gnd	zulg1242	False	False	True	False	False	True
Zimba	zmb	zimb1251	False	False	False	True	False	True
Zigula-Mushungulu	ziw	zigu1244	False	False	True	False	False	True
Zemba	dhm	zemb1238	False	False	False	False	True	True
Zaiwa	atb	zaiw1241	False	False	True	False	False	True
Yuracaré	yuz	yura1255	False	False	True	False	False	True
Yongnan Zhuang	zyn	yong1275	False	False	False	False	True	True
Yom	pil	yomm1242	False	False	False	False	True	True
Yemsa	jnj	yems1235	False	False	False	False	True	True
Yele	yle	yele1255	False	False	True	False	False	True
Yau (Morobe Province)	yuw	yaum1237	False	False	True	False	False	True
Yanda Dom Dogon	dym	yand1257	False	False	True	False	False	True
Yan-nhangu	jay	yann1237	False	False	True	False	False	True
