Language	ISO 639-3	Glottocode	high-unrounded
Saidi Arabic	aec	said1239	True
Saho	ssy	saho1246	True
Sacapulteco	quv	saca1238	True
Sabanê	sae	saba1268	True
Saaroa	sxr	saar1237	True
Saafi-Saafi	sav	saaf1238	True
Sa'a	apb	saaa1240	True
S'gaw Karen	ksw	sgaw1245	True
Réunion Creole French	rcf	reun1238	True
Ruund	rnd	ruun1238	True
Ruuli	ruc	ruul1235	True
Russian	rus	russ1263	True
Rungus	drg	rung1259	True
Rundi	run	rund1242	True
Rumu	klq	rumu1243	True
Rukai	dru	ruka1240	True
Ruga	ruh	ruga1238	True
Rotuman	rtm	rotu1241	True
Rongmei Naga	nbu	rong1266	True
Romanian	ron	roma1327	True
Romagnol	rgn	roma1328	True
Riuk Bekati'	bei	beka1241	True
Riantana	ran	rian1263	True
Reta	ret	rett1240	True
Rennell-Bellona	mnv	renn1242	True
Rengao	ren	reng1252	True
Rembarunga	rmb	remb1249	True
Rejang	rej	reja1240	True
Rejang Kayan	ree	reja1241	True
Rayón Zoque	zor	rayo1235	True
Rawat	jnl	rawa1264	True
Rawang	raw	rawa1265	True
Ravula	yea	ravu1237	True
Raute	rau	raut1239	True
Ratahan	rth	rata1244	True
Rapanui	rap	rapa1244	True
Rana Tharu	thr	rana1246	True
Rabha	rah	rabh1238	True
Qimant	ahg	qima1242	True
Qashqa'i	qxq	qash1240	True
Qaqet	byx	qaqe1238	True
Puyuma	pyu	puyu1239	True
Purik-Sham-Nubra	prx	puri1258	True
Purepecha	tsz	pure1242	True
Puma	pum	puma1239	True
Puluwatese	puw	pulu1242	True
Pukapuka	pkp	puka1242	True
Psikye	kvj	psik1239	True
Pouye	bye	pouy1238	True
Poqomam	poc	poqo1253	True
Pondi	lnm	lang1328	True
Polabian	pox	pola1255	True
Pnar	pbv	pnar1238	True
Pite Sami	sje	pite1240	True
Pingelapese	pif	ping1243	True
Pinai-Hagahai	pnn	pina1252	True
Pimbwe	piw	pimb1238	True
Pilagá	plg	pila1245	True
Piaroa	pid	piar1243	True
Phom Naga	nph	phom1236	True
Peve	lme	peve1243	True
Pero	pip	pero1241	True
Peripheral Mongolian	mvf	peri1253	True
Pendau	ums	pend1242	True
Penange	NOCODE_Penange	pena1270	True
Pazeh	pzh	kulo1237	True
Paumarí	pad	paum1247	True
Patwin	pwi	patw1250	True
Pattani	lae	patt1248	True
Patpatar	gfk	patp1243	True
Parecís	pab	pare1272	True
Paraguayan Guaraní	gug	para1311	True
Papuan Malay	pmy	papu1250	True
Papiamento	pap	papi1253	True
Paniya	pcg	pani1256	True
Panará	kre	pana1307	True
Panare	pbh	enap1235	True
Panamint	par	pana1305	True
Pamosu	hih	pamo1253	True
Paluai	blq	balu1257	True
Palenquero	pln	pale1260	True
Paite Chin	pck	pait1244	True
Pahari Newari	phj	paha1257	True
Pagu	pgu	pagu1249	True
Pagibete	pae	pagi1243	True
Paasaal	sig	paas1238	True
Paama	pma	paam1238	True
Oyda	oyd	oyda1235	True
Otoro	otr	otor1240	True
Osage	osa	osag1243	True
Orya	ury	orya1242	True
Oroko	bdu	orok1266	True
Ormuri	oru	ormu1247	True
Omaha-Ponca	oma	omah1247	True
Omagua	omg	omag1248	True
Oluta Popoluca	plo	olut1240	True
Olo	ong	oloo1241	True
Old Welsh	owl	oldw1239	True
Old Uighur	oui	oldu1238	True
Old Saxon	osx	olds1250	True
Old Sabellic	qhr	sabe1248	True
Old Prussian	prg	prus1238	True
Old Provençal	pro	oldp1253	True
Old Mon	omx	oldm1242	True
Old Japanese	ojp	oldj1239	True
Old French (842-ca. 1400)	fro	oldf1239	True
Old English (ca. 450-1100)	ang	olde1238	True
Oko-Eni-Osayen	oks	okoe1238	True
Oki-No-Erabu	okn	okin1246	True
Oirata	oia	oira1263	True
Ogbronuagum	ogu	ogbr1243	True
Odoodee	kkc	odoo1238	True
Occitan	oci	occi1239	True
Obokuitai	afz	obok1239	True
Obdorsk Khanty	NOCODE_Obdorsk-Khanty	obdo1234	True
Nzima	nzi	nzim1238	True
Nzanyi	nja	nzan1240	True
Nzadi	nzd	nzad1234	True
Nyulnyul	nyv	nyul1247	True
Nyiyaparli	xny	nija1241	True
Nyishi-Hill Miri	njz	nyis1236	True
Nyiha (Tanzania)	nih	nyih1240	True
Nyawaygi	nyt	nyaw1247	True
Nyaturu	rim	nyat1246	True
Nyankole	nyn	nyan1307	True
Nyangumarta	nna	nyan1301	True
Nyangbo	nyb	nyan1302	True
Nyang'i	nyp	nyan1313	True
Nyamwezi	nym	nyam1276	True
Nyakyusa-Ngonde	nyy	nyak1260	True
Nyahkur	cbn	nyah1250	True
Nung (Viet Nam)	nut	nung1283	True
Nung (Myanmar)	nun	nung1282	True
Nukna	klt	nukn1238	True
Nubi	kcn	nubi1253	True
Nsong-Mpiin	soo	song1299	True
Notsi	ncf	nots1237	True
Northwestern Ojibwa	ojb	nort2961	True
Northwest Sahaptin	yak	yaki1237	True
Northwest Gbaya	gya	nort2775	True
Northern Yukaghir	ykg	nort2745	True
Northern Tujia	tji	nort2732	True
Northern Subanen	stb	nort2885	True
Northern Qiang	cng	nort2722	True
Northern Pumi	pmi	nort2723	True
Northern Pomo	pej	nort2966	True
Northern Pastaza Quichua	qvz	nort2973	True
Northern Pame	pmq	nort2984	True
Northern Paiute	pao	nort2954	True
Northern Luri	lrc	nort2645	True
Northern Emberá	emp	nort2972	True
Northern Amami-Oshima	ryn	nort2935	True
Northern Alta	aqn	nort2875	True
Northeast Maidu	nmu	nort2952	True
Northeast Kiwai	kiw	nort2930	True
North-Central Talysh	tly	taly1247	True
North Slavey	scs	nort2942	True
North Marquesan	mrq	nort2845	True
North Levantine Arabic	apc	nort3139	True
North Junín Quechua	qvn	nort2980	True
North Giziga	gis	nort3047	True
North Azerbaijani	azj	nort2697	True
Nopala Chatino	cya	nopa1235	True
Noon	snf	noon1242	True
Nogai	nog	noga1249	True
Nkonya	nko	nkon1248	True
Nkem-Nkum	isi	nkem1242	True
Nkami	nkq	nkam1239	True
Njyem	njy	njye1238	True
Njanga	NOCODE_Njanga	njan1240	True
Niuafo'ou	num	niua1240	True
Nisga'a	ncg	nisg1240	True
Ninam	shb	nina1238	True
Nimboran	nir	nucl1633	True
Nhanda	nha	nhan1238	True
Ngkâlmpw Kanum	kcd	ngka1235	True
Ngizim	ngi	ngiz1242	True
Ngiti	niy	ngit1239	True
Ngie	ngj	ngie1242	True
Nggem	nbq	ngge1241	True
Ngarinyin	ung	ngar1284	True
Ngarinman	nbj	ngar1235	True
Ngardi	rxd	ngar1288	True
Nganasan	nio	ngan1291	True
Ngalkbun	ngk	ngal1292	True
Ngalakan	nig	ngal1293	True
Ngad'a	nxg	ngad1261	True
Neverver	lgk	ling1265	True
Neve'ei	vnm	vinm1237	True
Nese	NOCODE_Nese	nese1235	True
Neo-Mandaic	mid	nucl1706	True
Nek	nif	nekk1240	True
Nehan	nsn	neha1247	True
Negeri Sembilan Malay	zmi	nege1240	True
Ndengereko	ndg	nden1248	True
Nayi	noz	nayi1243	True
Nawuri	naw	nawu1242	True
Nauete	nxa	naue1237	True
Nar Phu	npa	narp1239	True
Nanti	cox	nant1250	True
Nankina	nnk	nank1250	True
Nangikurrunggurr	nam	nang1259	True
Nanggu	ngr	nang1262	True
Nanga	nzz	nang1261	True
Namuyi	nmy	namu1246	True
Namia	nnm	nami1256	True
Nambo	ncm	namb1293	True
Naman	lzl	litz1237	True
Nalik	nal	nali1244	True
Nakanai	nak	naka1262	True
Najdi Arabic	ars	najd1235	True
Najanga-Kindige	dbu	bond1248	True
Nai	bio	naii1241	True
Nahenic	NOCODE_Nahenic	nahe1238	True
Nahavaq	sns	sout2857	True
Naasioi	nas	naas1242	True
Na	nbt	naaa1245	True
Máku	xak	maku1246	True
Mwera (Nyasa)	mjh	mwer1247	True
Mwakai	mgt	mong1344	True
Mwaghavul	sur	mwag1236	True
Mussau-Emira	emi	muss1246	True
Muruwari	zmu	muru1266	True
Murui Huitoto	huu	muru1274	True
Mursi	muz	murs1242	True
Murle	mur	murl1244	True
Munsee	umu	muns1251	True
Mungbam	mij	abar1238	True
Mundari	unr	mund1320	True
Mundabli	boe	mund1328	True
Muna	mnb	muna1247	True
Mumuye	mzm	nucl1240	True
Mulam	mlm	mula1253	True
Muklom	NOCODE_Muklom	mukl1234	True
Mufian	aoj	mufi1238	True
Muduga	udg	mudu1239	True
Muduapa	wiv	mudu1242	True
Mualang	mtd	mual1241	True
Mru	mro	mruu1242	True
Mpoto	mpa	mpot1240	True
Mpi	mpz	mpii1239	True
Mpade	mpi	mpad1242	True
Moyon	nmo	moyo1238	True
Moskona	mtj	mosk1236	True
Mosetén-Chimané	cas	mose1249	True
Moselle Franconian	ltz	luxe1241	True
Mortlockese	mrl	mort1237	True
Mori Bawah	xmz	mori1268	True
Mor (Mor Islands)	mhz	morm1235	True
Mono (USA)	mnr	mono1275	True
Mono (Democratic Republic of Congo)	mnh	mono1270	True
Moni	mnz	moni1261	True
Mongghul	mjg	huzh1238	True
Momu-Fas	fqs	fass1245	True
Mombo Dogon	dmb	momb1254	True
Moloko	mlw	molo1266	True
Molmo One	aun	molm1235	True
Mokpwe	bri	mokp1239	True
Moklen	mkm	mokl1243	True
Mokilese	mkj	moki1238	True
Moken	mwt	moke1242	True
Mok	mqt	mokk1243	True
Modern Greek	ell	mode1248	True
Mocho	mhc	moch1257	True
Mochica	omc	moch1259	True
Mmen	bfm	mmen1238	True
Mlabri	mra	mlab1235	True
Miyako	mvi	miya1259	True
Miya	mkf	miya1266	True
Mising-Padam-Miri-Minyong	mrg	misi1242	True
Miship	mjs	mish1244	True
Mingrelian	xmf	ming1252	True
Mina (Cameroon)	hna	mina1276	True
Min Bei Chinese	mnp	minb1244	True
Milang	NOCODE_Milang	mila1245	True
Mikasuki	mik	mika1239	True
Midob	mei	mido1240	True
Middle Clarence	bdy	midd1357	True
Mian	mpt	mian1256	True
Meyah	mej	meya1236	True
Mewati	wtm	mewa1250	True
Mewari	mtr	mewa1249	True
Meta'	mgo	meta1238	True
Mesqan	mvz	mesq1240	True
Mesaka	iyo	mesa1245	True
Merei	lmb	mere1242	True
