Language	ISO 639-3	Glottocode	animacy	classifier	gender	nominal_classification	noun_class
Kurtokha	xkz	kurt1248	True	True	True	False	False
Kupsabiny	kpz	kups1238	False	False	True	True	True
Kunjen	kjn	kunj1245	False	True	True	False	True
Kumarbhag Paharia	kmj	kuma1274	False	True	True	False	True
Kuanyama	kua	kuan1247	True	False	True	False	True
Kuanua	ksd	kuan1248	True	True	False	False	True
Koyukon	koy	koyu1237	False	True	True	False	True
Koyraboro Senni Songhai	ses	koyr1242	True	False	True	False	True
Koyra Chiini Songhay	khq	koyr1240	False	True	True	False	True
Koromfé	kfz	koro1298	False	True	True	False	True
Komo (Sudan)	xom	komo1258	False	True	True	False	True
Kombio	xbi	komb1272	True	True	True	False	False
Kol (Cameroon)	biw	kolc1235	True	False	True	False	True
Koi	kkt	koii1238	True	True	True	False	False
Klon	kyo	kelo1247	True	True	False	False	True
Kilmeri	kih	kilm1241	True	False	True	False	True
Kilivila	kij	kili1267	False	True	True	False	True
Khinalugh	kjj	khin1240	True	False	True	False	True
Khezha Naga	nkh	khez1235	False	True	True	False	True
Kharia	khr	khar1287	True	True	True	False	False
Khana	ogo	khan1278	False	True	True	False	True
Kesawai	xes	kesa1244	True	True	False	False	True
Kelabit	kzi	kela1258	True	True	True	False	False
Keiga	kec	keig1242	True	False	True	False	True
Kayapó	txu	kaya1330	True	True	False	False	True
Kayan Lahwi	pdu	kaya1315	False	True	False	True	True
Kavalan	ckv	kava1241	False	True	True	False	True
Katso	kaf	kats1235	True	True	False	False	True
Katcha-Kadugli-Miri	xtc	katc1249	False	False	True	True	True
Karo (Brazil)	arr	karo1305	False	True	True	False	True
Kambaata	ktb	kamb1316	True	False	True	False	True
Kamasau	kms	kama1367	True	False	True	False	True
Kalamang	kgv	kara1499	True	True	True	False	False
Kagulu	kki	kagu1239	True	False	True	False	True
Kagayanen	cgc	kaga1256	False	True	True	False	True
Kado	kdv	kado1242	False	True	True	False	True
Kadiwéu	kbc	kadi1248	False	True	True	False	True
Kaba	ksp	kaba1281	False	False	True	True	True
Jerung	jee	jeru1240	False	True	True	False	True
Jehai	jhi	jeha1242	False	True	True	False	True
Iu Mien	ium	iumi1238	False	True	True	False	True
Imonda	imn	imon1245	False	True	True	False	True
Ila	ilb	ilaa1246	False	True	True	False	True
Igala	igl	igal1242	True	False	True	False	True
Iatmul	ian	iatm1242	True	True	True	False	False
I'saka	ksi	kris1246	True	False	True	False	True
Huli	hui	huli1244	False	True	True	False	True
Huastec	hus	huas1242	True	True	True	False	False
Huambisa	hub	huam1247	True	False	True	False	True
Hmong Daw	mww	hmon1333	True	True	False	False	True
Hinuq	gin	hinu1240	True	False	True	False	True
Haya	hay	haya1250	True	False	True	False	True
Hadza	hts	hadz1240	True	False	True	False	True
Gumawana	gvs	guma1254	True	True	True	False	False
Godoberi	gdo	ghod1238	True	False	True	False	True
Gilbertese	gil	gilb1244	False	True	True	False	True
German Northern Low Saxon	frs	nort2628	True	False	True	False	True
Geba Karen	kvq	geba1237	True	True	True	False	False
