Language	ISO 639-3	Glottocode	feet	finger	five	hand	numerals	quinary	toe
Tiefo-Nyafogo-Numudara	NOCODE_Tiefo-Nyafogo-Numudara	tief1244	True	True	True	True	True	False	True
Tidore	tvo	tido1248	True	True	True	True	True	False	True
Ticuna	tca	ticu1245	True	True	True	True	True	False	True
Thulung	tdh	thul1246	True	True	True	True	True	False	True
Thompson	thp	thom1243	True	True	True	True	True	False	True
Thayore	thd	thay1249	True	True	True	True	True	False	True
Tharaka	thk	thar1283	True	True	True	True	True	False	True
Thao	ssf	thao1240	True	True	True	True	True	False	True
Thangmi	thf	than1259	True	True	True	True	True	False	True
Ternate	tft	tern1247	True	True	True	True	True	False	True
Tepecano	tep	tepe1278	True	False	True	True	True	True	True
Temi	soz	temi1247	True	True	True	True	True	False	True
Telugu	tel	telu1262	True	True	True	True	True	False	True
Telefol	tlf	tele1256	True	True	True	True	True	False	True
Tehit	kps	tehi1237	True	True	True	True	True	False	True
Tawala	tbo	tawa1275	True	True	True	True	True	False	True
Tatar	tat	tata1255	True	True	True	True	True	False	True
Tataltepec Chatino	cta	tata1258	True	True	True	True	True	True	False
Tariana	tae	tari1256	True	True	True	True	True	False	True
Tangut	txg	tang1334	True	True	True	True	True	False	True
Tangam	NOCODE_Tangam	tang1377	True	True	True	True	True	False	True
Tamasheq	taq	tama1365	True	True	True	True	True	False	True
Talaandig-Binukid	bkd	binu1244	True	True	True	True	True	False	True
Takuu	nho	taku1257	True	True	True	True	True	False	True
Tajik	tgk	taji1245	True	True	True	True	True	False	True
Taiga Sayan Turkic	kim	kara1462	True	True	True	True	True	False	True
Taiap	gpn	taia1239	True	True	True	True	True	False	True
Tahitian	tah	tahi1242	True	True	True	True	True	False	True
Tagin	tgj	tagi1241	True	True	True	True	True	False	True
Tafi	tcd	tafi1243	True	True	True	True	True	False	True
Tadaksahak	dsq	tada1238	True	True	True	True	True	False	True
Tabasco Chontal	chf	taba1266	True	True	True	True	True	False	True
Swedish	swe	swed1254	True	True	True	True	True	False	True
Swati	ssw	swat1243	True	True	True	True	True	False	True
Swampy Cree	csw	swam1239	True	True	True	True	True	False	True
Supyire Senoufo	spp	supy1237	True	True	True	True	True	False	True
Sumi Naga	nsm	sumi1235	True	True	True	True	True	False	True
Sudest	tgo	sude1239	True	True	True	True	True	False	True
Subiya	sbs	subi1246	True	True	True	True	True	False	True
Suabo	szp	suab1238	True	True	True	True	True	False	True
Stod Bhoti	sbu	stod1241	True	True	True	True	True	False	True
Stau-Dgebshes	ero	horp1239	True	True	True	True	True	False	True
Standard Malay	zsm	stan1306	True	True	True	True	True	False	True
Squamish	squ	squa1248	True	True	True	True	True	False	True
Southwestern Dinka	dik	sout2832	True	True	True	True	True	False	True
Southern-Coastal Tsimshian	tsi	nucl1649	True	True	True	True	True	False	True
Southern Yukaghir	yux	sout2750	True	True	True	True	True	False	True
Southern Sotho	sot	sout2807	True	True	True	True	True	False	True
Southern Sierra Miwok	skd	sout2985	True	True	True	True	True	False	True
Southern Rengma Naga	nre	sout2732	True	True	True	True	True	False	True
Southern Qiang	qxs	sout2728	True	True	True	True	True	False	True
Southern Pumi	pmj	sout2729	True	True	True	True	True	False	True
Southern Pomo	peq	sout2984	True	True	True	True	True	False	True
Southern Kiwai	kjd	sout2949	True	True	True	True	True	False	True
Southern Kisi	kss	sout2778	True	True	True	True	True	False	True
Southern Grebo	grj	sout2826	True	True	True	True	True	False	True
Southern Balochi	bcc	sout2642	True	True	True	True	True	False	True
Southern Bai	bfs	sout2730	True	True	True	True	True	False	True
Southern Aymara	ayc	sout2996	True	True	True	True	True	False	True
South-Central Koongo	kng	koon1244	True	True	True	True	True	False	True
South Wa	prk	para1301	True	True	True	True	True	False	True
Sonsorol	sov	sons1242	True	True	True	True	True	False	True
Siwi	siz	siwi1239	True	True	True	True	True	False	True
Siwai	siw	siwa1245	True	True	True	True	True	False	True
Siuslaw	sis	sius1254	False	True	True	True	True	True	True
Siraya	fos	sira1267	True	True	True	True	True	False	True
Sindhi	snd	sind1272	True	True	True	True	True	False	True
Simte	smt	simt1238	True	True	True	True	True	False	True
Simbo	sbb	simb1256	True	True	True	True	True	False	True
Siar-Lak	sjr	siar1238	True	True	True	True	True	False	True
Shwe Palaung	pll	shwe1236	True	True	True	True	True	False	True
Shuswap	shs	shus1248	True	True	True	True	True	False	True
Shona	sna	shon1251	True	True	True	True	True	False	True
Sholaga	sle	shol1240	True	True	True	True	True	False	True
Shipibo-Conibo	shp	ship1254	True	True	True	True	True	False	True
Shilluk	shk	shil1265	True	True	True	True	True	False	True
Shi	shr	shii1238	True	True	True	True	True	False	True
Sheko	she	shek1245	True	True	True	True	True	False	True
Shawnee	sjw	shaw1249	True	True	True	True	True	False	True
Serudung Murut	srk	seru1246	True	True	True	True	True	False	True
Serrano	ser	serr1255	True	True	True	True	True	False	True
Sentani	set	nucl1632	True	True	True	True	True	False	True
Seneca	see	sene1264	True	True	True	True	True	False	True
Sena	seh	nucl1396	True	True	True	True	True	False	True
Semelai	sza	seme1247	True	True	True	True	True	False	True
Semaq Beri	szc	sema1265	True	True	True	True	True	False	True
Sekpele	lip	sekp1241	True	True	True	True	True	False	True
Seimat	ssg	seim1238	True	True	True	True	True	True	False
Sedang	sed	seda1262	True	True	True	True	True	False	True
Savosavo	svs	savo1255	True	True	True	True	True	False	True
Saurashtra	saz	saur1248	True	True	True	True	True	False	True
Sarsi	srs	sars1236	True	True	True	True	True	False	True
Sarikoli	srh	sari1246	True	True	True	True	True	False	True
Saraiki	skr	sera1259	True	True	True	True	True	False	True
Santali	sat	sant1410	True	True	True	True	True	False	True
Sankaran Maninka	msc	sank1253	True	True	True	True	True	False	True
Sanga (Democratic Republic of Congo)	sng	sang1331	True	True	True	True	True	False	True
San Andres Creole English	icr	sana1297	True	True	True	True	True	False	True
Samoan	smo	samo1305	True	True	True	True	True	False	True
Salinan	sln	sali1253	True	True	True	True	True	False	True
Saho	ssy	saho1246	True	True	True	True	True	False	True
Sagalla	tga	saga1262	True	True	True	True	True	False	True
Sadri	sck	sadr1248	True	True	True	True	True	False	True
Sabanê	sae	saba1268	True	True	True	True	True	False	True
Sa'a	apb	saaa1240	True	True	True	True	True	False	True
Ruuli	ruc	ruul1235	True	True	True	True	True	False	True
Rusyn	rue	rusy1239	True	True	True	True	True	False	True
Russian	rus	russ1263	True	True	True	True	True	False	True
Rundi	run	rund1242	True	True	True	True	True	False	True
Rukai	dru	ruka1240	True	True	True	True	True	False	True
Ruga	ruh	ruga1238	True	True	True	True	True	False	True
Romansh	roh	roma1326	True	True	True	True	True	False	True
Romagnol	rgn	roma1328	True	True	True	True	True	False	True
Rio Grande Tewa	tew	tewa1260	True	True	True	True	True	False	True
Resígaro	rgr	resi1247	True	True	True	True	True	False	True
Reshe	res	resh1242	True	True	True	True	True	False	True
Rennell-Bellona	mnv	renn1242	True	True	True	True	True	False	True
Rembong-Wangka	reb	remb1250	True	True	True	True	True	False	True
Rejang Kayan	ree	reja1241	True	True	True	True	True	False	True
Rabha	rah	rabh1238	True	True	True	True	True	False	True
Quileute	qui	quil1240	True	True	True	True	True	False	True
Qimant	ahg	qima1242	True	True	True	True	True	True	False
Qaqet	byx	qaqe1238	True	True	True	True	True	False	True
Pökoot	pko	poko1263	True	True	True	True	True	False	True
Páez	pbb	paez1247	True	True	True	True	True	False	True
Pwo Western Karen	pwo	pwow1235	True	True	True	True	True	False	True
Purik-Sham-Nubra	prx	puri1258	True	True	True	True	True	False	True
Purepecha	tsz	pure1242	True	True	True	True	True	False	True
Pulaar	fuc	pula1263	True	True	True	True	True	False	True
Pukapuka	pkp	puka1242	True	True	True	True	True	False	True
Principense	pre	prin1242	True	True	True	True	True	False	True
Prasun	prn	pras1239	True	True	True	True	True	False	True
Poumei Naga	pmx	poum1235	True	True	True	True	True	False	True
Poqomam	poc	poqo1253	True	True	True	True	True	False	True
Pondi	lnm	lang1328	False	True	True	True	True	True	True
Polish	pol	poli1260	True	True	True	True	True	False	True
Polabian	pox	pola1255	True	True	True	True	True	False	True
Pohnpeian	pon	pohn1238	True	True	True	True	True	False	True
Pnar	pbv	pnar1238	True	True	True	True	True	False	True
Pitta Pitta	pit	pitt1247	True	True	True	True	True	False	True
Pipil	ppl	pipi1250	True	True	True	True	True	False	True
Pingelapese	pif	ping1243	True	True	True	True	True	False	True
Pilagá	plg	pila1245	True	True	True	True	True	False	True
Pijin	pis	piji1239	True	True	True	True	True	False	True
Piaroa	pid	piar1243	True	True	True	True	True	False	True
Phalura	phl	phal1254	True	True	True	True	True	False	True
