ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family_Glottocode,Family_Name,Status,Parent_Glottocode
brok1247,Brokskat,Eurasia,34.5308,76.6026,brok1247,bkk,indo1319,Indo-European,shifting,shin1270
kund1257,Kundal Shahi,Eurasia,34.5588,73.8288,kund1257,shd,indo1319,Indo-European,shifting,shin1270
shin1264,Shina,Eurasia,34.6515,75.28699999999999,shin1264,scl,indo1319,Indo-European,not endangered,shin1270
savi1242,Savi,Eurasia,35.3029,71.5557,savi1242,sdg,indo1319,Indo-European,shifting,west2860
kalk1245,Kalkoti,Eurasia,35.3651,72.0533,kalk1245,xka,indo1319,Indo-European,shifting,palu1255
phal1254,Palula,Eurasia,35.5096,71.8421,phal1254,phl,indo1319,Indo-European,threatened,palu1255
kohi1248,Kohistani Shina,Eurasia,35.1741,73.3207,kohi1248,plk,indo1319,Indo-European,not endangered,kohi1247
usho1238,Ushojo,Eurasia,35.1584,72.643,usho1238,ush,indo1319,Indo-European,shifting,kohi1247
rang1265,Rangpuri,Eurasia,26.3834,88.4536,rang1265,rkt,indo1319,Indo-European,not endangered,kamt1240
rajb1243,Rajbanshi,Eurasia,26.521945000000002,88.03858199999999,rajb1243,rjs,indo1319,Indo-European,not endangered,west2382
surj1235,Surjapuri,Eurasia,25.686,85.792,surj1235,sjp,indo1319,Indo-European,not endangered,west2382
naga1394,Naga Pidgin,Eurasia,25.2508,93.4438,naga1394,nag,indo1319,Indo-European,not endangered,assa1262
assa1263,Assamese,Eurasia,26.0876,91.2932,assa1263,asm,indo1319,Indo-European,not endangered,assa1262
bish1244,Bishnupriya Manipuri,Eurasia,24.4578,92.0157,bish1244,bpy,indo1319,Indo-European,threatened,gaud1238
rohi1238,Rohingya,Eurasia,20.833082,92.393968,rohi1238,rhg,indo1319,Indo-European,not endangered,gaud1238
lodh1246,Lodhi,Eurasia,20.8954,84.9463,lodh1246,lbm,indo1319,Indo-European,not endangered,gaud1238
malp1246,Mar Paharia of Dumka,Eurasia,24.087,87.3507,malp1246,mkb,indo1319,Indo-European,threatened,gaud1238
khar1283,Kharia Thar,Eurasia,22.245,83.79899999999999,khar1283,ksy,indo1319,Indo-European,not endangered,gaud1238
beng1280,Bengali,Eurasia,24.0,90.0,beng1280,ben,indo1319,Indo-European,not endangered,gaud1238
tang1330,Tangchangya,Eurasia,22.3185,92.5073,tang1330,tnv,indo1319,Indo-European,not endangered,sout3182
chit1275,Chittagonian,Eurasia,20.831,93.1695,chit1275,ctg,indo1319,Indo-European,not endangered,sout3182
chak1266,Chakma,Eurasia,23.001479999999997,92.339,chak1266,ccp,indo1319,Indo-European,not endangered,sout3182
kurm1243,Kurmukar,Eurasia,26.9175,87.32050000000002,kurm1243,kfv,indo1319,Indo-European,threatened,uncl1515
