id,family_id,name,iso639P3code,aes,population
akol1237,aust1307,Akolet,akt,Not Endangered,950
akoo1248,atla1278,Akoose,bss,Not Endangered,100000
akoy1238,anga1289,Akoye,miw,7 (Shifting),600
akpa1238,atla1278,Akpa,akf,Not Endangered,26900
akpe1248,atla1278,Akpes,ibe,7 (Shifting),10000
akru1241,lowe1437,Chini,afi,8a (Moribund),75
akuk1235,atla1278,Akuku,ayk,unk,-1
akum1238,atla1278,Akum,aku,7 (Shifting),1400
akun1241,tupi1275,Akuntsu,aqz,8b (Nearly extinct),5
akur1238,cari1283,Akurio,ako,10 (Extinct),0
akwa1248,atla1278,Akwa,akw,6b (Threatened),42000
alab1237,musk1252,Alabama,akz,7 (Shifting),370
alab1246,aust1307,Alabat Island Agta,dul,8b (Nearly extinct),10
alab1254,afro1255,Alaba-K'abeena,alw,Not Endangered,307700
alac1244,otom1299,Alacatlatzala Mixtec,mim,6b (Threatened),30000
alag1242,atla1278,Alago,ala,6b (Threatened),100000
alag1248,afro1255,Alagwa,wbj,7 (Shifting),53000
alak1253,aust1305,Alak,alk,Not Endangered,25000
alam1246,sepi1257,Alamblak,amp,7 (Shifting),1530
alan1249,aust1307,Alangan,alj,6b (Threatened),14600
alap1235,unat1236,Alapmunte,apv,10 (Extinct),0
alaw1244,mang1423,Alawa,alh,8b (Nearly extinct),4
alba1267,indo1319,Albanian,sqi,unk,-1
alba1269,aust1307,Inland-Buhi-Daraga Bikol,bhk,Not Endangered,700000
alba1271,sign1238,Albanian Sign Language,sqk,Not Endangered,3000
alco1235,otom1299,Alcozauca Mixtec,xta,6b (Threatened),10000
aleg1238,atla1278,Alege,alf,Not Endangered,16300
alek1238,nucl1709,Alekano,gah,6b (Threatened),25000
aleu1260,eski1264,Aleut,ale,7 (Shifting),155
alge1235,sign1238,Algerian Sign Language,asp,Not Endangered,240000
alge1239,afro1255,Algerian Arabic,arq,Not Endangered,29622300
alge1240,afro1255,Algerian Saharan Arabic,aao,Not Endangered,239000
algo1255,algi1248,Algonquin,alq,6b (Threatened),1760
alii1240,atla1278,Ali,aiy,Not Endangered,35000
alla1247,drav1251,Allar,all,7 (Shifting),350
alla1248,atla1278,Alladian,ald,Not Endangered,23000
alng1239,pama1250,Alngith,aid,10 (Extinct),0
aloa1235,otom1299,Aloápam Zapotec,zaq,Not Endangered,3400
alop1235,sino1245,Alo Phola,ypo,6b (Threatened),500
alor1247,aust1307,Alorese,aol,Not Endangered,25000
alsa1242,sign1238,Al-Sayyid Bedouin Sign Language,syy,7 (Shifting),140
alse1251,alse1251,Alsea-Yaquina,aes,10 (Extinct),0
alug1235,sino1245,Alugu,aub,Not Endangered,3500
aluk1238,drav1251,Alu Kurumba,xua,7 (Shifting),2500
alum1246,atla1278,Alumu-Tesu,aab,Not Endangered,7000
alun1238,aust1307,Alune,alp,6b (Threatened),17200
aluo1235,sino1245,Aluo,yna,7 (Shifting),25000
alur1250,nilo1247,Alur,alz,Not Endangered,1735000
alut1245,chuk1271,Alutor,alr,8a (Moribund),25
alvi1241,indo1319,Alviri-Vidari,avd,8a (Moribund),1800
alya1239,pama1250,Alyawarr,aly,6b (Threatened),1550
amah1245,aust1307,Amahai,amq,8b (Nearly extinct),50
amah1246,pano1259,Amahuaca,amc,8a (Moribund),520
amai1246,nucl1709,Amaimon,ali,Not Endangered,1780
amal1242,sepi1257,Amal,aad,7 (Shifting),830
